"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2022-10-01,"Alabama",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,18.6486740382648,"argo_raw"
2022-10-01,"Alabama",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,19.1708650537406,"argo_raw"
2022-10-01,"Alabama",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,19.6651772095016,"argo_raw"
2022-10-01,"Alabama",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,21.0300846414024,"argo_raw"
2022-10-01,"Alaska",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,-0.462164704898647,"argo_raw"
2022-10-01,"Alaska",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,-0.225222459080484,"argo_raw"
2022-10-01,"Alaska",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,0.00505047394447511,"argo_raw"
2022-10-01,"Alaska",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,-0.545112956392581,"argo_raw"
2022-10-01,"Arizona",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,7.37268885192123,"argo_raw"
2022-10-01,"Arizona",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,18.2918021844849,"argo_raw"
2022-10-01,"Arizona",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,10.0435869114698,"argo_raw"
2022-10-01,"Arizona",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,9.83355007404817,"argo_raw"
2022-10-01,"Arkansas",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,11.8950971599187,"argo_raw"
2022-10-01,"Arkansas",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,12.7989295009523,"argo_raw"
2022-10-01,"Arkansas",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,11.4831980576247,"argo_raw"
2022-10-01,"Arkansas",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,11.4955702393248,"argo_raw"
2022-10-01,"California",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,12.3165231378549,"argo_raw"
