"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2022-10-01,"Alabama",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,17.2007967071764,"argo_detrend"
2022-10-01,"Alabama",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,17.7671479125749,"argo_detrend"
2022-10-01,"Alabama",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,17.8633939910373,"argo_detrend"
2022-10-01,"Alabama",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,18.1679277916617,"argo_detrend"
2022-10-01,"Alaska",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,0.155422595047277,"argo_detrend"
2022-10-01,"Alaska",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,0.252974410705575,"argo_detrend"
2022-10-01,"Alaska",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,0.380256841669742,"argo_detrend"
2022-10-01,"Alaska",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,0.255740463039657,"argo_detrend"
2022-10-01,"Arizona",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,8.9573779205497,"argo_detrend"
2022-10-01,"Arizona",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,17.3927298344631,"argo_detrend"
2022-10-01,"Arizona",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,21.5759894864892,"argo_detrend"
2022-10-01,"Arizona",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,27.6556175765746,"argo_detrend"
2022-10-01,"Arkansas",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,11.5276481557759,"argo_detrend"
2022-10-01,"Arkansas",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,10.9736370350437,"argo_detrend"
2022-10-01,"Arkansas",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,10.7436213213927,"argo_detrend"
2022-10-01,"Arkansas",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,10.2112956609533,"argo_detrend"
2022-10-01,"California",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,54.0420784617228,"argo_detrend"
2022-10-01,"California",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,70.12437819072,"argo_detrend"
2022-10-01,"California",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,55.9541617329607,"argo_detrend"
2022-10-01,"California",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,36.9693087920073,"argo_detrend"
2022-10-01,"Colorado",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,39.3177352879549,"argo_detrend"
2022-10-01,"Colorado",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,39.613129016075,"argo_detrend"
2022-10-01,"Colorado",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,37.1244641921572,"argo_detrend"
2022-10-01,"Colorado",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,31.7564216414835,"argo_detrend"
2022-10-01,"Connecticut",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,5.67751338069144,"argo_detrend"
2022-10-01,"Connecticut",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,6.65378703090565,"argo_detrend"
2022-10-01,"Connecticut",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,5.32502637560473,"argo_detrend"
