"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2022-10-01,"Alabama",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,14.5447757053706,"argo_topics"
2022-10-01,"Alabama",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,17.6332240913075,"argo_topics"
2022-10-01,"Alabama",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,14.906810293055,"argo_topics"
2022-10-01,"Alabama",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,11.3990279415587,"argo_topics"
2022-10-01,"Alaska",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,-0.61339641948534,"argo_topics"
2022-10-01,"Alaska",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,-0.730546941612282,"argo_topics"
2022-10-01,"Alaska",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,-1.46738242991432,"argo_topics"
2022-10-01,"Alaska",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,-1.0333103844158,"argo_topics"
2022-10-01,"Arizona",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,-3.89114985265057,"argo_topics"
2022-10-01,"Arizona",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,2.79850866726129,"argo_topics"
2022-10-01,"Arizona",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,6.34803893576491,"argo_topics"
2022-10-01,"Arizona",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,13.4142753615884,"argo_topics"
2022-10-01,"Arkansas",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,8.53084902302774,"argo_topics"
2022-10-01,"Arkansas",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,9.52069977494061,"argo_topics"
2022-10-01,"Arkansas",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,9.2930618978648,"argo_topics"
2022-10-01,"Arkansas",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,8.69330860587576,"argo_topics"
2022-10-01,"California",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,18.7448653038883,"argo_topics"
2022-10-01,"California",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,21.95465304337,"argo_topics"
2022-10-01,"California",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,37.3321262606154,"argo_topics"
2022-10-01,"California",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,66.6836808461573,"argo_topics"
2022-10-01,"Colorado",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,5.30915427258294,"argo_topics"
2022-10-01,"Colorado",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,9.67584805814891,"argo_topics"
2022-10-01,"Colorado",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,18.1406745982439,"argo_topics"
2022-10-01,"Colorado",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,16.061637823442,"argo_topics"
2022-10-01,"Connecticut",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,-5.11636719396945,"argo_topics"
2022-10-01,"Connecticut",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,-13.5443438928284,"argo_topics"
2022-10-01,"Connecticut",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,-8.52252953991485,"argo_topics"
2022-10-01,"Connecticut",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,-4.01678189180707,"argo_topics"
2022-10-01,"Delaware",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,4.36852640436623,"argo_topics"
2022-10-01,"Delaware",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,4.27477666640604,"argo_topics"
2022-10-01,"Delaware",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,3.93290420180482,"argo_topics"
2022-10-01,"Delaware",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,3.57328806737253,"argo_topics"
2022-10-01,"District of Columbia",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,0.819834337384089,"argo_topics"
2022-10-01,"District of Columbia",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,0.942871583798724,"argo_topics"
2022-10-01,"District of Columbia",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,0.971153846153846,"argo_topics"
2022-10-01,"District of Columbia",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,0.933549826713884,"argo_topics"
2022-10-01,"Florida",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,55.7754077819548,"argo_topics"
2022-10-01,"Florida",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,42.1912872704475,"argo_topics"
2022-10-01,"Florida",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,39.1416574747287,"argo_topics"
2022-10-01,"Florida",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,25.7797060074321,"argo_topics"
2022-10-01,"Georgia",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,-25.0359136952053,"argo_topics"
2022-10-01,"Georgia",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,-12.4420255442036,"argo_topics"
2022-10-01,"Georgia",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,2.58720181040927,"argo_topics"
2022-10-01,"Georgia",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,0.908383356687672,"argo_topics"
2022-10-01,"Hawaii",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,1.73063179058345,"argo_topics"
2022-10-01,"Hawaii",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,1.96657613143991,"argo_topics"
2022-10-01,"Hawaii",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,1.98708798982711,"argo_topics"
2022-10-01,"Hawaii",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,1.66383316873431,"argo_topics"
2022-10-01,"Idaho",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,4.40431091222178,"argo_topics"
2022-10-01,"Idaho",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,4.34333722015673,"argo_topics"
2022-10-01,"Idaho",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,4.39752615357858,"argo_topics"
2022-10-01,"Idaho",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,3.81341513106846,"argo_topics"
2022-10-01,"Illinois",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,15.5300385308798,"argo_topics"
2022-10-01,"Illinois",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,17.1854479549006,"argo_topics"
2022-10-01,"Illinois",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,15.9363639503456,"argo_topics"
2022-10-01,"Illinois",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,14.4241175358982,"argo_topics"
