date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-10-29,4.0544868,89.003334,43.063843,12.025287,104.991104,20.157097,11.554466,0.2993178,1.7076052,121.77783,130.18448,5.6833057,8.452841,1.3407614,40.433643,56.755974,8.351762,30.875605,71.36171,21.431635,28.150885,0.4542527,7.2484484,8.126713,5.371478,74.36143,-0.3447451,45.058506,3.6679394,15.27518,1.3051362,48.519867,26.407766,13.983698,63.006996,43.940228,21.469326,5.226438,58.40549,0.38638893,60.84396,11.455388,76.99237,400.53574,1.0815737,59.707233,0.4123709,8.140671,3.7439246,14.538882,1.8278457,1021.18134,84.67936
2022-11-05,0.45336208,184.24423,54.389206,31.187471,133.62903,21.605143,8.087222,3.7935963,4.0830765,143.96313,86.573975,3.6934202,2.721194,-1.9835258,87.393326,96.403305,13.150954,-12.548171,120.31404,19.12666,81.22161,-0.031123575,10.152724,1.9793706,19.97035,116.88384,-0.27941668,44.914482,3.0980124,11.781206,1.4038225,60.77115,27.03233,14.399007,33.4702,50.833683,38.47491,8.153539,92.33521,0.74791086,83.768845,12.352915,104.40066,661.37036,4.25935,68.75283,0.96274537,10.806549,14.480466,24.076832,1.8629177,4480.003,78.87441
2022-11-12,10.430312,270.05212,90.80367,22.901808,277.45392,43.672176,48.349346,11.666367,4.095,252.33138,190.64288,6.650094,17.571112,1.0212731,77.13671,103.17894,23.771015,95.591644,210.5228,24.195482,111.63246,1.7027247,68.016426,50.068695,66.55066,180.89476,2.2625074,270.06042,2.6884818,9.790313,0.57705075,95.98616,50.379658,14.373002,117.86055,134.19795,64.34525,10.761037,158.74713,0.56432796,188.50417,9.673161,136.5449,800.3543,13.502226,232.05151,0.7913998,39.915043,6.819917,62.39248,3.8492463,5099.616,82.80152
2022-11-19,14.15443,378.5483,147.46928,89.42451,543.3088,55.41742,37.842804,38.176437,10.015855,315.094,196.83072,6.543868,17.984436,15.168056,157.05797,169.55661,36.729614,133.5235,161.73698,26.195614,163.27155,2.0087357,48.755043,90.61196,84.82899,229.34758,4.403796,298.59247,4.044564,29.39129,1.9221753,153.26137,91.1359,26.881046,207.16861,204.7675,44.85953,44.746002,241.39064,3.2698348,213.02667,8.231867,184.15584,1031.4271,1.9160403,316.86038,-0.0010990432,34.27434,29.953321,90.81833,6.092957,7708.4043,101.2099
2022-11-26,13.008712,285.5598,231.89676,167.1783,1082.2189,86.97083,53.90943,66.47083,8.925307,446.37424,255.34804,18.232424,16.596552,9.365847,262.77463,177.97745,60.51537,311.28815,150.50096,33.619877,208.12805,6.637661,115.33986,210.34769,117.021164,211.62502,11.330055,384.77362,6.3472767,26.39249,2.2098448,334.88538,157.10849,78.22431,317.23254,290.0607,135.10722,68.263596,406.48178,5.7364173,278.39362,13.105534,292.46075,1063.7134,13.913412,384.3272,0.72844166,106.73638,56.311863,122.75199,11.264438,10641.775,101.93551
2022-12-03,34.625847,251.61859,250.9145,330.45276,1802.1406,121.23111,103.866974,35.38789,46.501793,616.7347,225.3322,15.163227,36.987846,51.16887,629.0494,326.71442,71.44953,350.06293,187.66307,95.90457,239.89427,13.432139,180.09163,280.0298,263.17795,262.06506,13.444889,405.83984,10.632667,29.87755,9.598542,356.0988,194.38911,135.10355,674.0424,403.66708,215.04126,158.48094,518.5754,4.6976767,222.96074,22.771898,358.10107,1350.3516,5.942018,315.29684,1.9772869,368.43182,108.710014,165.23515,34.23198,13978.778,78.0942
2022-12-10,75.37867,216.25122,342.10092,804.77264,2811.8245,165.60692,220.7842,51.568367,30.958857,822.4867,161.72055,13.427637,127.68107,175.59178,752.7637,557.9074,154.70512,547.6195,223.53865,232.09999,352.61728,28.23499,357.41635,407.67273,507.28796,251.66745,45.081333,481.17355,17.207321,55.33284,12.166195,564.934,197.63408,298.49872,838.925,686.7699,467.774,372.7573,783.03796,10.768512,200.12106,51.388103,449.00824,1913.3682,33.13624,345.74606,12.563005,564.0924,280.17438,178.53377,41.58033,22330.629,92.759
2022-12-17,52.098877,385.5057,502.24884,1067.4386,3899.5505,169.83202,420.11984,52.87012,86.11195,1115.2188,317.57288,8.35805,273.1037,226.76137,1637.7866,763.9646,475.65912,1198.5636,322.69223,733.6898,458.60114,116.687164,618.0265,484.52963,771.3983,241.9192,64.98747,794.1415,50.317055,102.71789,31.92517,1141.3777,466.8445,547.1812,2010.426,900.39294,771.6077,758.92474,2380.4478,21.480291,255.04187,76.58477,657.06024,2378.5374,40.363293,455.86588,32.953762,971.0938,706.6682,344.54984,73.02122,22917.22,87.52355
2022-12-24,68.24601,236.621,296.58112,775.73096,1922.2533,280.5413,355.5894,39.54586,32.052994,830.42053,166.50548,11.2297325,252.36877,179.22704,875.7654,739.8458,282.23215,515.7373,234.53465,725.0351,292.28516,125.84094,783.5158,310.29166,747.635,149.06339,143.6264,274.90808,54.691257,126.31104,78.39966,707.96857,501.90793,358.09567,1832.2217,994.0733,822.91113,774.2286,1260.926,59.93875,143.9013,79.2257,438.365,1523.4407,67.145004,342.13828,53.10086,626.7045,555.40137,257.861,53.38668,24806.367,79.29844
2022-12-31,52.41653,138.41028,203.68526,536.15173,1629.332,261.28842,371.0547,19.670101,25.235752,920.77435,111.00132,12.105256,316.8402,357.4245,345.12723,574.9555,200.11609,278.43896,84.45575,730.428,249.82571,199.50926,992.0996,188.92955,676.41455,132.033,100.70873,338.95142,80.51891,140.68794,89.32796,615.772,315.65518,203.2915,1986.3818,795.6352,595.9887,702.6311,970.6021,43.905605,143.89154,89.05785,187.3969,1456.5939,44.689453,253.84572,63.219814,689.62134,449.41678,174.34169,38.494324,18747.951,61.644722
2023-01-07,43.376846,159.57039,200.8177,572.2602,1111.4573,283.6122,121.71361,21.818405,29.55102,1023.8546,165.6563,22.597223,329.01526,182.99814,427.98898,366.30252,157.21817,251.11328,183.91348,879.6754,199.2199,223.49736,935.9676,141.0228,506.6567,72.41561,48.15564,332.63867,69.70308,114.77003,105.19135,361.29092,322.78818,215.11627,1096.7474,557.4502,613.1443,312.38687,959.80334,53.47519,117.57743,80.6054,183.49098,1217.3357,57.79737,269.19406,70.280014,331.35812,417.79968,126.01963,47.26776,16423.352,83.2296
2023-01-14,40.46893,145.58025,117.38681,606.7029,700.6,312.71698,157.77234,36.080708,39.0607,1176.3175,197.04071,34.256496,330.02344,184.69662,420.32303,400.6075,181.5184,186.90733,146.27678,788.5064,238.92914,180.67712,1063.266,147.63795,568.4106,108.52104,84.87978,272.46426,77.71577,126.40946,139.15594,384.1994,241.4454,154.80891,1008.9227,411.97787,634.65607,276.2079,866.486,45.2517,145.30434,50.75347,283.38535,1530.0889,71.47629,250.65463,86.73369,218.43123,455.82043,142.47105,43.238777,15926.031,67.03185
2023-01-21,30.917728,111.60661,126.70165,278.36087,607.9642,122.22652,138.8388,15.248175,45.44593,1263.0951,185.44345,15.743653,180.5138,110.133606,352.54974,259.58524,121.38698,113.2726,172.12434,284.83972,113.51048,107.27555,532.9793,64.5451,296.281,83.60363,60.12652,97.94347,70.543365,94.38452,99.13323,212.06682,140.77226,103.836525,818.206,358.85126,398.07318,57.578884,613.2695,31.212257,133.23112,64.90644,118.26314,1100.0221,63.44834,200.74962,48.760597,216.66064,287.88217,135.89241,30.683876,10598.87,61.24008
2023-01-28,11.514612,97.721756,107.754166,110.15332,117.7053,98.53341,74.178955,2.3902886,20.791527,567.2539,106.62241,11.694539,14.143132,40.632732,135.28188,181.52841,41.910988,36.40616,52.023342,113.423004,89.588875,17.058182,73.47851,37.010983,154.87874,55.56948,43.3424,128.00458,53.407738,63.822254,25.0255,130.43558,60.686363,-8.636842,508.69162,201.52573,250.15398,28.568136,483.00458,7.1526403,83.746735,29.583477,91.18427,520.4104,9.416511,90.41466,-10.672052,84.31237,99.951675,75.07838,23.298834,4164.0938,66.88199
2023-02-04,6.765616,70.768364,66.732,108.76545,137.47011,41.262203,32.541718,7.2810345,14.22973,592.25397,85.169266,0.27826342,5.791415,28.944605,29.946808,129.58665,43.00002,32.615547,86.22797,46.311768,61.673927,15.196994,124.840416,37.132797,94.80486,46.167515,16.87169,25.894081,27.584002,56.365963,18.277142,106.52059,34.105396,34.747875,33.135674,73.14419,125.26412,18.993647,269.84412,11.890346,35.402,11.684027,61.713303,410.25473,24.853762,81.41799,10.406072,61.418236,77.09749,27.305176,13.663994,3474.7961,59.073196
2023-02-11,7.617335,45.289944,-4.724888,51.122192,40.199356,29.101152,16.414135,8.898021,7.396017,329.5456,74.1102,8.932014,71.65937,29.139135,-31.547281,115.27673,42.266747,60.943733,25.448391,62.107166,31.06611,6.78032,2.9852986,13.619096,55.764915,33.305744,5.39229,31.107502,24.639257,24.055044,20.792809,54.06758,4.9758215,12.699669,59.68752,69.71565,48.2157,-26.984842,295.1805,9.983036,45.373043,12.866937,20.146107,246.50012,9.627913,21.015942,7.005912,34.37853,29.089998,30.064386,5.643976,2745.158,56.58935
2023-02-18,4.276227,36.190735,35.517357,111.33814,302.37265,46.1852,3.1030524,6.7910976,17.002613,339.51254,63.649467,7.769435,-17.57583,-6.0058637,-56.632584,82.82428,17.423613,-11.578029,61.571854,45.514576,41.08766,11.972471,147.64975,1.5554008,41.653996,45.648323,9.394182,10.423557,12.4848385,11.580401,1.0916824,59.25213,24.038338,5.7502904,125.33909,-16.473421,98.17299,54.370266,178.53333,7.21407,42.090282,15.800107,52.742172,332.17566,8.853816,67.68069,0.6852585,31.424847,17.746046,28.951817,7.286439,2251.7065,59.679184
2023-02-25,-0.031466376,22.999783,27.24613,32.64457,28.473314,40.04273,26.48414,28.115526,4.4816904,242.12357,81.74281,8.103422,11.163716,11.95097,6.8206787,54.027466,32.322636,67.6294,50.698757,56.545433,55.716873,3.5371003,-17.564884,24.34477,15.467529,12.37919,0.8755254,39.855034,12.3506,0.114191785,9.466142,64.98346,16.663986,16.417742,170.74576,64.560616,68.32001,1.7329546,230.7795,-2.0281982,44.644707,9.344462,38.198753,161.0356,13.532637,46.1442,-1.452455,73.08785,22.308842,27.436905,2.075892,1844.0422,58.75041
