date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-10-29,4.0452485,102.86899,39.515697,5.040958,71.68376,5.6270266,8.347259,0.8144773,3.3737595,162.79211,122.98352,5.7559114,3.9907455,0.57844406,59.785316,67.35506,6.124031,24.152369,80.14495,20.246695,49.47925,0.4265787,34.05485,7.143706,23.936087,75.75112,-0.3726093,59.463936,3.0821815,12.4343605,-0.6154821,42.663914,23.92859,16.245419,45.934097,45.80412,17.27309,6.356652,85.48332,0.4503405,59.429882,11.836029,72.0061,428.3236,-3.6742353,56.929565,0.21096723,-3.2662737,3.2604597,13.109994,1.3031813,2893.6606,58.54118
2022-11-05,0.61866295,199.05737,57.944984,24.98031,136.63698,25.404682,12.616693,2.5575976,2.4274368,156.05417,113.39167,3.6406152,6.7888803,-1.9483974,73.79231,95.54761,20.98358,14.330988,140.2396,16.113646,66.29744,0.3814446,2.3246074,12.378261,15.065242,119.75126,-0.20589665,162.26817,2.9739373,7.196286,1.0453992,44.92011,28.135744,22.936121,67.6617,56.062714,40.003258,9.19404,125.82551,1.1442943,83.22228,13.026011,106.22133,563.0155,4.6128945,89.91172,0.981827,24.105131,11.50815,23.867727,1.2913898,3234.9358,64.03519
2022-11-12,9.976373,368.79666,87.06401,21.629654,288.64758,32.18841,32.723145,10.781252,4.755061,399.62033,240.40363,6.591886,10.6196,0.8288547,124.919846,125.75139,14.154067,111.97795,227.00899,18.352762,118.78129,1.7268494,29.82944,50.680702,51.207603,182.27333,2.2641566,311.75986,3.1917915,7.1215897,-1.008241,72.68168,53.2914,17.304173,135.4787,153.23724,68.543884,7.6895995,200.4444,0.9416899,203.62994,10.192098,168.77094,1043.6283,9.712821,252.24397,0.97701776,34.071434,18.064611,61.50218,3.6419067,9082.003,69.585785
2022-11-19,13.7236185,365.88547,153.39793,72.47135,511.59595,53.731327,30.263348,43.287643,8.666623,398.63614,245.88445,6.4742217,12.736275,14.414424,173.82698,168.55653,29.142086,165.0997,125.94775,8.13379,164.44524,2.1511252,27.802256,78.18707,85.77069,231.09811,4.897881,291.01352,3.5513556,26.701675,3.4656456,214.45197,93.67004,31.041525,278.52325,248.38544,47.044502,39.18475,277.66528,3.3797052,224.71036,7.868982,363.21664,1292.7351,-0.6500751,321.4809,-0.1449831,43.16712,32.389004,97.123665,5.3279977,9043.292,89.69358
2022-11-26,13.210428,237.48439,232.11145,142.60768,1119.977,90.28309,58.40077,52.73926,9.695517,493.72876,251.60022,18.066582,10.618161,8.869922,306.76785,172.96606,49.987175,274.62634,177.18738,30.174286,209.18745,6.645904,87.48491,206.71844,117.41365,211.26883,11.475615,375.25888,6.173722,27.341297,3.5441039,349.19778,152.7191,66.52559,291.42386,280.5515,84.06178,49.762096,436.24164,5.634975,267.21436,11.951123,359.62308,1125.4879,12.087856,353.84402,1.1814185,110.72406,58.864037,137.81664,10.952595,10529.452,94.69452
2022-12-03,35.924507,178.0675,239.525,338.97598,1908.777,122.35084,112.121346,33.944546,38.74662,549.1412,175.97467,15.350559,34.617523,49.850536,527.1748,290.4851,73.23447,337.41705,177.99527,102.43074,241.41197,13.36903,165.16502,276.49268,205.73032,263.0397,13.5669775,365.89493,12.085892,30.74836,8.432509,332.56335,163.22499,145.43556,615.90717,375.9352,207.06024,146.19292,495.4851,4.839496,234.1959,23.11978,331.34338,1349.5671,1.6236284,247.0798,1.6587343,348.15005,98.91144,151.3972,33.13177,12770.503,76.58944
2022-12-10,72.89298,181.28307,383.45938,797.7247,3332.825,168.08499,240.35933,55.500732,32.7158,799.04724,155.40599,13.07336,101.20991,200.51596,1321.4563,531.89484,184.43365,648.7068,202.14548,249.62202,297.85974,32.435425,361.9463,381.9051,652.19305,252.45616,45.02862,455.02014,22.866465,52.854034,12.293089,635.82874,205.04826,271.2174,996.3502,759.2721,535.1983,443.63718,877.566,10.720566,202.89508,52.40122,470.47778,1861.2766,32.7395,333.56714,12.432765,663.3992,279.30328,204.15718,41.980164,25987.842,83.86191
2022-12-17,47.684658,360.20984,448.0963,1091.9231,3237.0066,180.89688,586.0822,64.02726,85.94922,1033.6531,295.22745,9.771306,283.0594,225.97734,1245.5457,963.8488,396.28036,968.94196,308.1451,684.311,442.7035,146.17136,744.4914,469.046,1088.687,240.51056,72.059395,787.84106,59.690193,108.3429,31.713337,1090.6599,375.27982,506.7166,2033.7633,1196.2218,1171.894,618.66956,1501.7891,21.663435,249.0236,78.72557,695.9322,2170.3025,36.899082,451.73615,33.43511,866.96063,647.40845,342.2175,74.470894,27511.143,84.98581
2022-12-24,70.46855,225.39128,298.8992,773.48895,1929.651,265.1589,386.0035,31.087538,30.870453,811.629,169.06348,12.070363,254.18427,180.347,1006.5574,917.344,260.97546,513.8787,234.42926,730.48505,314.56186,149.65863,762.8447,289.3289,857.9603,148.02916,122.7914,315.5765,56.626488,135.67395,77.64615,814.0302,411.6949,372.77448,1702.3136,1064.0997,892.39923,719.9625,1369.3363,76.0331,141.15875,85.278046,492.12244,1500.7849,68.56729,335.5224,53.391087,620.74115,521.13464,273.0138,54.64295,25742.45,77.83521
2022-12-31,52.421852,142.24559,241.09865,450.80942,1583.1779,245.88217,355.67468,21.349657,22.770283,804.62946,130.3526,13.071076,322.26346,287.9489,458.1362,538.33185,224.2582,204.19044,68.656105,766.11945,255.11734,192.67654,1158.1434,195.2484,673.3443,130.18307,100.585434,328.55927,105.19196,159.32042,89.72421,522.3281,320.85812,230.50987,1686.3303,882.8294,661.0116,718.4271,1026.2909,44.51839,159.4026,97.0824,160.68947,1339.2301,35.461704,259.6483,63.02544,689.0056,450.87268,191.3275,38.39227,17657.31,62.014355
