date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-10-29,4.3649073,83.642876,38.550983,11.048335,86.20266,3.0011435,6.5500135,1.0938686,1.900751,99.75981,114.45909,5.6485796,7.0090084,0.93798053,28.821854,46.09368,3.9947906,28.117962,78.35163,7.373277,26.367672,0.110894494,12.707315,3.8817837,10.207106,69.06586,0.10055741,46.358353,0.96341556,12.1343975,0.022143455,33.276226,24.095728,13.196751,50.780373,31.496538,18.432814,4.456525,74.93023,0.03644045,44.957973,10.985632,62.4489,343.3493,3.3354151,57.423607,0.14635661,12.180069,1.9742739,11.041836,1.5020758,1856.3855,48.62077
2022-11-05,1.5732148,143.34334,48.574024,24.761078,120.18136,13.483616,9.888475,2.7014093,1.2391666,132.43187,120.13481,3.5309422,9.156831,1.0151827,39.45014,67.99899,16.989964,8.672882,98.55426,9.524661,43.051125,0.020362517,13.879802,12.683886,23.908651,92.83031,0.027340066,96.99546,2.092863,12.13037,0.767552,36.11418,25.90061,14.10274,43.04012,34.59339,36.28904,7.5841813,87.646675,1.9101582,78.19408,12.110294,64.44236,582.4013,4.8789535,85.84171,0.8725701,23.848936,11.212695,16.01103,1.7739998,2762.1277,49.846508
2022-11-12,9.607647,314.49084,81.21895,26.534727,196.70128,25.528465,39.184338,9.487596,5.088422,281.46567,206.89165,6.343307,18.370226,0.996058,114.0593,78.50903,20.20869,82.04203,210.41927,16.489975,110.176094,2.6221972,51.16924,36.162174,50.650814,168.31956,2.4742367,278.25146,2.0124943,12.046605,0.23419933,65.921684,52.701424,12.964412,115.94734,106.39343,71.748795,4.6337056,165.74095,-0.0726384,198.48795,10.107785,97.513016,846.70764,12.844895,210.04805,1.0485991,36.877728,15.368148,56.696674,3.2381272,5783.473,60.56695
2022-11-19,14.691188,439.43085,148.34676,77.95086,443.67035,36.326412,36.03505,49.95535,7.3073864,321.9388,208.47142,6.7345653,19.075533,13.659566,164.23639,141.56728,35.32693,150.62753,172.38326,34.591682,156.83522,2.9458752,53.09895,80.07938,77.18758,351.392,5.8795133,346.57288,5.2532163,28.290937,2.2560186,182.74321,89.81477,27.586266,202.76556,185.8643,44.273136,45.162647,237.5165,2.7229347,327.7982,9.511254,263.93768,1155.1006,5.4254465,421.66483,0.077480935,45.96681,33.929848,88.95161,6.5540075,8099.2954,79.826706
2022-11-26,14.158152,302.5485,244.71532,137.16916,1051.7915,57.323284,54.350597,63.22005,10.689888,529.1491,258.18225,17.972347,20.337183,12.141956,291.56705,136.30928,47.02173,298.11322,164.8928,36.582424,238.27654,7.3899436,96.09802,172.98251,114.90762,242.28983,10.244619,399.65024,8.021376,24.469185,2.9536424,394.42923,189.04108,77.37954,323.49756,265.81372,91.47091,61.33433,401.87958,5.576233,257.18878,11.800259,364.31873,1210.8234,13.287387,384.92154,0.85950446,106.50237,45.932945,136.92416,9.662336,10616.331,101.6176
2022-12-03,35.043594,195.70807,231.84807,352.90396,2093.781,109.33244,108.836365,34.49911,42.6674,576.56885,190.58884,15.477435,38.26093,51.32824,446.7134,199.78398,69.43177,354.22147,175.46162,84.31894,231.64026,13.246903,181.25374,272.0266,205.29213,252.68736,12.668248,372.30988,12.140892,30.151546,7.857698,353.12143,192.56442,148.53577,599.92224,324.5724,196.48349,151.30855,455.1659,2.9071052,212.80032,19.483364,278.36545,1213.2983,7.309749,209.57205,1.8635336,333.00986,94.52953,142.41606,40.313263,13333.057,88.70682
2022-12-10,68.91575,243.35841,453.57416,778.9616,3927.506,154.71292,223.65999,71.15989,22.678217,917.8817,217.07904,12.697719,109.92997,200.69882,1431.1637,462.07437,187.83047,707.7737,232.92538,243.52798,385.20273,26.797277,348.16736,459.03613,688.73914,279.66516,35.23447,489.9825,17.596127,51.758076,9.03278,592.6447,200.12141,273.83923,1044.61,609.3278,577.7566,743.16846,844.9417,14.343833,211.23123,54.646862,459.38968,2074.941,33.347954,400.90228,12.54114,1054.165,296.68365,198.34389,38.302437,27683.086,95.29312
2022-12-17,53.69987,422.77597,466.44138,1027.2087,3884.7664,169.31093,426.0,79.75108,82.4801,1043.559,302.5526,7.934272,347.12213,277.97275,1414.1282,1170.5623,479.92313,1212.0642,330.36993,652.6489,456.4694,116.798004,599.3556,490.5659,1282.2878,269.1606,65.973976,869.5688,55.979412,98.755035,23.241543,1164.167,492.57172,658.3817,1908.6254,1205.5173,1558.3368,765.4159,1919.7201,21.17899,264.84073,79.41361,670.86847,2561.373,35.7999,504.07007,31.545164,941.4953,709.10016,343.97174,77.94389,38550.293,86.17874
2022-12-24,70.97335,220.3057,342.72476,771.38617,1740.472,241.18065,381.38135,38.57536,33.36374,734.6471,172.07451,11.450754,248.33101,187.98625,855.0283,817.17975,233.97928,586.90106,260.29608,760.6309,329.00122,129.3137,753.6518,303.50116,740.46625,150.7845,123.341515,316.28622,55.61036,122.33486,70.68914,671.12146,405.37906,382.6515,1756.8547,935.1479,809.7621,774.4051,1043.634,65.609856,118.786064,94.419266,454.57098,1554.4807,63.75077,358.3227,53.385387,586.09644,501.52377,247.28038,50.884377,18533.623,92.359406
2022-12-31,53.647724,151.3379,243.55298,422.60593,1287.1575,265.10437,399.11517,21.499163,23.686108,858.4657,132.85793,12.867634,393.12778,285.79797,602.8935,602.9376,232.13252,388.33997,83.18483,742.6339,265.38904,202.33722,1148.8091,212.4038,740.5375,135.57114,103.42045,355.39917,99.845924,163.38678,83.11888,646.38116,331.519,222.35931,1950.409,1006.03394,771.2167,733.6953,1103.7954,40.78762,143.44617,88.90247,239.01935,1538.5481,40.022488,287.1884,65.08201,869.6962,492.66592,200.84308,42.82164,22905.898,77.807945
