date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-10-29,4.0462112,100.03788,39.354843,10.995613,87.4644,16.534683,9.006583,1.3641009,0.97408456,151.34697,123.8521,5.800764,5.8206067,0.35372153,44.522793,65.02478,5.8535924,23.37163,83.464775,20.026531,45.033062,-0.19617335,29.657173,6.821136,21.294899,73.598465,-0.34474424,60.85438,3.1751208,11.507069,-0.88414055,43.87565,23.961287,17.568884,43.520058,45.661514,17.392471,6.3085732,88.13709,0.4503405,57.536167,11.628688,71.98039,413.6313,-3.6652665,55.87766,0.21096723,-4.9354143,3.1123493,13.109994,1.3143293,3017.0073,60.27199
2022-11-05,0.61464036,205.01562,57.89689,17.896461,99.39065,23.679111,13.574571,2.3727095,2.4094024,184.8484,115.07173,3.6106434,8.413613,-1.6345247,73.00131,94.198296,20.809164,15.05618,136.72243,10.7828,65.563545,0.18346195,8.015611,12.626195,15.022978,124.344635,-0.27941647,136.92552,3.003692,8.836586,0.8598559,48.567944,28.147163,18.816338,71.97795,56.89641,40.241104,9.262648,119.6498,1.1442943,86.46663,12.85953,106.01217,574.4137,4.404864,89.461426,0.981827,25.744963,11.052261,23.867727,1.2999612,2940.3198,65.09476
2022-11-12,9.985028,374.35562,86.16766,29.115612,261.49667,39.102936,33.96978,11.070231,4.7982564,352.06516,238.06723,6.596622,11.578067,1.5898793,95.57819,125.00998,14.901162,111.98011,225.5701,15.520774,120.15163,1.5511042,16.51267,50.506367,49.0127,182.17307,2.2625077,309.1259,3.2231326,8.831121,-1.1666881,68.43727,53.403713,16.452515,119.27762,150.37898,68.25801,8.353178,200.85536,0.9416899,205.07132,10.320844,169.37468,1061.8466,10.311246,252.61346,0.97701776,39.187386,17.96887,61.50218,3.643646,9484.425,69.20892
2022-11-19,13.738081,381.80093,151.98433,63.59544,535.4937,52.62242,31.592236,43.175545,8.809117,398.9339,246.92369,6.51661,13.612665,14.5895815,168.50226,169.70757,30.604784,167.50336,128.49333,12.069598,173.4796,2.040866,37.419285,78.38457,87.35323,222.00047,4.4037967,285.16068,3.4931104,27.93694,1.9963838,215.41153,93.795456,27.569035,258.72247,239.68373,47.03886,39.11025,271.1013,3.3797052,222.22226,7.8746257,364.96698,1312.8273,0.38612995,318.8763,-0.1449831,41.7586,32.172543,97.123665,5.343712,9220.352,87.51504
2022-11-26,13.22451,242.93773,231.58247,135.83725,1088.0544,76.62569,58.286217,52.18187,12.09354,502.4739,251.79979,18.210575,12.903983,9.033408,303.3733,167.96472,51.19737,274.73834,172.72618,28.002182,215.51889,6.438653,89.178246,205.334,108.9721,213.65474,11.330055,390.09943,6.15668,25.927017,2.6517136,347.1054,152.61797,78.46797,291.20352,284.40048,84.177864,50.023457,432.2372,5.634975,267.32416,11.776702,358.11835,1102.4071,12.700439,352.8308,1.1814185,107.47894,58.965576,137.81664,11.112341,9957.003,95.7364
2022-12-03,35.97705,179.62065,239.86835,331.6961,1866.2363,114.846375,112.47228,33.52614,38.830753,543.7698,175.86906,15.361917,35.32419,50.167866,500.3109,293.65268,75.43787,333.12662,180.42778,93.20145,232.63731,13.506981,163.19664,276.46594,207.84889,259.28757,13.445186,346.67557,12.051984,28.667252,8.212137,329.0449,163.66554,142.08685,658.407,379.07318,207.08679,146.08492,493.7773,4.839496,233.4165,23.120998,329.40134,1356.4827,2.445343,247.02257,1.6587343,352.97122,98.58346,151.3972,34.17909,12795.052,76.84738
2022-12-10,73.21591,185.30861,381.8841,773.79987,3786.8933,158.34297,238.88924,53.51598,28.551077,799.42554,154.59497,13.074847,103.229256,198.86722,1239.0116,540.2831,182.1237,659.22424,198.74347,264.27026,304.12125,32.62699,369.2955,382.3607,651.3682,247.13719,45.081333,470.1112,23.42119,55.5373,11.364287,636.3865,204.91095,274.13666,954.75977,753.18427,540.5643,445.64972,858.06274,10.720566,200.92206,52.50386,469.5998,1850.0687,33.816498,335.57687,12.432765,679.4963,283.00623,204.15718,42.052906,25767.314,84.34809
2022-12-17,52.345898,360.84393,441.28818,1069.0088,3659.2163,178.85237,634.43036,62.26268,85.95973,1037.0306,296.84955,7.842948,285.8653,279.98956,1236.6963,973.8969,402.65182,969.3534,334.184,661.075,443.2093,124.45357,635.613,468.9938,1129.1503,239.56596,64.99096,812.0757,59.59805,113.02549,32.029247,1087.1816,375.46664,525.6495,2017.7863,1189.6104,1181.0343,619.8337,1619.0638,21.663435,252.36296,79.52659,693.96594,2202.284,38.31168,447.48666,33.43511,867.3769,650.2212,342.2175,74.74735,28579.488,89.65754
2022-12-24,70.56591,228.4672,299.21207,754.7795,1912.7942,264.18414,394.29337,31.829224,30.916716,804.9301,170.0786,12.066973,253.94638,185.79288,1001.1208,905.78687,252.85107,540.9191,222.90587,749.3099,315.59396,126.15833,762.535,289.19284,846.05725,149.35278,143.62659,386.1818,60.2023,134.5854,77.77216,820.7819,411.698,366.84174,1734.1982,1051.3865,907.2903,717.96106,1306.421,76.0331,137.8426,85.086395,489.32956,1462.091,68.60444,335.55377,53.391087,624.12933,508.50873,273.0138,54.632404,25371.057,77.89064
2022-12-31,52.46317,138.64871,242.3025,453.42188,1546.6467,252.43704,309.9168,23.388826,22.713984,807.8414,130.59885,13.004667,322.4125,282.3625,386.9593,539.1723,233.49594,214.5234,91.03551,763.6267,257.52438,211.2735,1143.1533,190.77684,664.0622,132.39946,100.70873,349.53085,105.13397,164.18074,89.020004,498.70248,321.10434,189.60637,1759.7711,878.4505,687.28015,718.78534,1034.2762,44.51839,159.82535,97.650375,156.6309,1329.0088,36.08869,261.2282,63.02544,723.92847,449.64847,191.3275,38.433388,18554.512,61.943752
