date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-10-22,3.8835082,103.52737,39.351463,11.397636,85.34529,16.466587,8.634077,1.4294602,0.45232916,151.21327,123.531235,5.84461,5.847516,0.22276895,45.83187,65.21722,6.1501284,23.813824,82.70562,20.751854,45.03901,-0.19557579,23.925608,7.910029,21.01211,73.50124,-0.38016713,60.743816,3.2076106,11.490622,-0.7816983,43.942345,23.78932,17.359644,43.55258,45.73163,16.928268,5.7566853,86.409256,0.45360023,56.773026,11.62266,72.65365,404.80475,-3.792788,54.30083,0.48927596,-4.187813,3.1247659,12.444677,1.3654685,3169.5735,60.34263
2022-10-29,0.80223775,204.65227,62.064205,17.694836,97.19478,23.709766,13.412279,2.8750272,1.9331955,184.89919,115.0995,3.527337,8.415854,-1.6823207,72.89284,94.16107,20.014107,14.453528,136.03699,12.029,65.56598,0.18403624,7.8225174,12.063646,14.941395,125.671616,-0.27512732,135.85756,3.0274124,8.8363285,0.6550818,48.08194,28.264553,18.67801,72.007034,57.906166,39.110687,9.017875,121.71155,1.101889,85.7418,12.843149,109.61215,568.4317,4.148242,86.7896,0.6986554,24.58084,10.99492,23.689917,1.3228648,3153.354,64.833855
2022-11-05,9.275007,373.84622,85.99655,22.059776,262.35428,33.866753,34.984085,10.438719,4.249857,353.49442,236.49864,6.689954,13.158211,1.3549111,93.91384,125.352356,15.361319,113.99146,224.26886,16.033321,124.20824,1.5524356,16.850298,48.793728,49.11573,182.23367,2.1385696,307.50146,3.2373805,8.838183,-1.0363898,67.97782,53.58051,15.243604,118.685326,148.47797,66.91353,8.886352,202.25496,0.95864487,203.22517,10.379064,174.18254,1055.5114,10.115303,250.22667,1.0637379,38.590004,17.953499,55.796516,3.7217839,9525.662,70.013306
2022-11-12,13.682722,381.65524,151.5789,66.74595,537.80817,52.66956,32.59874,38.34659,9.267434,397.61047,246.30843,6.5449896,13.619927,12.431638,169.25795,170.18835,29.114372,166.94122,128.9787,12.162604,173.1658,2.042151,36.597206,77.13889,87.08365,225.60258,4.340692,285.80878,3.435325,27.96681,1.5100893,218.722,94.73669,27.769794,259.59378,238.80832,47.785503,36.16488,271.51212,3.4827354,219.2604,7.883734,365.4826,1313.5919,0.4303459,316.5097,-0.09024057,41.208214,32.276546,96.52408,5.4122252,9235.355,90.77082
2022-11-19,13.22679,241.84694,228.79019,141.54134,1077.4348,76.60289,66.45595,48.59951,12.785039,503.28085,251.84264,18.629992,12.797008,10.584893,302.83054,167.01122,51.25702,274.37164,172.02435,26.141552,215.16121,6.432725,88.947235,207.81451,107.9481,213.11374,11.473279,385.68463,6.0354834,25.917587,2.7907188,348.0832,152.7434,79.825035,291.2123,279.1708,82.64338,47.542313,435.30722,5.7078257,262.16925,11.776699,358.03665,1097.9082,12.307157,350.182,1.0228277,104.45533,58.900867,136.96046,11.370818,10017.355,95.77566
2022-11-26,34.660507,179.67192,239.73898,328.06665,1859.7133,114.768425,115.8101,33.28761,45.730217,544.70416,177.6956,15.3367815,34.846626,38.506645,502.1157,296.55292,75.72333,331.85638,180.40797,86.19337,232.62523,13.531586,163.18742,281.72107,204.32388,258.41953,12.558221,347.71002,11.962301,28.5364,7.5369864,328.7089,164.20558,143.16808,644.0149,377.541,199.60883,133.26425,495.25598,4.851495,235.07219,23.221035,329.3588,1358.4877,2.509662,249.39705,1.5932286,347.1316,98.55778,154.64622,34.25991,12735.41,76.58834
2022-12-03,72.2249,190.17155,370.31735,692.66705,3214.2976,158.33835,243.5929,55.236725,33.273903,795.0147,153.33318,13.083317,100.965164,171.5652,1254.9492,548.8439,183.67032,658.4378,197.74925,236.14902,307.52118,32.660736,354.39737,382.35196,627.0945,246.35837,45.2176,458.80447,25.06793,58.311764,11.387388,638.13837,196.15628,258.7586,936.95856,746.1131,526.4883,436.62964,863.05145,10.853595,202.73859,51.86167,478.71484,1865.4922,32.440857,324.2421,11.565085,671.66583,275.2579,201.11037,42.07952,25634.223,86.88476
2022-12-10,52.30076,353.07114,441.62262,958.50195,3469.0032,179.00226,611.15735,64.4378,75.6105,1031.1139,293.31686,8.072665,256.96826,238.98903,1244.9388,993.5555,374.95963,964.6757,332.83377,561.82104,435.30542,117.351074,645.3845,463.71262,1042.1484,237.94028,66.12136,759.26373,57.792355,116.33618,34.079586,1068.8226,373.47232,476.04922,1704.1993,1201.3212,1138.8215,605.6474,1629.5155,21.916275,253.40569,79.4756,698.9575,2203.05,37.70135,445.9594,33.097775,857.04364,569.00446,340.28564,71.06983,28461.523,90.69764
2022-12-17,69.61267,235.92738,298.01993,761.93207,1853.8511,264.13364,396.68237,34.5376,75.97351,796.6115,160.62392,12.634963,254.1877,185.46472,996.1839,910.7301,252.07256,533.8447,216.75072,669.1902,318.65674,123.5104,743.12024,289.19553,844.7121,150.00839,124.90312,387.45917,59.145844,134.74342,78.25419,821.0359,411.85764,355.8005,1733.9683,1054.7628,890.09607,686.52576,1320.7146,65.634705,121.17846,85.09793,485.08633,1420.0128,68.43614,335.38156,50.76093,622.72156,509.0226,274.9444,62.860966,25364.977,78.292816
2022-12-24,55.090828,135.49338,241.88904,477.82635,1549.1445,252.68877,323.52637,22.700285,16.158484,807.8173,128.25294,13.325243,312.91595,281.9348,416.8762,533.1495,234.00017,202.88348,84.53563,711.7429,260.74417,198.3516,1132.0768,191.08382,670.51306,132.57175,99.483574,372.1535,102.451805,163.71263,88.919014,496.41095,319.6306,187.07744,1759.8389,878.20404,690.84503,695.02637,1045.276,45.368446,160.169,97.87032,153.77045,1330.5282,36.5639,260.63147,59.831608,723.8301,451.4133,185.67152,38.94687,18945.871,61.37971
2022-12-31,43.134155,130.56898,180.86636,597.3843,1311.1019,349.082,186.845,18.610401,25.188644,1156.2487,154.66052,25.354826,317.63873,211.97366,460.4742,527.5605,138.13774,160.22398,208.36426,870.0081,229.18288,239.07976,1219.7788,99.38816,469.25424,75.417725,48.535545,272.82095,78.9021,126.1941,103.95867,585.91296,330.00854,219.25348,1289.6251,519.6744,490.36185,331.12112,1006.7292,53.55229,113.246826,79.234955,179.33887,1131.8809,70.25935,242.8902,67.51156,137.34084,407.76352,135.57787,47.807137,17445.764,89.59126
2023-01-07,40.922333,128.60144,109.20893,682.1334,676.3196,275.0395,172.5464,42.062313,38.722446,1176.8995,186.51385,34.197826,293.69794,157.1362,391.24487,428.72174,153.87431,112.80068,123.60093,727.00775,227.0751,180.82968,1010.02216,141.04173,562.3367,107.05874,85.04187,294.855,76.52317,118.551735,137.58386,413.66516,267.48935,155.2247,961.70355,389.0458,659.04193,232.86665,1053.0068,48.140682,136.22725,48.20851,220.74142,1441.799,74.256516,267.9911,84.362114,193.87137,437.7867,126.40057,44.859997,15115.497,65.27647
2023-01-14,33.11811,93.451836,106.57747,230.24231,729.7044,80.19829,119.78891,4.970021,48.8639,1198.4344,169.52814,14.685252,182.84808,134.60362,262.9854,284.00717,74.11843,8.72203,171.16216,261.1911,122.624344,106.9486,384.00238,57.618065,243.55458,74.75958,61.400097,198.82062,70.63243,93.1812,101.03316,165.31848,144.40074,106.436104,569.579,264.58762,269.07095,37.64019,524.1753,29.93285,121.11804,60.792377,75.85589,753.06195,58.840485,183.4478,47.884506,236.11728,272.41452,110.87372,31.97875,8695.143,59.127144
2023-01-21,8.701671,89.194786,77.73111,85.98725,-13.676446,65.63078,44.069145,5.716134,22.10202,358.597,94.93978,10.331418,35.093063,48.625767,-10.278412,79.73813,34.067795,-8.546137,41.453655,82.2418,108.7505,24.09347,68.39938,12.569566,139.2622,55.96512,43.122814,116.20443,48.675304,52.155716,23.138725,99.06358,22.841707,-18.49343,253.59148,87.04645,168.4404,32.57164,235.82207,6.839804,69.673294,20.260365,31.20709,382.5451,9.192432,83.897934,-4.801117,79.96492,95.991905,27.901356,21.13144,2673.639,69.05192
