date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US
2022-10-22,3.7863472,107.62427,39.619884,17.484394,84.660675,-4.858738,0.115116045,1.5793996,3.0742862,170.94844,129.90546,5.662443,6.567073,1.506478,42.92721,45.81838,6.299009,24.522495,86.717964,15.860832,35.397232,-0.55423695,8.532029,17.907122,9.148398,73.933365,-0.14336467,59.373558,1.8368332,15.763545,-0.853575,44.385715,22.462997,13.799634,38.563988,40.41742,16.548811,7.8098516,69.0261,-1.7436708,45.301037,11.00685,71.839905,364.33313,3.010642,58.58664,0.616634,12.981237,4.522833,11.144413,1.107953,2159.7766
2022-10-29,2.4682791,202.51772,54.096043,31.40929,225.55054,21.601294,9.432451,3.9030974,2.3678808,234.6227,154.80168,3.480196,8.044601,1.3962145,54.590076,62.71488,20.406406,8.01065,130.3859,8.787365,65.63088,0.1967009,14.804884,25.167248,27.941208,123.89512,-0.89978963,130.01424,2.1417193,9.401112,-0.2997317,37.674953,25.218327,14.366803,51.879917,41.16316,40.856747,11.583296,106.42724,2.2601852,82.40897,12.374128,109.88612,607.7991,8.906698,85.29415,1.134581,18.571224,12.769531,17.30844,1.3807906,3249.6565
2022-11-05,11.026494,331.5314,91.37067,39.70577,300.5898,26.474302,34.76944,10.513391,4.1678205,265.34946,262.2145,6.302584,22.81781,2.1719203,89.48971,94.30644,21.885359,112.04058,227.22754,22.956448,117.67818,1.4182651,43.24626,33.44652,46.577957,192.334,1.8396015,321.60635,3.029418,7.792902,-1.6024417,84.148964,51.475563,10.630996,135.56207,108.046555,74.944565,9.85974,203.8794,0.40064862,210.56285,11.008717,153.94617,886.6525,11.93842,242.30919,1.7204021,27.795105,7.1361375,65.73319,3.0744958,6205.666
2022-11-12,14.830615,408.82672,156.67545,78.93597,571.3452,45.99982,38.36938,22.044176,9.402089,319.82,221.72227,6.7135367,19.30188,13.237695,163.26523,129.85059,37.011703,166.72911,154.12631,29.769463,165.11339,1.7086781,50.68951,84.06315,60.125584,217.60046,5.1230755,372.1685,5.9830832,26.78754,0.47888213,214.36253,93.487976,24.872507,222.62283,189.96802,51.680775,38.669872,275.07816,2.8268032,325.28653,9.7914915,261.02316,1199.389,4.286278,454.14395,0.59977484,36.532593,22.440298,102.87873,6.635399,8556.586
2022-11-19,14.152826,285.3932,257.59827,147.79305,1136.9032,85.632996,62.260345,47.966522,12.322931,486.8831,270.84622,18.41536,16.38629,14.695305,296.9055,158.7291,58.25231,312.65036,175.40215,33.9962,216.8651,7.1002927,89.13402,201.82982,105.061104,213.00246,9.795898,432.63507,9.577412,22.380846,1.723731,377.22537,161.98573,79.5922,329.1595,331.1056,104.09412,53.310883,437.7393,5.573758,270.7999,12.663123,379.58136,1259.2524,13.415448,390.41586,1.0767285,101.85621,48.54239,153.60211,9.657235,10984.853
2022-11-26,35.16158,230.1753,244.40489,373.34677,2019.7526,114.7688,131.0533,39.376213,43.52474,579.88324,207.852,15.215611,37.834747,45.0359,529.35114,280.70212,78.39982,382.0605,198.70522,69.525444,229.83594,12.977302,179.95804,263.84732,200.39217,259.45782,12.370623,384.04855,13.74276,29.886671,6.509654,357.5216,168.29782,147.34933,626.52246,349.00516,206.52167,140.34744,506.60007,3.4893894,233.62617,19.596018,367.5958,1309.1284,8.879219,244.15314,2.2153552,373.74146,103.729744,151.69156,38.881554,13182.763
2022-12-03,65.86138,234.80428,525.59106,738.26184,3662.401,171.06058,260.05884,61.497154,32.539867,805.2873,214.09946,12.869126,110.78493,150.36418,1244.9087,523.40686,175.72752,643.439,207.62894,246.04109,350.3591,32.586327,353.8417,385.12003,607.1345,250.41992,38.654533,508.47025,21.915403,59.017677,8.667445,657.54456,188.4114,250.765,1089.4906,789.4176,512.2822,516.7807,929.00653,13.981992,233.22337,55.60319,501.13043,2125.437,26.612505,453.6883,12.082319,837.3387,299.85748,220.39001,39.03355,23210.365
2022-12-10,58.465225,348.9304,571.6334,1008.6352,3847.4495,186.5155,663.3329,71.67928,76.42644,1052.1333,306.74405,9.788816,266.9248,219.82736,1466.2073,1166.9202,416.95206,1129.6678,340.71753,578.4523,438.51318,114.0811,602.0768,469.08118,1094.6,242.59868,71.29918,791.027,57.170364,116.67967,37.223454,1190.0824,416.0546,483.24057,1839.8779,1229.2429,1249.6006,673.552,1895.1251,21.611803,258.27582,72.04899,805.8344,2379.233,36.557186,518.0232,34.162704,901.0807,587.70905,362.75766,74.92293,36571.754
2022-12-17,73.077644,268.91248,355.35654,796.4279,2117.8286,272.8451,474.30734,50.984974,51.70512,798.69684,155.97307,10.553139,256.17157,192.94307,993.7084,960.0503,297.31418,839.2802,250.27191,713.9346,321.48132,126.3002,722.9712,333.97293,833.6615,151.50302,122.56922,400.44168,55.06016,134.83575,81.86785,992.83075,444.72684,360.15765,1934.3407,1175.502,977.7543,762.5921,1572.798,56.40125,141.20157,87.25154,585.17816,1665.4615,69.22383,355.62506,48.324596,678.5107,522.2645,339.23737,65.296906,24108.342
2022-12-24,57.55168,157.00658,260.20926,486.6231,1557.1656,274.0361,410.11932,21.688368,17.345491,883.78,158.2554,13.073774,318.28122,324.82422,607.9644,537.6788,245.20992,419.27457,90.51557,751.7478,258.3708,184.35995,1244.8577,192.45345,739.33575,134.07768,105.95099,356.0486,102.26149,161.84525,93.41356,666.17487,346.7142,229.20258,1967.757,1034.4625,754.5488,717.38574,1122.0671,49.938873,141.73961,96.82653,272.67462,1452.496,37.371426,267.3011,62.92325,854.0597,443.74005,210.128,42.538208,24221.86
