date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-11-05,4.0023546,107.84603,39.81378,16.952139,85.07368,-7.342055,-2.2190695,1.7938404,5.1786876,170.96074,129.79648,5.6029754,6.5816383,1.4755265,51.434708,37.65978,6.2685747,25.09795,86.36763,16.042921,35.381794,-0.5481605,10.146593,16.49072,9.122863,73.97191,-0.100670524,61.20964,1.872287,16.027914,-0.83369327,44.35331,22.504091,14.287926,38.668224,40.599167,17.277285,8.917242,54.80008,-2.8577523,46.13165,9.918581,71.71542,364.41843,3.0089028,60.42011,0.5151107,12.939406,4.4343605,11.166532,0.20949833,2138.2847,47.879387
2022-11-12,2.3150363,202.54411,54.08246,31.655945,227.81445,21.809488,6.6847053,4.0184917,3.3175247,233.88908,154.73157,3.581636,8.060579,1.3661397,54.66493,52.494648,20.587679,7.863438,130.19327,8.796222,65.319984,0.17351535,13.686227,27.249834,28.83141,123.463486,-0.8944381,133.57077,2.4018474,9.571361,-0.17940427,37.75434,25.179495,14.499881,51.976765,41.020786,43.030888,11.764605,106.27238,2.0917401,84.631065,11.809679,95.26643,613.05994,8.956445,89.10505,1.1990695,18.976227,12.7453985,17.316654,0.75477666,3252.7227,49.35073
2022-11-19,11.425004,332.01605,92.310715,39.45443,300.56912,18.870287,30.017803,11.137489,4.187053,265.4261,262.6445,6.1659293,20.549332,2.1723163,88.56164,79.794815,21.751947,115.021576,228.56432,22.840897,116.14318,1.4180282,41.943096,34.420822,46.347614,190.08842,1.4858893,333.5469,3.0300577,7.746684,-1.600038,83.82714,51.405308,9.762155,134.73448,110.45994,77.89791,9.036904,202.10379,0.4197866,209.93353,11.779387,133.57195,888.1707,11.90023,252.35866,1.6746987,28.058813,7.125528,65.404015,2.784117,6350.5684,56.479954
2022-11-26,14.864031,409.4008,147.61679,80.1204,574.783,46.109695,38.941658,19.078909,8.743604,318.68604,221.58278,6.65357,19.349052,14.24854,162.36385,108.633514,37.34279,168.26466,153.99715,29.741398,164.33406,1.7072132,51.024235,86.404045,42.326633,204.62056,5.1712656,371.9454,5.866753,26.006617,0.76141626,213.2618,93.14041,21.40281,222.16766,190.70473,49.334778,41.253845,274.84567,0.7020687,329.1997,9.967429,261.66357,1203.2065,4.451024,469.18625,0.52783006,37.15184,22.147738,103.119156,6.3763556,8540.278,61.390358
2022-12-03,14.110592,284.69687,264.34625,149.04292,1137.0045,78.20656,61.713856,49.80704,10.769787,486.25342,271.22842,17.827717,16.386415,14.013619,295.4332,158.84143,58.28312,317.808,175.48994,34.051174,217.90236,7.127427,86.241234,200.10313,108.69776,213.22552,9.566824,431.13135,9.455545,22.3803,1.8240497,382.07626,159.66872,78.74778,328.8112,329.69498,106.10626,55.134243,436.54388,3.9373322,270.33182,12.287459,379.58426,1256.2645,13.5557995,393.74658,1.1368744,104.80041,48.51471,152.76851,8.719763,10978.184,100.03374
2022-12-10,36.374756,230.16203,235.22989,367.27325,2030.7476,100.681114,129.51962,39.655476,30.058317,579.82776,205.4883,15.252153,38.445255,48.3349,522.21234,280.68195,78.30958,382.48602,198.6893,69.45901,229.99246,12.942733,179.5858,270.21826,208.90913,260.51752,11.82352,371.15945,13.67548,30.012768,6.997012,357.21802,165.9523,146.73766,632.65424,350.56073,212.00409,156.13316,509.2773,2.7189808,235.01823,16.195738,357.42828,1306.5558,8.757328,245.2201,2.2386248,376.52158,103.46384,152.45773,38.525043,13249.704,95.99347
2022-12-17,54.42192,234.91582,536.60504,861.58374,3666.8347,165.34874,257.22052,61.647575,24.092001,807.0974,212.67627,12.894246,113.08449,150.64215,1263.5834,509.7365,175.87979,637.3238,207.96262,262.01663,360.37308,31.841562,378.3056,376.85944,721.353,251.35526,28.226416,513.6569,21.534191,48.893234,8.79186,639.1431,189.4641,247.76947,1183.8607,784.70605,532.18994,547.6835,929.79584,13.463907,232.06255,55.194595,481.58368,2097.2634,27.164972,431.428,12.366983,841.5052,294.46182,220.53152,39.03198,23567.193,98.91053
2022-12-24,58.64526,338.0329,567.4136,1139.5435,3864.9426,185.53142,671.79156,71.64847,79.67179,1067.7916,309.3483,10.032659,301.07068,237.13176,1469.9983,1196.6781,474.14032,1144.9292,339.27795,649.2028,448.23917,129.66547,629.7892,468.02295,1440.4897,244.6356,71.293106,809.68744,58.89856,109.50278,29.030333,1192.3068,406.631,535.8726,1854.9609,1207.4011,1367.4097,696.18445,1890.9813,17.336014,258.6592,72.53504,803.1127,2381.3726,37.13121,520.2448,33.79196,899.035,643.2982,349.2216,76.39677,36933.25,85.15552
2022-12-31,73.56859,261.41193,358.27408,784.8991,2141.5303,275.11295,476.1652,52.703938,48.678673,803.6633,160.20552,9.471089,256.113,192.77936,1001.66455,952.3646,297.3126,812.43884,254.10965,747.2982,321.71246,127.07026,757.895,334.88544,848.3903,150.50864,136.70811,422.36176,55.41786,134.68636,81.74179,976.3855,444.67325,369.16354,1927.9885,1169.0804,977.3282,772.21783,1554.0204,57.041634,138.16699,83.195015,582.69885,1705.751,69.224014,359.39734,48.095306,676.8547,506.15738,326.2087,63.261284,24539.277,90.190544
2023-01-07,55.91263,166.17232,262.38824,443.19293,1589.0212,273.42126,386.4249,21.879349,18.922194,883.778,167.5319,11.918247,328.15594,331.91138,608.3068,551.25854,245.5362,432.22983,92.51665,757.43713,258.16376,186.2991,1438.7903,192.01772,734.6292,133.73344,105.50637,337.56583,106.27695,162.42046,93.4732,663.1581,348.9257,242.68057,1964.7046,1023.77216,745.9515,708.802,1147.1248,48.875042,139.41678,85.560814,270.98254,1454.0505,36.977142,269.33603,66.71989,850.2921,440.704,195.47913,43.098335,24296.63,100.90492
2023-01-14,43.264065,156.1906,203.38846,593.16223,1540.7941,356.26288,196.5095,20.57172,26.911568,1139.8694,142.89153,18.864765,329.02612,236.68202,573.4804,476.59924,165.6563,244.90802,185.7507,853.53754,227.58438,150.93721,1296.6012,120.76141,450.82703,71.47691,51.30664,219.54404,78.52765,137.6416,110.96305,541.42303,348.59976,211.44452,1541.9177,763.43036,584.77356,207.70914,1065.0723,56.431942,107.81704,85.68606,183.4148,1137.3748,73.121506,276.98032,70.656235,294.43634,408.00085,156.91983,50.164074,18012.643,100.5094
2023-01-21,41.043274,157.26408,216.1457,705.9485,1073.272,318.7386,211.11224,37.181133,38.57983,1254.852,204.68518,35.218147,306.9991,217.96397,422.0215,418.7205,192.01248,207.98927,140.995,780.8832,234.40387,190.04277,1129.3389,183.61867,639.442,89.96447,78.6945,292.09888,82.3535,133.6938,145.72943,447.6201,270.30783,139.55348,1047.9379,609.9116,770.15155,286.47327,1145.4983,53.109173,168.58983,57.009228,257.9618,1396.4062,84.74581,277.94156,87.11999,284.00482,492.1308,180.99426,52.31805,19971.533,73.29485
2023-01-28,33.79188,120.296165,129.87509,345.64542,614.17505,211.98651,149.87498,10.423231,46.796337,1303.5653,181.80637,16.835655,197.5406,115.26047,365.642,358.78796,122.90477,114.874535,165.14253,114.46059,125.30726,109.0522,681.369,47.587975,345.25534,74.56262,65.536026,193.13155,75.423,105.3994,110.934746,261.5063,160.89977,116.39092,803.35706,436.99768,455.30954,-10.370831,842.85516,31.250835,128.06218,73.64665,128.52882,1138.3685,87.01891,222.57083,52.924065,212.07784,299.21902,163.67007,36.496765,11158.211,69.44235
2023-02-04,11.158454,102.72015,90.81142,134.42625,225.21416,163.45183,55.23287,6.84328,22.747046,589.626,143.3475,13.139193,10.623899,30.198044,42.94803,236.52783,52.40634,27.871094,63.7761,11.104784,84.448044,4.1337967,-239.2677,18.764162,110.80618,56.671547,44.963478,110.51748,53.642467,68.88353,32.72006,139.82777,27.333092,5.2541957,199.95033,65.28085,249.29967,27.206692,355.67157,11.430836,61.471016,17.90638,88.93564,664.6905,38.445404,135.45406,-19.860432,111.725716,101.11668,40.768208,17.972082,4907.2666,70.818924
2023-02-11,5.4430494,76.5416,49.88255,116.508995,207.12645,91.46814,27.617697,8.745357,19.604012,695.73456,107.51335,6.9872227,-8.515968,35.34913,33.868633,172.10686,37.20714,5.2293515,114.345276,35.31878,50.819485,8.174708,25.691412,16.865519,26.271852,47.651035,15.410506,-0.3352469,23.831858,56.050632,20.892796,76.504364,28.959372,29.181786,101.468155,37.010834,121.55732,-11.858077,181.62656,11.824889,57.000927,11.733375,63.993206,429.7291,29.946241,79.06313,13.024364,200.36147,52.43858,14.870688,12.737592,4131.0923,53.978256
2023-02-18,6.180554,46.311066,19.134014,25.150967,156.70322,82.76764,9.511548,5.3956003,15.676521,360.1275,106.54747,9.2699,51.542004,9.441068,21.400288,139.2934,37.12492,26.847017,27.526354,19.178247,25.79184,1.6547209,-39.24444,0.45893025,20.44601,32.134712,8.117265,-42.79697,21.829515,27.602112,18.220343,70.45976,15.193605,9.718584,144.62158,16.08495,68.228676,-45.658737,180.15446,11.541195,41.13397,14.861155,47.97167,289.43512,7.296105,10.733024,2.9633434,53.925735,0.23110443,22.491957,5.294056,2642.923,53.47762
2023-02-25,6.106396,31.116268,30.059803,80.5088,99.08637,95.31118,-4.1146493,12.042158,16.166164,330.24713,91.475815,7.79828,-12.412051,-3.0330372,38.242542,69.12722,13.656345,-48.59619,75.35733,57.497936,43.37008,9.22393,154.2199,-1.724022,39.17624,52.116768,8.568847,-14.64648,4.59337,10.493037,1.8754344,-0.55151373,16.563366,12.074824,-51.27215,48.618443,76.11675,20.886606,100.34827,7.061842,34.41741,17.241684,55.49027,212.98555,4.4400015,65.816574,1.0493025,18.249111,-32.305435,21.082634,5.894609,2536.912,51.286167
2023-03-04,2.2874599,20.067652,31.794884,52.396523,28.506346,57.318493,1.8421171,17.311789,13.597265,247.58943,69.87854,8.8366165,15.0697155,1.3319867,25.061981,16.143827,9.100572,-13.37219,58.4346,61.322895,23.453304,2.9676151,-5.1925764,-10.770299,9.3172655,12.7029295,1.5454314,-92.02518,15.669969,1.5291694,11.597553,28.399788,4.483204,8.076751,47.34377,19.319271,37.937656,-5.567914,59.359005,1.0996805,46.8547,7.940481,36.037895,199.98532,8.932859,31.37579,-1.6369038,60.014584,-14.974255,14.238187,2.8142273,1778.7825,58.978394
2023-03-11,2.323673,1.983932,15.383286,36.991497,55.72294,4.3773956,-2.469111,-4.9524803,7.8087,236.43137,59.58082,6.8544436,-3.5492725,6.6455445,-13.338878,-8.514324,3.1358862,-34.488567,67.01878,32.714565,-2.8172872,-0.66915375,58.35781,-6.965757,27.840477,25.381739,5.476999,-19.279991,8.55391,6.1716433,0.5932359,49.04066,15.033275,15.429673,-25.697374,49.01462,49.627037,-20.221619,76.263916,2.6810198,31.275251,15.644382,44.94785,110.73802,5.3519216,62.354404,3.3206263,6.915879,-40.19468,7.462785,0.6909927,2577.7285,49.59987
2023-03-18,4.089724,-25.542133,28.931458,36.35487,190.36734,37.07149,2.4016945,0.6824647,8.820139,167.06776,53.935204,7.5199223,10.741703,1.0052955,-12.985535,22.89183,4.112909,-107.99407,36.9553,10.797977,10.425973,-4.1778054,41.31768,3.1321812,-4.502299,30.292269,1.7038784,-63.875465,7.356823,12.744749,2.7762673,9.113523,0.5428269,-6.275811,17.994514,12.240172,33.272907,-17.733301,49.154434,0.71038896,34.28057,3.46826,24.8198,102.30762,-4.8570924,35.753418,0.4694985,30.132217,2.441551,13.66844,0.48160493,632.7056,40.40293
2023-03-25,3.2150183,-20.309742,28.974504,62.066517,-37.488804,57.287838,-0.29433352,-2.8819761,7.5550485,120.19634,33.51261,4.879688,-3.1878178,1.8588599,-9.271295,3.819396,1.3886803,-101.98905,45.15653,4.495104,-9.365318,5.0860424,45.21962,-4.31244,19.517881,32.997288,5.8218884,-68.674545,3.3911793,4.5917616,2.1482162,39.893063,19.833122,9.155127,-14.418906,12.460066,31.758486,5.516918,117.82082,2.0480099,23.955894,6.694857,38.50426,39.239502,-3.1677241,46.823307,1.6097639,69.07758,-38.200077,6.884434,0.97472626,1179.103,31.726183
2023-04-01,4.329999,-22.945696,-6.2244205,26.289785,110.37364,0.62667847,-2.322623,1.9804691,4.646398,42.36696,18.201029,4.442857,11.731766,3.4941018,-36.270893,-52.20376,-5.9000306,-51.30168,38.75118,38.257835,8.232298,-4.5349503,8.176786,-9.533598,-2.2173252,30.097227,2.386552,-23.425262,3.9354403,12.229574,0.068522684,-4.0185785,-15.543814,0.38550425,103.527435,15.559014,15.409772,-14.053776,152.7455,0.06834728,5.7862673,14.921832,-20.718147,59.863075,4.0147347,15.954841,6.2962275,50.0693,-15.798331,0.84922266,3.3271554,819.0678,26.367964
2023-04-08,1.3510108,-47.475777,13.300196,66.61868,42.4467,7.660387,1.7278302,-1.8751127,6.5593886,174.28937,15.804673,3.4872706,4.392746,8.413303,21.746462,42.22749,8.4041195,-27.595276,25.112892,18.953197,-13.214309,8.952372,78.33271,-7.816645,18.005726,18.70502,1.5962529,-15.6599245,10.7937765,7.713334,13.539269,16.883615,13.752425,6.621627,42.394993,48.23279,34.537178,18.315529,62.232204,1.4771937,-2.9022946,15.97025,49.8172,145.64076,2.542315,65.58812,-0.75760424,32.865944,-7.3836393,4.9940495,2.8314188,1078.7157,16.376976
2023-04-15,1.4417392,-80.48913,9.472172,11.995741,-5.1195445,-4.466704,9.384083,1.2827098,2.530052,149.64984,28.461517,0.25252736,1.3839601,2.6871994,-0.1396243,-63.588486,-2.1609929,-83.10187,5.0778017,-1.3805695,13.503192,-2.6393795,6.498395,-7.753243,-2.4838767,19.929522,0.6809367,-38.900112,-1.4987139,7.1931686,6.019672,42.06056,-4.8833985,11.239747,11.069718,-88.741356,-17.01006,-37.37307,136.59335,0.008591128,4.328859,19.383043,-18.681093,-71.21816,-1.172109,27.430145,5.3522873,-15.066065,-13.568001,13.959335,0.9469824,571.6596,21.87531
2023-04-22,1.4436277,-6.894118,37.617435,31.342018,78.19323,-12.377717,-8.518159,11.8585205,3.8086264,222.63033,37.51827,4.75768,-2.2955055,3.399519,6.269488,-37.113274,4.443229,-67.49838,2.4230149,24.609684,-1.5808787,7.636469,-7.7841215,3.78757,52.34869,11.466003,0.81007314,-25.717342,-0.058027226,6.8698373,8.396957,12.854135,-4.3001494,-3.9345446,112.32836,106.0866,29.996277,-5.239438,8.061817,-0.4982927,7.9062076,12.836514,67.91204,69.82584,0.56157374,67.82682,-3.349532,37.280834,-17.318474,4.515412,1.1300817,1530.6206,30.452347
2023-04-29,2.776186,1.2558608,-16.411451,52.2401,21.061035,-6.5811625,21.913708,-3.306617,2.8588881,195.43823,25.309801,2.4945,-0.018383194,5.9307566,-80.65905,-2.7344794,0.14663292,-46.17533,1.8912536,6.427793,1.0571543,3.1624067,66.80228,3.9231834,-8.816048,26.06825,-0.45340404,8.343458,6.4608088,0.44129992,5.687644,18.881348,5.0115585,2.8684726,52.54723,-30.302156,20.440706,1.1130687,34.058414,-0.60276246,6.603932,13.693976,-25.776302,-5.261641,2.8908083,40.782223,1.4304551,-32.8101,-8.6606655,4.093808,3.8730452,1073.0438,27.408812
2023-05-06,1.759051,-0.9392768,16.848904,50.493996,153.49252,-10.545024,-19.522335,3.406711,2.8086164,129.531,38.79842,2.2451613,4.620634,2.0505753,68.48493,-5.921709,1.0191628,-99.37887,-7.7753077,-21.2409,-5.7596936,-3.1064687,-23.95536,-35.9058,-9.496471,22.248516,-0.48982635,11.3658905,4.400206,2.886399,-1.2413136,26.989143,-14.441727,11.988735,92.11485,-8.857058,-28.056225,-40.696224,-19.550278,-0.6395394,19.10112,3.1799662,38.093002,-27.113705,-0.028005771,35.468296,-0.6636228,-8.356163,-11.752596,-0.2890055,4.1808276,1167.7638,30.48351
2023-05-13,2.2556388,11.640306,12.567806,30.165936,-10.650682,-18.028597,-8.9431715,0.6375305,1.2470639,253.94939,45.27767,2.0971534,-6.1384945,6.1447735,13.120715,-40.654736,-8.577732,-57.999825,-6.175727,33.631588,18.668217,7.0002923,13.70493,25.508417,7.5971518,27.686005,1.7134382,20.392067,1.4495106,0.70348674,-1.2834175,25.035484,9.319448,-8.323895,-0.42551124,6.3005004,-0.44721577,-30.145058,50.473328,-2.0145168,24.597443,2.2570758,12.841644,45.086334,3.3880775,54.75465,0.42370543,0.46652842,-6.5723066,-0.9354856,2.1998045,1742.391,30.765759
2023-05-20,-1.1601663,6.6414666,22.387775,47.505432,113.75438,-21.373272,-4.955829,-0.6693881,3.5713243,69.249916,45.312767,1.304171,11.1886,10.340964,28.228636,-6.3424926,-4.024229,-43.859093,-7.9427056,-0.7538397,15.645591,-6.046353,-54.057476,6.2046614,40.831005,21.977118,-0.5933228,-1.3536549,2.9152818,2.2335584,-0.21196198,-6.8078475,4.526907,11.253872,20.112524,-23.215221,-7.229576,-7.6139417,45.040653,-1.9767936,28.395044,3.1650949,31.840464,73.25162,-4.266428,31.327194,3.2212226,-27.828907,-17.748203,-0.24376813,1.4307457,1343.046,32.612072
2023-05-27,5.4838095,4.2490845,-5.7449727,18.217485,-24.204554,-33.22512,10.217162,-0.26699653,2.578945,132.0032,32.803715,0.8542772,-7.9287853,9.34808,31.91275,-1.197843,-6.271039,-47.136715,-14.687054,2.6493592,19.5788,5.2396984,25.791796,10.441885,-7.951165,21.821089,-0.57262427,-0.57667917,6.8598113,-4.462791,0.89571774,37.925648,-21.164268,5.188921,103.07597,-6.4201317,-19.807459,6.1401887,62.16081,-1.4082122,7.6403284,7.068051,18.599136,117.15502,2.6066022,72.75589,-2.577688,10.798867,2.670335,0.3700819,3.0409806,1723.4794,39.55219
