geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,7.645618540355777,11.008404738890492,13.826744375034696,16.85835447968177
US-AL,38.82063875964311,56.15510295556344,68.8442662676801,74.61096725023454
US-AR,42.63702106473958,67.41158432220575,89.37528248353023,107.17097201729018
US-AZ,84.05086999496764,162.55153907651516,219.76785997662358,268.07899707753324
US-CA,244.94459444386726,452.86316589112954,614.3859399071968,727.864028001235
US-CO,35.91733805527923,56.85243964477943,77.36026565711084,93.15704987884192
US-CT,46.0853941847047,67.3751598241227,91.48010575337327,109.149366859288
US-DC,10.13599173783739,13.324006801710203,15.864536934871474,17.775063275444662
US-DE,12.483793351710876,15.202550331052668,17.176694386878754,17.80962548722399
US-FL,120.94031445982094,184.14466267432294,240.43429356699625,283.0097618872402
US-GA,94.1372064892773,145.85266607231017,190.89096774270402,219.96993948239927
US-HI,6.450242773952993,7.476859484782072,8.517107911591399,9.046548183149124
US-IA,26.859480241140183,45.95793093705999,65.92331833941448,82.55910218818345
US-ID,28.648410094782392,42.29592679908898,59.73775432287976,73.08962178956328
US-IL,92.21802462954844,163.38200945307543,220.6488830377365,262.29501948866624
US-IN,73.89765722997362,123.21832787702269,162.61269101996382,199.2892440100418
US-KS,33.94346704614851,51.046073852862776,65.50669842986646,76.36199015203466
US-KY,83.18885975789476,130.74916335444738,168.57632531277977,196.56758573308736
US-LA,32.444074351270395,49.394232421258295,62.84921184391844,71.77291610982356
US-MA,63.18262664640787,114.79125445021089,172.15201495394234,215.01814569522872
US-MD,29.223137689017523,55.38521368680127,74.8569135944591,92.19414793337486
US-ME,16.43881018300574,27.91772949243008,38.725685839331774,47.76997637557566
US-MI,95.51242033567044,179.71991126674072,261.16536505209154,326.0652099176881
US-MN,33.39108514287847,56.26778937793448,77.76974139552463,95.10230656821501
US-MO,74.14664419867634,134.56608825367996,191.7791907168698,232.4195718563934
US-MS,23.95827218051265,36.612681856539915,51.80253370042723,61.28541997634048
US-MT,16.068405804611647,24.276176642462787,31.4159970839313,36.81870792378131
US-NC,92.48844874411198,140.9501900589606,178.81863797596702,208.76196347716993
US-ND,9.630975909667306,13.066124182216427,17.74547486605009,21.509090003735626
US-NE,13.31266946444831,21.652140004528867,30.834741516659246,38.08859920958363
US-NH,12.145286034918719,20.663318845409556,27.504882742247506,33.55426304516995
US-NJ,84.50001812639206,133.46575321874397,177.48642338434436,218.5469715274745
US-NM,33.37192992507244,58.751801000760686,80.36439008895479,102.04118983166501
US-NV,32.66930622195675,59.1582328867933,77.54067734281821,95.98695157235397
US-NY,115.17747496844693,213.16129333316442,323.35288196894317,424.8702866109737
US-OH,76.10383079990011,138.14417043549602,200.84500348710836,254.7850219395546
US-OK,81.902593184336,136.20255832099787,183.21992028879106,223.25992038738494
US-OR,49.98333775006864,87.48439066382763,129.98977727537243,167.40588168941082
US-PA,137.9539822855414,206.56670942012616,263.92398067776423,320.454041763705
US-RI,7.163735401904559,10.141025575909538,13.746703809582687,16.564178606964923
US-SC,48.67381125935181,89.59390839030274,115.90453719313412,130.84322790248896
US-SD,11.991603433162968,16.49147272007918,21.369593820046024,24.91394926168854
US-TN,71.9816503481257,103.96403568299796,125.06825159313368,147.13115518138954
US-TX,131.91689643899014,245.0548982968432,332.86612221105645,406.86220654359516
US-UT,11.064098073807305,16.267992251597388,20.007997005852445,22.62949837833772
US-VA,68.93925027776189,106.21488863526972,128.046522171411,142.0548386575598
US-VT,7.862767977330383,12.598854493010267,16.43930328419701,19.80257064797515
US-WA,70.24419481312005,102.75879627263288,148.57804206206646,188.4897590396316
US-WI,46.453132965294095,76.4095652579811,105.65930570124357,131.87002724469178
US-WV,32.79658005826776,48.307942867682705,59.74440358350486,69.07223279456923
US-WY,12.222567245671367,15.640333712560206,17.85082905320482,20.600757990840183
US,2185.396040516062,3522.3703767895727,4829.080305377884,6013.543166995665
PR,16.2065756347214,21.78087229622058,26.62339020520433,29.888613987769293
