geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,7.824842488867931,10.767413730554864,13.911464236437189,17.045741024564354
US-AL,33.97913318318625,51.66751738743951,62.96540836905852,65.50590682116942
US-AR,32.614838447158526,51.79019677131031,70.35684788595654,88.97942109163453
US-AZ,82.2393573083606,160.59523805012577,217.55827776541372,263.15100741657335
US-CA,200.12763508603135,418.66822867104986,604.5169864022522,744.0745715770457
US-CO,30.60360876750957,49.391548053223325,70.03030271650117,85.99903289324013
US-CT,41.377888446361666,63.27564656462568,87.54504690196227,104.13282369557771
US-DC,9.370741715591299,12.651081413505985,14.899267881543317,16.44380283241144
US-DE,13.028285871142446,14.360468047214678,16.923484817446187,17.19011545568108
US-FL,101.68237342989013,154.0956526889744,208.893783958923,249.9576822347183
US-GA,97.4975850015873,149.680785698502,195.59431912286422,223.87285613115225
US-HI,6.567349004766495,7.60516850506986,8.80374329407319,9.485216019258036
US-IA,26.199938546601395,45.37118568113146,65.86931344743752,83.23996810701229
US-ID,25.89779151999143,36.00532487010245,53.894445164619825,68.10790685353813
US-IL,81.89302633095402,152.12747142426463,204.78587639188507,242.1713397399331
US-IN,59.63896025283119,107.58558826817087,147.7136256165247,183.01493500408392
US-KS,29.278552894986625,46.73569158767725,61.05150616944529,70.81568272647337
US-KY,53.43555918887352,105.19563566288859,142.33188651091936,168.71767062680914
US-LA,26.7450872053719,44.92681751495283,59.34032190551628,69.0921152879263
US-MA,54.99601346825903,108.41437559288747,168.06028372293252,217.11291974607732
US-MD,30.86926228270333,54.156599927012984,72.26530200673128,87.74740817643223
US-ME,16.000820776196214,31.280210118183202,46.34591888141875,58.38231595396564
US-MI,67.87940261331082,150.7205047145465,227.54015619501746,289.01834692532105
US-MN,29.931443337950117,51.789393520900354,75.08185250654111,92.85004764809824
US-MO,65.69258931756033,123.98408948175003,173.23883855516436,209.50874537151464
US-MS,24.830751136387903,36.80448344829567,51.47177091873692,61.36222515040628
US-MT,14.83844811935513,22.826736926095045,29.80301580356368,36.86543472280516
US-NC,86.7008873496959,136.30375227924608,173.7351168787413,203.16652802649205
US-ND,8.91861642018905,12.445338566688944,17.14374452624435,21.00976580069372
US-NE,11.98005297856412,19.57207190713487,28.737789872441667,36.14538451683558
US-NH,11.301429624954594,19.685812005936665,26.382114593376333,32.244381815784095
US-NJ,70.49590348587363,126.01046928926569,171.58966247528696,210.56627482709862
US-NM,30.11513729344739,54.604035563509115,76.11602578418962,96.39620490876803
US-NV,32.06966261353237,58.694184676874315,77.76520752667582,95.64655005010715
US-NY,88.25364530388488,189.82727712043305,311.9509254446443,418.29053379188974
US-OH,68.30185208978024,119.6854738899999,180.38558696032888,231.03214442759537
US-OK,67.45488143109776,119.42272848244899,165.7733345735605,204.19377575379372
US-OR,47.185458118713335,88.52931638511426,131.68485576274858,166.93004428600392
US-PA,111.58643353683642,185.94703707300377,244.14503239743274,297.7769636650782
US-RI,7.515653187161429,9.868201306520536,13.525587240974819,16.98051344192506
US-SC,48.924247002562076,84.16343915163637,109.69750907477642,126.62389259736459
US-SD,10.712319539452011,15.147449810468773,19.739290772198373,24.029709036477527
US-TN,61.83540448463472,95.8551232539944,115.14677158959206,133.35733585896256
US-TX,124.56848577550713,227.29813174129038,314.19378370524504,374.13916350550835
US-UT,9.693455478384955,14.32727454516752,18.05940330580666,20.73089136318447
US-VA,60.41038582582182,92.94744971635741,116.51241016666854,133.28832101660933
US-VT,7.48722836412501,12.44207349638508,16.17405268394314,19.761201953923454
US-WA,64.28716718441761,89.47446114200085,136.90406053587145,171.73678253899544
US-WI,43.08756992415579,74.20995475636002,105.38466400449839,133.19822432963443
US-WV,26.358316886762005,42.124858322092486,54.53322623208674,65.10083392081597
US-WY,11.615502820349272,14.430996035075479,16.48198560649763,19.334551120787438
US,1207.6937478826017,2673.322188473011,4070.320493680315,5238.062026946365
PR,17.237182833586886,22.192781533730564,25.54496348700862,30.20963477993628
