date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US
2022-10-22,3.8529344,88.42233,42.679787,8.983895,62.53854,16.341452,11.630335,0.83351284,-0.18289739,93.86471,110.10867,5.354302,8.638876,-0.85862464,28.279402,56.578205,2.9264238,27.878664,98.7214,0.37762365,29.293262,9.358531,38.18946,4.9920783,16.508116,68.3915,-0.8190465,49.3528,0.4822037,13.1625595,0.7880134,56.40862,24.721252,-0.13624328,61.299126,50.853394,17.78729,0.09320415,77.635826,0.12116326,47.6959,11.1415825,55.18231,336.9594,1.719715,46.878117,-0.68505836,12.021593,3.0361147,13.217736,2.1488247,1673.3817
2022-10-29,1.6292969,149.256,50.39923,38.4591,135.91566,22.299498,14.081491,0.021928586,0.93240416,114.37055,127.24187,3.473969,12.673985,-0.84867334,28.48557,65.35886,19.652744,13.771426,103.74416,5.050504,46.34949,8.306675,31.124542,10.747453,47.995495,92.00226,-0.9850047,103.12641,1.8034706,13.302822,1.1654449,49.02799,26.765467,6.392879,92.11666,46.158638,38.133327,6.472638,88.79728,1.7391247,91.58023,9.710125,85.250175,498.49838,6.940513,79.74855,-0.18240696,23.790535,14.177774,17.785831,2.2487283,2760.1584
2022-11-05,8.71946,373.5045,80.08443,27.891815,227.81512,31.507666,25.135954,8.0898485,2.5437303,206.22568,217.56136,6.4270935,25.14077,-0.057615325,88.30565,90.30869,23.946732,91.41169,235.44504,11.879782,102.11909,4.1783266,51.484543,37.436802,54.43669,169.05913,1.494443,293.7198,1.4012439,12.721704,1.3222727,69.928734,53.67876,14.153758,115.73155,121.13324,66.1586,1.8139305,178.99965,0.07129168,178.7594,8.746908,131.61174,793.97424,14.380394,147.80959,0.24185015,32.979374,17.309484,63.90494,3.7075806,6374.3535
2022-11-12,14.337471,474.69193,144.19737,52.68986,503.5637,32.90792,32.634586,35.334236,6.7452636,262.21936,227.42528,6.695303,18.620121,8.446471,182.27403,133.37215,35.123608,155.97794,174.11378,26.244862,177.73732,5.782173,46.351917,83.02156,72.5799,364.76025,5.895893,308.61707,5.514855,29.586178,3.1122391,167.64563,93.1182,24.544546,210.8916,191.8155,52.55943,31.994131,243.03577,2.7522228,303.91302,8.666024,229.46635,1143.0541,7.0121565,393.9817,-0.10900182,40.341007,38.54232,110.422966,7.2058735,11585.69
2022-11-19,14.012622,284.95538,237.12083,129.92062,1135.0758,59.387054,55.725082,42.6958,9.804328,466.60013,301.16434,17.8506,21.924494,10.264807,254.50525,140.03104,55.789333,305.4877,190.56218,31.497616,235.46574,4.8302603,94.56805,192.88704,109.11375,247.39923,10.1556225,385.9817,7.863839,26.0302,3.9041693,344.8412,166.08917,81.31524,325.32794,288.60748,87.09696,58.451725,382.56134,5.3039308,261.71786,10.409371,423.29413,1186.1492,18.576344,365.82993,-1.0169868,102.12388,54.23608,150.07643,10.212412,10542.207
2022-11-26,33.877113,209.79256,236.69495,366.4706,2201.1233,117.315636,115.09519,35.71773,44.262657,520.65564,201.39008,14.4778805,40.072037,39.132294,501.43326,239.248,75.13842,350.8813,167.90175,69.66758,212.21677,8.935561,201.51369,262.50223,201.60992,251.54596,12.099186,377.43295,12.2164,31.054317,6.448815,321.5386,170.48334,153.96802,581.81305,333.7517,183.79994,141.6609,439.40027,3.2466068,227.97081,19.357002,509.7588,1179.2285,13.193434,237.15527,0.72510517,319.59378,97.39258,140.16832,40.61465,12588.585
2022-12-03,69.121216,233.1145,477.70105,693.26385,3787.0488,160.97519,222.37074,56.041313,34.828846,757.1448,213.5325,12.516892,123.257324,155.56644,1416.6008,544.8509,158.3678,739.5243,230.24173,216.25809,355.77573,28.582157,316.2511,449.42053,614.6656,273.1567,42.983315,467.59607,19.613344,55.983555,9.204702,535.5297,177.09622,279.1073,1050.7654,680.45215,516.59985,567.3469,787.7056,13.697108,208.21431,55.439167,449.5708,2151.029,44.850643,418.8534,9.556326,1211.9757,282.48624,221.40271,39.035988,24581.205
2022-12-10,53.348488,410.5272,518.8229,918.18835,4251.832,173.51103,462.5301,60.240974,75.21759,974.81116,297.20877,9.226335,272.0834,213.22357,1312.7506,1264.0923,409.42535,1037.5231,314.43567,537.4901,446.18524,115.6117,583.84357,463.1983,1040.8032,266.90002,68.71327,782.55707,55.690105,97.63276,24.355122,965.2688,397.3876,513.09814,1838.4542,1341.1597,1223.1375,770.843,1875.7661,20.269243,258.37112,72.214226,814.76886,2353.248,44.6716,489.9334,33.69342,758.8121,627.53864,360.6928,64.11985,35221.996
2022-12-17,69.80494,199.38405,333.59146,763.7571,1558.6073,263.31033,410.3276,43.011208,54.502453,800.2069,135.742,11.920366,230.68513,185.17944,923.8607,991.45654,238.08546,572.5432,248.63474,690.0886,324.4173,120.38304,700.04224,340.63815,760.5215,154.70642,115.725914,223.35197,51.45248,128.61241,73.226234,812.2525,428.1974,390.16248,1717.3374,1227.3539,882.98517,781.1382,1314.3322,61.1493,129.61215,86.835365,607.4814,1253.2501,68.91171,325.43787,49.00751,664.4333,495.87152,273.71072,77.77663,21524.719
2022-12-24,55.7749,115.4447,200.11185,470.0329,1372.5103,279.39578,401.13016,17.820604,15.171392,864.8982,131.42621,12.820048,408.8759,281.57486,520.5585,599.96375,227.19977,315.16495,79.70816,704.02045,264.7667,183.56773,1038.183,234.69833,763.6669,130.46088,105.25681,339.06705,95.93812,178.13405,84.23542,712.4465,244.57155,209.27678,1920.8219,1078.1338,791.38086,723.1144,1126.4956,42.194477,145.39537,99.837654,231.62425,1485.0514,39.222733,243.00514,58.74738,852.101,507.36676,194.67981,39.949165,20183.232
