date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-11-12,3.3566978,106.907166,35.270428,0.37002897,-16.60613,49.451588,1.0553108,-0.78824455,0.30300298,86.804886,176.54958,4.96197,15.592731,0.15053387,47.024178,17.596079,1.7931161,23.423897,103.28145,4.8271313,9.643081,3.0789483,74.94603,1.2537045,-3.3973784,64.187096,-3.8606663,58.887722,0.21429133,10.110487,6.623907,47.738113,22.501839,-11.371696,63.095863,84.87076,21.758917,10.792237,70.62077,-2.1370296,39.959824,10.349934,65.72975,499.1847,-1.8458159,47.37587,-2.1200395,1.449435,-7.191773,10.141784,0.68752456,2329.9734,57.667614
2022-11-19,1.1523216,164.48746,66.24945,17.427279,137.84393,-5.1881485,13.43142,1.4308581,2.941757,232.41745,109.32065,4.2833543,11.822955,4.0383306,21.165325,37.331356,22.635654,40.585716,86.737755,24.480066,78.670364,14.99367,-47.815247,1.4133146,138.367,104.18344,0.1751485,62.840378,2.5020304,9.471457,1.1823947,53.015156,27.158655,11.145493,63.627342,16.216942,27.672913,18.236938,80.46818,1.373714,98.33888,11.462755,57.072247,500.91306,10.6672535,72.979774,0.6907026,13.263178,11.444247,19.396835,1.0085602,2908.4326,38.14434
2022-11-26,11.323244,365.25528,61.01788,58.594353,576.1568,12.873561,28.375906,9.0747385,4.4485383,-6.363484,277.60217,5.514491,21.477737,2.9161124,78.2411,81.01457,19.935404,85.76506,222.97865,4.2320833,92.75609,-7.351566,54.524014,40.958714,32.940758,209.73894,1.0215234,238.29716,1.050057,13.795544,1.0996088,52.897224,50.447464,2.885667,-11.213664,61.153435,58.604,8.692103,185.21423,3.2237458,228.4307,10.453355,128.72783,956.507,12.639426,163.83318,0.64657414,47.031334,19.514454,73.77802,3.706384,6193.6465,84.16883
2022-12-03,10.683101,379.1668,155.21751,22.921972,532.93665,32.744705,38.1802,34.207596,3.6438375,371.70792,237.25879,6.784382,14.022282,5.439621,143.9401,109.4879,23.68523,157.10048,112.76614,9.749541,181.45111,0.6071333,21.645988,87.23219,53.16186,333.1418,8.721278,336.57663,7.3117146,31.549393,-0.87616575,188.69138,81.097015,32.984035,205.33022,175.61693,45.72579,32.832203,167.21571,2.9300468,250.3803,11.450962,256.549,933.87244,14.95935,287.42844,3.230857,11.510826,39.340034,93.622696,7.400045,6911.0366,101.26782
2022-12-10,15.219918,206.07448,264.75873,170.51826,1069.8162,71.30161,49.8964,40.66666,9.56259,338.95453,183.10094,16.65128,21.158133,10.868026,153.29102,138.39098,51.668163,214.03725,176.58174,34.37815,187.4871,7.3542566,55.30353,169.22775,75.757355,194.68575,13.436506,306.06546,9.064883,25.638979,-14.20436,318.23328,197.16747,51.103912,369.3343,250.81224,80.93251,54.736446,444.55783,4.5716453,180.64928,12.3912525,344.5616,1163.3099,19.803076,320.98242,2.0463114,98.64815,61.45189,135.98586,5.3227997,8197.3955,113.730644
2022-12-17,35.1296,231.35423,234.70268,334.55026,1895.8813,138.52982,89.38764,48.054245,22.849602,621.5102,198.54799,14.102471,44.530243,47.916855,471.66824,227.66599,69.675446,400.79617,174.3183,89.35462,185.78441,9.598056,142.47823,294.37503,244.49423,216.87967,10.134983,405.66528,9.020335,28.087654,6.4509163,265.03882,177.5218,124.29552,332.36734,337.32767,214.30397,177.19322,464.2441,2.7364864,299.5685,18.2311,258.8931,1394.2822,7.504902,270.4019,1.2791041,276.95554,62.546753,137.85503,38.081505,13546.628,104.69162
2022-12-24,74.6005,184.78915,472.74786,684.3562,3058.0203,200.4358,237.00218,62.42452,28.808046,804.9024,209.52617,14.225201,107.200226,195.34676,1460.0007,589.362,163.44865,692.7138,185.2282,186.34094,277.80603,29.95147,296.2057,461.8499,697.837,175.31267,47.84894,458.51498,23.602694,44.360367,13.81606,612.6433,180.80583,291.36554,926.9431,683.8901,518.9892,669.1173,911.4564,14.196274,194.44878,57.870705,390.02197,1005.0175,47.61951,390.64114,10.185832,930.2753,327.57074,215.9982,39.657295,21468.945,89.21421
2022-12-31,54.549065,342.71674,376.21463,1008.58435,3200.709,110.533066,722.47015,76.505775,83.52021,1058.5643,285.28128,8.87563,353.82672,245.10892,999.0927,1110.6405,634.6385,830.15674,306.73132,425.3727,301.5442,111.61033,493.55704,350.39066,1093.0474,246.47981,68.28281,663.9607,52.935688,89.210075,33.491116,1252.488,424.67047,485.21033,1731.4498,1147.5178,1448.8789,662.9665,1667.6655,21.083736,272.7461,83.15665,710.8682,1784.2781,35.167225,516.63776,31.814487,754.5236,804.27496,376.1711,85.99878,25737.57,85.617775
2023-01-07,77.32252,205.35522,266.74286,668.3081,2050.0593,235.82217,226.4097,30.874752,37.140034,780.1701,176.24678,11.149294,255.2209,185.89014,864.6335,926.7118,268.07086,505.9804,241.92946,833.7017,219.8438,125.2319,695.0433,314.4427,993.8202,126.94265,129.9424,117.243935,50.09119,132.1229,74.21199,623.52264,529.5715,427.20227,1962.3364,1098.5061,1027.9532,711.89325,1365.0529,66.86065,143.52296,89.00138,500.73764,1675.0723,57.32831,343.46774,44.33792,620.43024,618.13464,232.26958,50.506783,20001.871,88.50154
2023-01-14,49.740116,136.98938,254.88098,474.50375,1448.8259,272.13055,454.8127,11.954416,25.23974,837.20074,110.412315,12.668283,431.37006,317.91537,751.873,542.6007,225.67242,313.61572,150.91725,757.2107,298.37073,208.1306,1292.8193,228.40125,674.9539,131.13951,104.84829,431.78864,105.07927,171.9911,80.505356,564.0873,345.82642,205.85893,1963.2135,1033.7972,679.72766,828.8556,1239.8313,44.71186,135.04166,98.30732,-11.158404,1334.3077,38.841843,330.8416,67.60134,747.6533,523.32935,165.79796,42.98978,25459.113,76.41858
