geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,8.390538960232377,11.166516771206007,14.224998177890626,17.179030802863327
US-AL,37.33102524732602,56.120917191469324,74.00772187999176,78.57767719350484
US-AR,34.75198600328669,55.38901414404964,76.09242938419352,95.50024138494783
US-AZ,87.72266234810233,171.66644202510628,228.1328613217948,271.60114215628107
US-CA,296.5859832150597,474.91976433959286,624.8714714843567,734.790373700651
US-CO,31.696097626477144,50.316144357867564,70.48188975991353,85.86220361925292
US-CT,51.21575329334159,68.53978103622563,96.69260043167561,112.24135539955647
US-DC,10.932683705691373,13.935926473343699,17.182531898780187,18.41942594611212
US-DE,12.183897643479298,15.591671608682159,17.4976719676263,18.09004835184393
US-FL,106.5165348904117,181.94293696448514,246.09704649084827,292.10458788924626
US-GA,85.66658056196361,153.00568877741802,214.31512794357516,258.94286688382425
US-HI,6.407744690890452,7.661224766845795,8.797771274107994,9.51059771402196
US-IA,27.23951871060005,44.65128000665146,66.80373716374709,85.15862445102896
US-ID,25.653021155958516,38.37676559448654,55.51613151984461,69.25410078653671
US-IL,92.9117257292256,165.14961677395272,223.88124505472996,265.51331535810453
US-IN,62.125620089082574,114.77092608177202,159.03943522461662,195.9224435038604
US-KS,33.85674918507803,52.93901875116336,70.36049960453998,83.05435455127092
US-KY,50.735680557973474,98.28338516596939,140.3385352299494,168.82622295365167
US-LA,34.28095200474207,51.41548620884654,63.86800360090116,74.44295821220221
US-MA,66.03824631141201,120.85777787163512,176.2212529285075,221.5848377682056
US-MD,37.9477207770489,57.49739237452607,74.94671451035656,87.74470453890773
US-ME,15.955956297242475,28.91788890503281,41.53536083011668,51.21852798199445
US-MI,88.247690253725,174.3355554556065,255.2208968096662,314.33001746438606
US-MN,33.42291065145664,55.01465006231289,77.68802169037093,96.05477271074439
US-MO,81.51725280819554,127.98621394036114,173.58902344085493,211.5814266261749
US-MS,24.661143917609348,39.169990905904896,53.64863697095071,60.74989186107564
US-MT,16.031445084938,23.541892338817295,31.602269354654084,36.842944910754085
US-NC,88.00279798183175,147.26681495789126,195.74792787041903,226.4524454745573
US-ND,9.59326331333097,13.186768533519997,17.82899692027725,21.77825936388547
US-NE,12.9237949471441,21.09540698556208,29.687684107545653,36.52982235475896
US-NH,10.787537780433274,19.47751040790979,27.1485395516384,32.78396381748918
US-NJ,82.67386458607146,136.64090729917368,181.26552111413196,220.3275599990794
US-NM,37.15111973760956,61.66534326006892,83.81835081084269,106.16877830320023
US-NV,32.99643000112044,57.7141099847788,78.20374943095831,94.97078469090502
US-NY,149.79346471570605,251.61005780416178,362.140708903692,458.99454771423365
US-OH,78.43836035814616,139.19100488902114,204.40011463824078,255.38727729495477
US-OK,70.4064433526806,130.747719737896,181.29964967674496,222.934071540467
US-OR,57.951901078097755,87.56129660904848,131.18090435868265,170.86959861605482
US-PA,131.423356454884,198.19624332422902,261.21958549957924,323.3402718356612
US-RI,7.822634176647819,10.087294828448044,14.068208055725403,16.58240561408595
US-SC,40.112817686581785,85.4295022208714,121.09608246081683,140.7270993206689
US-SD,10.90386096851205,15.21256972681754,19.89354936068729,24.136984858643263
US-TN,70.63136360431423,106.82014884597416,125.85753893688918,144.34675318897396
US-TX,181.27891176409992,246.70229641284658,336.75986144765034,408.87368854397494
US-UT,9.700534741814778,13.02109225621824,17.7706659377633,19.648770365391123
US-VA,64.19675835821057,102.01711617378118,128.15959505991398,144.4854522566841
US-VT,8.372481213473153,13.37180675656848,17.26291162044099,20.50520055906803
US-WA,68.23810523518193,102.38512073357575,141.13188649634102,182.6630071748984
US-WI,46.86882934927606,79.10957044366164,111.48165068576729,140.7779558279622
US-WV,26.275596976444863,44.44629008732672,56.29055378757554,65.90924101003326
US-WY,12.373133809938029,15.58830648459044,18.334361038478374,20.69855540344659
US,1468.288498564031,2988.384741610529,4580.073068879277,5770.983872406575
PR,17.628928490156177,23.04081875739897,27.70819014525492,31.78018234486399
