date,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,US,Puerto Rico
2022-10-22,3.6446548,87.33789,35.91561,14.522235,112.68725,1.436989,1.0646789,0.66880286,1.6867301,107.2729,122.553024,5.6888514,5.345021,0.7382448,23.767004,49.55226,3.210202,12.920081,92.84662,9.735877,30.030022,0.59965205,4.5759697,3.3531682,10.198881,67.40455,0.46012327,39.412758,2.364746,10.440231,0.11863845,28.412235,25.559519,13.798631,63.69362,40.873898,19.432379,4.4879146,92.40565,0.6439861,48.306736,12.001786,63.528862,268.5433,4.00444,50.25076,0.1546345,10.414939,-0.4857451,11.120029,1.6040303,1517.7267,49.156673
2022-10-29,2.1400852,142.30865,49.0561,12.755021,166.3567,0.89090425,11.781993,3.6497781,0.6543797,119.09657,100.79834,3.9571047,11.131495,0.09948777,27.118858,69.95958,15.660564,14.257792,108.39288,5.227453,33.007202,-0.8279482,7.619782,26.526772,32.27056,93.56072,0.25622758,87.017944,1.6391793,11.366366,-0.5943451,25.44552,23.860397,17.7968,51.848213,20.938747,35.804863,8.371158,70.94742,1.1011993,62.677246,11.560194,88.77002,655.0147,2.6938787,78.60341,0.37266356,19.203936,17.08934,17.01106,2.2121058,3075.314,50.43899
2022-11-05,8.902847,309.883,80.8763,28.96994,185.81523,36.543827,44.851048,10.676948,2.3651812,258.87677,222.78632,6.098331,16.494078,0.85267925,95.508125,117.225555,24.38264,89.651794,225.71428,20.287422,118.09046,4.2849355,48.76565,44.51943,36.46568,164.25096,2.7710867,309.58,2.9292958,11.78045,0.16517021,79.47387,54.212772,13.2393055,121.427826,112.24796,63.305847,3.7624855,192.17146,-1.4016975,187.31482,10.392025,126.32982,847.39453,19.076654,211.11275,1.1777344,38.931377,15.301827,50.951828,3.2001421,5069.087,61.86555
2022-11-12,11.459428,348.999,144.72598,80.80879,479.71805,50.25328,36.847786,35.689674,7.621765,300.9205,189.58778,6.61948,14.555596,12.105347,183.72998,138.8365,30.810568,128.17244,149.01535,20.554005,138.11143,3.1656952,53.4207,93.73739,67.86049,275.1012,6.0377026,260.44952,3.9445655,28.562714,0.9535465,181.15343,88.9785,29.078241,202.65776,214.97205,50.474087,42.02031,236.43484,2.6440737,286.97818,9.083671,224.61821,1005.93,3.129266,350.61905,-0.020651206,36.59817,26.404093,86.13396,7.3125343,5157.703,82.15182
2022-11-19,14.5628805,212.10794,225.99792,124.02773,1069.2759,70.78956,56.651855,45.521526,9.966973,472.71716,279.95258,17.70911,17.197481,12.1637745,236.94827,136.01053,54.02554,234.43692,160.00388,38.7465,252.832,7.416419,73.30562,154.14595,125.128784,163.4509,9.963402,341.80847,6.0238047,24.919899,4.398225,303.31934,155.61876,75.91944,343.13177,269.23328,80.33706,55.56327,374.56598,6.1385016,213.07043,10.9709835,293.2068,1170.341,17.623951,326.02612,0.808689,108.9412,53.488537,149.5908,8.676095,9949.096,97.34413
2022-11-26,33.089355,211.11668,225.84012,368.25156,1780.5305,110.37966,107.8383,34.608562,47.586533,561.68445,191.94868,15.126303,43.525784,39.240498,441.24088,227.41899,68.54096,354.08847,201.92305,81.65264,223.07622,12.368795,185.05603,269.89783,184.70241,230.5449,10.062262,390.0468,13.993793,27.192432,7.1767693,348.8511,169.58447,137.40358,612.2233,339.23312,198.51518,137.19524,446.1619,3.718037,230.52336,21.969244,340.60605,1204.1815,0.46218675,233.29042,1.602857,285.3842,92.24725,150.40729,37.49157,11920.1045,85.21129
2022-12-03,74.9871,300.14978,431.10318,690.6456,3396.9038,159.94055,225.50372,62.31554,30.758665,845.9154,223.29004,12.3554125,118.98832,162.7817,962.56335,526.25757,174.30281,627.83405,195.75635,229.14998,308.9886,30.517857,297.95956,474.7919,633.67035,269.0485,42.43519,484.0377,21.819798,54.79782,7.9313235,571.9436,178.28745,266.4537,961.15137,656.262,486.29733,574.78485,818.9185,13.704792,220.2153,55.841305,456.9478,2118.4807,29.625729,496.32584,12.093307,704.48035,274.1868,213.99034,37.398846,20722.44,90.82614
2022-12-10,54.041992,369.00943,471.5204,989.49005,3600.1104,161.6007,423.75052,57.811848,65.345436,1039.871,296.63925,8.577753,273.1467,238.16693,1204.7053,998.7843,387.27658,973.296,321.34634,540.4435,436.57425,110.16299,529.4416,431.06714,1037.8552,281.1755,66.30041,761.5704,57.39167,96.46731,25.173258,1001.4752,366.1453,472.98218,1607.1747,1063.252,1185.7681,703.061,1552.0231,24.646265,264.27072,69.256035,700.32336,2455.9895,38.34245,504.43768,32.577126,796.49774,607.52325,344.4898,57.386528,31413.418,84.42048
2022-12-17,71.47646,241.86858,305.0671,773.1861,1968.0201,244.1603,330.74466,37.43029,52.09155,815.124,189.51918,13.447656,229.94408,178.68156,1013.12885,791.31537,243.44916,495.26514,236.79337,713.76935,295.89554,128.67384,694.406,343.76263,852.0249,157.6146,115.569855,320.3532,53.23458,120.199684,75.29071,625.79865,410.36624,403.9897,1688.8386,903.5491,861.96545,734.81006,1075.2635,59.717236,143.6693,82.95886,387.19745,1693.0702,59.786633,346.11987,50.24997,641.2541,509.0105,238.04242,63.52526,23174.162,93.74244
2022-12-24,54.522743,130.73863,256.80923,475.94052,1681.2668,255.10954,348.6883,20.67059,13.490783,879.57697,131.86969,12.806499,367.77817,326.7233,587.9149,563.90784,217.43484,326.66995,124.41676,691.3439,265.03882,199.44064,1001.8557,216.48203,719.4071,135.13844,102.01191,356.05737,100.56911,166.52826,83.514656,555.0072,326.67215,230.12834,1840.9005,969.429,743.26654,713.9639,1089.6135,34.55393,135.24704,92.85997,166.71468,1443.5398,40.613873,267.16385,61.726852,760.09045,467.86722,188.96329,41.00871,21259.416,78.02931
2022-12-31,42.52735,163.15141,221.4544,590.9916,1743.7966,354.3104,273.6322,18.085764,26.09738,1104.1741,166.03848,24.937273,325.54935,238.4049,433.26,622.84064,151.35365,302.95084,193.80153,772.87933,231.59084,217.58533,1267.5951,140.19682,478.5797,71.17778,49.195248,273.63205,70.85097,132.73383,120.2239,624.5587,369.1137,208.2636,1269.9758,781.5418,637.15344,225.57765,1138.9692,55.25841,113.98814,82.2996,279.02493,1306.2479,66.97653,271.79083,67.54987,243.31902,423.29083,124.08793,48.257175,16669.2,96.395355
2023-01-07,45.130627,134.75948,225.62184,673.4794,836.88245,313.48123,192.37447,41.703472,38.395096,1218.8539,192.08475,33.088303,323.67056,184.85268,583.9891,490.4246,179.01735,219.56235,119.40139,715.2036,209.24626,191.31041,1110.5172,225.96039,686.4405,122.82264,104.591606,309.6065,72.013695,140.41815,144.36723,350.11008,262.61624,138.87886,1046.696,675.346,725.5,424.025,1043.975,52.871677,167.19678,60.67905,254.54523,1343.4209,59.414936,280.5728,86.42448,263.34344,489.93466,185.5906,51.83836,18793.77,82.4298
2023-01-14,35.39079,106.66815,97.73152,198.83078,657.244,148.21097,166.32333,11.245175,46.669907,1213.3457,174.64229,17.137358,194.1502,156.02206,390.96664,288.97382,114.91711,79.354,171.51392,365.08917,113.814354,93.97418,544.5765,15.292342,328.28116,76.60254,64.691574,93.66551,81.61334,107.75651,106.25889,271.0692,176.45845,116.59232,845.9426,373.3823,398.79337,6.510733,585.30225,37.770782,138.74493,73.83516,127.47293,894.23517,64.90544,195.26112,49.846966,250.98506,300.36075,160.37936,37.104248,8772.386,67.555756
2023-01-21,11.330781,89.79908,111.5202,143.33986,188.72136,117.520355,100.67868,9.591962,25.187958,747.68665,98.743996,11.652287,25.967756,60.34477,156.69237,145.73897,49.311142,32.42327,105.66063,225.53839,97.94882,24.694324,335.6246,55.913643,182.87494,49.58891,39.953777,154.94424,55.75254,62.837914,31.461916,162.72665,3.91745,7.273974,534.3425,64.60576,229.2263,22.019072,363.17245,6.713335,63.193005,28.384195,80.75905,768.0746,23.107788,83.56553,-9.126891,158.50952,81.886955,28.841421,18.712423,6839.6436,76.464294
2023-01-28,6.1269727,74.66988,63.237022,128.67184,329.20853,35.1835,32.39396,8.467371,18.121748,604.8675,94.86064,1.158082,8.828318,70.167854,129.25969,105.04214,42.227005,34.600014,81.701675,170.55606,52.3387,21.101315,163.56726,12.941197,68.16554,55.057587,16.095171,70.50727,26.252392,58.14084,22.452686,78.00053,17.317604,23.144234,126.40163,67.914154,157.26703,11.669705,427.66467,20.213518,55.34876,13.475285,93.322365,537.4021,26.696894,89.69726,13.840902,85.8527,74.24371,29.935394,14.164318,5537.618,61.407948
2023-02-04,5.4331164,50.586494,27.834303,49.705795,44.659046,30.102549,28.096087,7.6389604,7.718659,302.26984,62.54742,8.153916,47.295918,13.271249,53.078617,29.97106,24.585512,14.045902,47.9238,26.906387,33.61346,1.5868202,5.1084085,17.472445,51.51253,36.438854,7.5629106,19.151115,22.18767,17.752537,20.50756,113.65729,10.158112,1.0240506,233.11263,31.833012,-21.091286,-2.6945014,154.37428,9.635425,48.436363,13.046749,38.34518,383.1496,8.08691,40.279575,1.3190762,58.593258,35.28925,22.399494,6.5415115,3390.804,60.772694
2023-02-11,3.7059586,67.01812,2.191884,50.461678,309.51392,44.02381,-6.865137,6.2221828,16.742748,344.67453,99.64283,8.056513,-7.5794396,-3.560243,-36.47852,18.516745,3.7042737,17.347342,60.32311,63.594032,64.72205,5.3115582,32.969288,15.669491,59.83435,33.657024,8.513897,49.257442,8.13211,2.7833037,-2.0420635,11.039934,2.3597507,10.2290745,-26.490606,9.480647,87.70199,16.944029,165.34845,4.8882833,44.665787,16.127914,52.66185,230.90918,8.200168,89.377754,3.120804,16.234066,17.80271,31.264927,5.231539,2316.2158,65.05311
2023-02-18,1.6097577,63.8834,47.44417,81.75013,-61.201817,13.009476,-2.1023586,5.3985844,6.362662,242.90623,88.85259,9.761351,19.500158,-2.1814082,87.81181,36.083336,8.787983,54.09111,80.401054,41.661777,27.342018,-0.17463033,59.346756,-14.408562,-8.977589,31.151785,2.4247715,59.63512,15.99351,0.43478858,11.955661,53.906967,9.054052,12.095163,110.79311,46.77212,27.77754,1.8734789,142.91995,2.2964835,63.733856,7.821905,69.06282,325.33072,11.908823,96.855934,-1.4035543,87.55752,28.038399,29.653868,3.5597184,1562.838,72.67614
2023-02-25,1.3150204,52.93647,29.767784,29.561958,199.62917,47.37432,18.33347,6.318153,-1.9869742,173.32391,95.82254,6.3080096,11.697231,12.58034,-22.775545,37.88751,1.649781,68.35406,46.1788,38.349674,36.197956,1.1198472,-5.321617,19.320644,7.249277,35.95779,6.215286,81.402794,7.4535017,2.1626055,0.2933781,95.632034,-1.0290042,24.878475,53.831646,52.535137,60.386524,-15.206115,279.2938,-0.4277391,51.93614,13.632048,102.61878,305.16803,6.492236,78.06231,3.6341476,-1.6785092,-4.3403554,13.23856,0.36752075,3265.2295,59.38994
2023-03-04,5.125672,27.581316,58.09767,64.23892,144.00768,41.849976,31.937105,1.5665052,1.1462703,285.04877,91.08839,7.1236024,11.520809,-0.13371436,49.399628,76.49526,19.048918,38.50646,33.44971,-3.513835,26.808104,7.0539217,123.64346,25.99649,61.954266,39.941574,2.9782813,49.90722,7.0462584,11.157838,0.3440315,95.48174,8.114446,-3.0592825,143.66356,50.607937,61.055073,7.676006,222.00014,1.8325006,62.92419,-1.1577152,57.971348,317.13654,9.134601,96.52253,1.1275712,55.939724,3.9348726,25.281338,0.33845007,435.69446,41.032513
2023-03-11,2.5690503,-3.7767935,63.074028,101.87026,192.09528,18.369991,37.87394,8.347577,3.3726199,192.0458,68.57719,2.6336176,5.5689135,0.30461648,69.504486,118.727196,18.71619,57.715515,18.060972,16.03538,15.514247,5.702486,25.980608,26.293991,41.211563,33.23217,5.1476827,62.176556,5.8742223,5.8065195,2.7315629,54.41602,14.233293,7.558561,107.19619,101.46102,64.80511,-15.015912,274.4092,0.5397406,15.734264,11.308604,95.32672,116.50956,3.6332626,58.180454,2.1791978,114.19069,22.810558,19.651327,1.6565907,1109.378,26.100405
2023-03-18,4.104057,-10.196078,14.063811,50.493683,157.16924,25.309494,36.9026,-2.4741015,1.7785445,160.32576,41.457897,3.5633812,16.44668,5.306314,7.0626516,75.881096,13.678682,48.780567,41.1442,19.003658,23.70102,-4.3074336,57.41372,6.5713296,105.89634,20.483274,3.0209813,14.804285,5.0643673,14.9527445,4.76528,63.676723,5.254448,-3.732382,108.7113,-31.626198,56.811337,-11.222419,208.90448,0.45757434,28.307207,20.174126,4.399652,202.60963,19.830412,41.51005,5.7436366,53.91164,19.739386,-7.439525,2.5128982,3461.1748,17.392584
2023-03-25,3.2345157,19.46062,25.940735,81.76333,58.294678,15.546769,57.747547,4.8469577,0.51697135,222.018,42.410225,3.4864643,7.169135,20.577702,43.023975,100.45626,28.741053,48.32841,29.063314,41.977184,3.1519396,12.159423,86.64514,28.852757,84.21463,14.321547,3.1970866,35.238674,12.967143,11.40174,12.926464,64.363846,2.0169578,0.14825325,67.875595,112.12433,110.11961,20.056229,205.71962,3.0369587,17.056015,22.757872,76.393845,146.76517,9.675712,64.135155,0.34096253,59.470284,-35.37268,27.46908,1.9541916,1456.0488,14.903752
2023-04-01,3.9306126,2.8561428,1.1258868,0.42690623,36.734177,12.129829,43.485863,1.675354,2.3111224,202.71722,73.09314,1.197699,7.9006395,12.027722,48.056484,40.26508,20.762447,-14.74117,17.536562,26.676388,19.079693,-1.1960115,55.75743,-7.110914,57.905357,10.498351,2.7079525,22.62836,2.976368,9.143794,10.363158,93.971054,2.8167708,11.375397,174.60928,66.47506,37.401104,11.679895,262.85843,5.446716,16.521753,28.021193,11.253109,-22.024334,6.995655,68.34828,4.527903,28.472935,36.537415,28.634605,-0.20349754,1120.9973,27.28361
2023-04-08,0.94361216,25.29152,19.544403,37.93211,-40.38171,11.201317,4.679209,12.325351,0.18701112,147.4789,51.986996,4.9449697,7.3540134,12.769721,-12.480086,26.251377,7.9885974,-90.84137,24.3361,50.742424,11.104402,8.243522,66.55861,-10.378431,-38.28976,15.488655,0.6488184,-3.9471977,-1.1676253,9.965875,9.845843,3.7776966,18.259714,-1.1267635,68.386284,-16.320868,-3.4266772,11.699795,25.740553,1.0199814,7.933872,15.378413,3.8481908,52.508247,6.144359,8.872763,-3.312869,59.14724,-34.0047,-3.0859444,0.55306345,986.3171,37.165585
2023-04-15,-0.7916098,0.33680248,-7.6627927,44.304214,33.772694,3.821579,11.19185,-4.795695,1.1864486,245.25114,43.88061,3.8075123,4.5643997,9.598378,14.466163,-64.85372,-14.341289,-50.01548,-3.1293988,28.755095,1.6975551,6.384456,68.20945,7.9906006,-21.648705,21.411005,-0.5614102,9.36364,5.570444,2.8988774,6.8379064,-17.304848,-1.8122071,7.2495527,95.67688,-3.8605242,9.952039,-5.466015,-9.070009,0.49361968,29.343077,7.397498,-22.691824,140.09654,5.317383,43.500053,0.781382,-15.686501,23.503786,-1.9201847,1.5496246,1368.1533,39.304436
2023-04-22,1.5979592,3.6248088,16.410648,5.430162,18.27542,8.818908,-55.316032,8.072393,1.8984791,140.1712,22.264803,2.24087,-1.7749962,0.15923668,24.792425,31.321224,0.07047668,29.465897,21.27729,-44.637604,10.259443,-4.3402486,-63.593983,9.778737,-7.1780524,17.07407,1.3035523,46.26795,6.1309476,6.527039,-2.8494585,38.8213,3.7132235,9.992321,-64.35816,9.246405,-19.086288,-17.366785,92.83636,0.08982794,20.576748,-0.61079985,26.847528,111.659836,1.1942807,33.12486,1.0586067,14.543399,14.575305,-3.7235518,4.1212387,971.0925,34.44355
2023-04-29,0.9567095,28.89643,6.438146,38.852314,32.58871,5.4026966,-11.721196,0.037656855,1.9191834,159.65869,52.47038,2.2260628,-3.0657954,-13.840278,12.844836,-85.63175,-13.990775,-15.167077,27.931625,8.368269,7.360821,9.023257,-61.616554,-1.3550498,-36.17452,36.347702,1.220358,-24.448988,1.4316769,7.9716177,0.8389179,-40.108067,9.081985,-7.3905544,-49.027145,-26.632845,-17.349638,-7.880921,54.945004,0.0093300305,22.718693,-1.7097089,-42.153477,13.74286,5.22436,40.56227,1.5625652,-0.28420395,7.937672,-12.934933,1.1022048,-873.16473,38.889515
2023-05-06,0.48100108,6.599805,2.1773472,16.205038,-22.95989,-12.460417,-16.073307,0.7081639,1.5060691,41.42589,40.02234,2.4182024,8.780082,-10.452544,-26.037825,18.416775,-5.6169014,6.381351,0.1923065,-23.979527,6.18545,-11.710248,-74.24871,14.246814,13.388417,10.502462,-1.8673844,3.772958,3.900922,2.7997818,-0.09813123,-16.04286,-0.29180947,3.5971282,-42.02584,25.63115,5.3821054,25.711775,60.844746,-1.030743,24.151024,-0.5702366,11.050143,57.45384,-0.89087135,2.4204254,3.695324,-19.431927,9.008244,-9.609685,-0.5492939,-179.94136,38.23567
2023-05-13,3.25235,-0.5764641,-1.1999754,31.474863,13.75741,-21.038351,-3.098001,-1.8470036,0.3654942,68.355865,45.344963,1.0542954,4.4076753,-4.79849,49.445614,-18.93304,-12.166613,-2.7453172,-20.390993,3.0536504,10.175901,0.15289795,16.222475,5.469575,-11.682784,17.43222,-0.029014675,-33.532272,8.327496,-0.1724474,1.6860538,-25.249453,1.618492,24.807617,91.05231,-7.7957597,-33.751614,4.8784122,-42.80307,-1.091849,4.691321,5.1083717,1.3084326,54.556705,3.5607717,86.553825,-0.9004706,4.025465,12.726157,1.9525341,0.9458428,-65.79567,38.770817
2023-05-20,2.5799198,0.087071076,7.7641873,86.523254,58.356808,-17.377922,11.803578,4.2062936,-0.6787176,108.804855,50.28938,1.3777412,8.957208,9.553204,-4.5362434,44.52007,-7.3212876,44.38595,21.20969,-4.517449,12.70069,8.673339,53.02248,12.561744,38.807804,23.78863,0.6641725,29.516304,0.61130434,4.513372,-0.07138267,11.086168,1.7037293,-6.996396,31.239098,35.02249,52.842026,-13.2107525,110.04234,2.130746,23.975998,7.287306,6.520617,50.496197,3.1595511,0.22856386,1.5078281,-6.253881,-1.3840803,3.7222767,1.9286954,1209.193,42.260292
2023-05-27,-1.0944879,20.840338,18.764694,12.791542,-48.97601,28.821579,24.129154,4.179931,1.005719,175.49844,13.1334305,2.6966856,-5.2333417,1.5384213,54.362137,40.25049,20.064922,-2.6422772,2.1446495,26.849268,11.623921,0.31408587,12.018284,15.6182785,59.55295,22.454607,0.99447846,25.881609,4.0992374,2.6041617,-0.27953494,25.808973,5.2638674,6.758945,95.16926,29.675455,24.868784,3.2095306,18.364386,1.0841717,22.177584,3.7478552,27.319195,218.56168,6.2514977,71.39007,2.8908956,3.3290114,-4.918279,8.654333,1.1433345,1949.7543,51.231438
2023-06-03,0.7653576,-1.0091127,16.814112,124.35981,193.59985,22.359232,-3.7223945,4.082686,-0.4207897,134.71278,56.693947,0.67958254,9.722795,-1.8001511,16.28282,-1.3228077,1.1587055,26.440748,9.297553,13.593728,-3.7193074,8.334546,28.315239,2.563204,11.518111,21.38624,4.309505,2.2446113,2.4837255,7.611916,6.312634,9.7590065,2.6418164,-1.08887,72.28545,33.801376,9.685416,0.91229886,55.010014,1.1400722,14.015776,2.4313555,39.388622,-63.36675,6.2259045,36.645622,-1.7629774,26.102596,19.410786,14.651859,0.29271123,298.31122,58.64177
2023-06-10,2.8944993,42.53578,-0.70915055,18.884861,-61.35263,6.848687,13.676179,2.304051,2.7757626,161.80354,30.132652,1.661056,-5.5284133,5.0532227,17.907661,29.257845,13.491954,-37.19637,25.559557,5.2293563,13.054711,0.075431496,-5.722568,-4.268177,-24.671806,6.041095,-1.5573659,-4.712433,1.0662086,3.5297322,-1.7800963,54.371914,-2.6186473,9.968271,38.137177,-22.211739,5.263198,6.4491186,84.55251,2.7063565,31.003761,7.6835246,-12.414024,181.3885,3.9421573,35.135212,1.104154,17.608997,2.8404663,-4.957198,1.1787124,1365.603,70.14568
2023-06-17,2.1058545,-6.085947,1.3734329,66.848755,110.67694,4.546828,0.26119202,-1.3029937,1.6263622,133.59398,58.410404,4.5763197,4.1250753,0.6907819,38.294643,-0.33040646,1.8097619,30.679245,5.988016,8.683949,-6.9882803,-2.156015,29.746243,-0.5630258,18.866571,17.169987,2.745749,33.37833,2.6267333,-1.4605836,2.1433852,-22.640295,6.2318845,4.1172543,18.406305,12.328597,17.218004,0.4536779,27.553684,-0.17143013,20.898968,-2.036539,51.525173,-35.906624,1.320231,23.975424,-0.41456953,24.978773,-0.7319672,10.73247,0.8413124,702.2616,61.549286
2023-06-24,5.249084,15.812781,2.841872,45.357807,98.817856,-10.073199,11.689802,3.574117,-0.10552508,155.63214,41.05098,5.7758794,9.158298,7.828449,8.97864,19.927061,-4.1373706,0.5234913,7.261411,26.556513,7.4330387,-2.0488544,-10.443464,17.438602,17.478828,13.66362,3.3586006,-7.3625402,1.2604836,1.5652487,0.005423377,15.438744,0.28651425,18.110023,11.812483,17.735403,17.681587,10.56573,63.541676,2.8185174,13.5926075,1.097961,15.660064,164.37889,0.94653213,29.091925,0.98967123,37.594223,9.240078,3.6562443,0.27896568,872.59814,54.146523
2023-07-01,-0.05192469,-9.714119,17.634436,86.29565,-60.667686,1.6826952,-4.6748204,-1.8056748,0.34551442,187.6433,50.33539,7.233526,-6.172255,1.1319058,49.997772,-11.558368,12.433835,0.49496856,-6.10922,-21.680246,8.786228,5.3842897,16.33785,-1.9516429,15.985691,10.321577,0.0160565,48.244537,0.65118456,0.86047983,-0.44429883,22.119688,-1.4264145,-2.4334388,47.020134,19.099646,-8.762238,2.6726186,16.173307,-0.27451837,28.641626,-0.3944348,0.47380304,162.48836,1.0853064,24.760183,-1.6457533,-6.491202,-0.42959642,-2.3173213,1.3535337,714.1522,58.85444
2023-07-08,2.4860563,13.615402,7.4634633,-40.95783,55.237976,16.368141,10.051486,6.2062087,-0.23414266,139.77194,11.807286,8.533062,3.8022282,5.787101,-46.290966,17.670874,-5.4605474,-12.25416,23.80536,27.184332,-8.132581,-1.6224515,22.733875,-10.5635195,-10.209102,17.739481,1.2675011,-3.6013,1.1586337,1.3686068,1.0007845,-36.26389,-1.8033016,15.423407,80.75723,39.95424,22.710922,5.190118,125.91303,0.35452038,18.468618,2.4243348,38.049,18.015709,4.4229507,50.425896,3.5679107,33.56463,5.742501,10.86321,1.7167106,699.6381,53.33516
2023-07-15,3.0269818,9.796656,-7.50121,84.911766,-27.561777,-2.2026858,-11.263005,-0.24620926,-0.79662806,106.537384,34.684265,7.084183,7.2796636,4.223462,78.65266,13.36532,0.22303438,35.89148,28.938566,-28.178675,8.420201,5.422756,-15.629278,4.1807218,-1.9111922,14.041294,-0.18318583,6.7930284,2.771525,0.7665967,-1.139725,44.04216,6.4336486,1.6869149,-101.02279,-7.1528974,11.285738,7.8145523,-62.945213,1.857038,6.282161,2.9529724,19.137636,89.117386,3.0240366,29.188677,-2.2431018,20.00332,0.36356318,-4.61377,0.17053995,689.2931,46.016014
2023-07-22,2.3977206,15.549232,22.036934,-32.32192,131.38718,6.2686687,5.5852475,1.5203421,-0.5714275,101.25177,3.2385247,5.8701353,-6.078076,1.7961775,-29.063337,-17.13227,2.9878569,-2.5371761,-16.111626,43.689728,-0.170469,-0.8003066,12.575117,1.9401759,11.724703,11.1943,0.12384739,26.63794,-2.1976922,-0.9141837,2.0392716,-12.530751,-3.3435147,16.59271,86.83613,-7.790571,-8.618633,-9.649706,44.172977,1.2674102,27.71855,-2.7355995,22.995129,116.387924,3.104866,38.483173,1.2313547,-3.1382105,0.16180278,-2.828667,-0.8161585,-70.87584,43.31517
2023-07-29,0.95730376,6.4761996,-3.2395551,60.711605,-114.06379,3.1986926,11.847994,0.57993305,1.2143433,146.50624,23.76505,4.5865936,5.7854624,-2.3496656,31.299952,14.215066,-14.696676,-9.741142,11.170001,-14.228022,4.020133,-0.7379789,7.36567,2.1653092,39.856194,10.143497,-0.01359122,3.7487934,3.8905258,1.4415034,-0.53911203,39.360058,-1.5393635,0.9883287,19.710417,34.478653,29.109293,12.246866,70.97218,0.58358544,16.06839,2.8252108,17.858932,71.48606,-2.5772696,4.791395,0.09446385,31.26864,23.43454,2.1023796,-0.8544106,1649.427,35.796352
2023-08-05,-0.10809573,25.592506,10.640481,-15.130814,243.38191,-12.4628315,3.6983974,1.7422254,1.0139613,187.26244,21.102444,3.7331195,1.9638596,5.963784,-21.965508,-17.415964,23.213383,12.8837805,14.706256,-2.4941273,24.088215,9.416912,3.2442746,-2.2425897,-30.53017,20.966736,-0.27794042,9.286832,1.2806325,0.33351547,2.0690129,-8.76504,3.4559267,10.048389,11.57336,-10.258371,16.142717,-1.0732648,63.82594,-1.2293802,13.283013,0.4526641,3.690826,59.46638,-0.28016207,17.871668,-0.5661328,1.6600525,-1.4857181,1.6055442,1.1378691,-1903.6837,41.641003
