date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,US,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-10-22,-101.6550560307284,-1.961675485381714,-16.64943055788338,-30.6131264198837,-57.4599246965697,-5.788213898960439,-12.98161342526613,3.04934786531902,-4.019230769230769,-9.604934887197999,-76.497851568839,0.030839559927049898,4.2553841586363,-21.0881545691453,-34.3276962458228,-3.4913270930811304,-10.40175342768187,-7.47445610488189,-66.6216483676125,3.14808342896489,-31.653509957445998,-6.43665258479185,-7.53380088457615,-15.27227288638397,-53.1835937088721,-2.6283254639920983,2.79538359422131,-3.1744079775022005,3.667163452090101,-1.409953336292388,-19.738170576785002,-9.583534254720501,-14.797819033293099,-53.954191405349505,2.5006424920954,-10.432602544153301,-22.42436881309838,-6.136546136991068,-43.8756591211681,-1.588702553799152,-53.5788468832322,-6.39472062065989,-55.4889576713919,-315.26488977971803,-1383.9180803100521,2.5818045456553893,-1.0309582899371221,-46.8089031807607,-7.1586877158463995,-10.34777492573771,-6.64912933713452,-0.396063902761
2022-10-29,-199.6429325187848,-10.99310296266678,-27.36644913187769,-51.149468923781896,-114.9959393533933,-14.9666224191319,-36.32509626435759,0.12344600380312976,-11.0,-115.208899141243,-128.3856620498319,-3.28680163622359,4.3358406675175,-82.2482672280838,-63.2645550530474,-11.33535556247027,-14.92334325580756,-53.8444456442692,-132.7367974215397,-0.09080291751548986,-88.486520016188,-11.14092224354562,-45.63704157648481,-35.71953871322737,-103.8870899914051,-30.2363038133949,0.66787556358718,-1.8004748880826007,7.052018504515001,-1.08471598044068,-44.945753694035204,-35.1945041329155,-69.4090774472745,-156.9007197612063,3.41485611549545,-78.8663481827025,-43.053914933535,-3.87655977621692,-107.4602588154888,0.222403045913217,-132.703989625162,-1.8686643370022002,-86.16402219464061,-483.43248251918703,-2962.15426670102,-3.591144368118229,-1.0621009856874752,-132.26891116759668,-16.7345444394053,-46.89303770833054,-11.644545327206739,-1.8615338735945501
2022-11-05,-266.74794988764,-14.937001201881845,-82.9372641097844,-99.2088069525623,-309.65311273334,-13.275096896248701,-33.70451866284291,-5.81248246453396,-31.95192307692308,-144.238952440032,-125.1492096782649,-3.42042286014852,-10.90381989463069,-131.90354533429849,-96.69333629484561,-11.68494378166411,-26.90582368872009,-111.3772870794983,-117.37407612304159,-0.39529938670041,-132.2652868442457,-23.09393987427137,-51.1466786825014,-77.08160034564796,-203.9062576742,-45.9126393634239,-0.8892255549003396,-20.265497211257802,-10.162673627173302,-3.199120122341003,-136.4826391139566,-70.28271809057671,-150.3078948358735,-233.1459143728396,1.6804342778202201,-152.9199609084396,-24.5768205126404,-29.09294291968235,-156.5088825836052,-2.305696242949934,-208.3514629942846,-1.4411018959406903,-188.621631221599,-623.680674217462,-4709.13814593379,4.2587393293083,-0.0362576299041121,-253.41136750250558,-24.9341974755153,-75.9522772262705,-29.26195503989554,-5.7077694539409
2022-11-12,-178.832455554523,-11.24287152284322,-135.25071604824345,-151.98916577978412,-704.861973171309,-24.135520101459,-32.378128962138604,-8.47588993223148,-42.83653846153846,-216.109117462076,-128.306928393816,-16.75753547269407,-6.00018639438146,-216.0974059366557,-78.3735383007148,-11.26776301450139,-33.2535507127689,-188.91358689445178,-62.628487809593,-4.48616114028972,-169.93128104352598,-19.5740672581206,-67.5912783329871,-151.4881659685483,-160.8918502194985,-73.21261950957549,-5.33323860360866,-12.2981593514626,-58.7153722009273,-2.636763780147489,-249.09884056228032,-120.8939681416986,-210.47680691265708,-243.167547920873,-1.1751017719935302,-201.4380763168061,-36.2749762248516,-47.34289229195995,-238.135966593575,-5.475982353830384,-180.7834361662363,-5.35091642964631,-254.3093365208116,-601.690531795455,-5847.5706656187995,0.9829290730886999,-0.7317168885031711,-240.5790259067826,-65.27478739800151,-101.2102041419969,-40.37239031021271,-8.25266699506761
2022-11-19,64.93403577442098,-32.1877597211536,-291.0059759520906,-135.0866761631874,-1213.487950427607,-64.1612219866548,-74.3439264463883,-47.84035046225357,-35.519230769230774,-234.48613116041798,-64.70293605428401,-10.37106063576801,-48.65088039903805,-312.9672524749936,-159.95429977876012,-26.513542525807,-45.4771752067507,-221.2086368231569,-39.80268237413901,-10.17397674999794,-124.8924391486078,-46.2080448460931,-134.1998253454257,-209.499400248855,-98.12547286715301,-140.6397689143105,-6.02267155023483,-12.3210951007419,-116.7554759963055,-7.98014365805781,-235.4493102967646,-120.0350680623372,-375.9723977354,-190.162010059919,-2.85602881775967,-211.3588467674689,-115.3854410900104,-96.2778456110824,-253.540619030318,-1.97539776825494,-65.29343140282501,-16.12155579076227,-190.6658175850323,-440.49223144149505,-6680.53436169654,4.3356620121251,-2.12855203395204,-89.69769366304101,-212.4054632588476,-92.40141062775311,-79.30269517302736,-39.54236845078635
2022-11-26,40.14327669768102,-61.62819023887703,-511.6999165100353,-273.982406867272,-2115.268492774197,-91.3157334559107,-138.2991591898246,-33.20048161370465,-13.874367166833103,-337.231858070917,-32.57839359064599,-4.77306155967716,-132.5140401417147,-714.801528114167,-366.0762308076796,-92.163423817052,-128.1740734933006,-383.099610566548,-78.22783341977501,-26.10951685407037,-155.738202760593,-159.2387247413857,-232.5823031719965,-311.9530747764544,-74.23299320561799,-420.8704379635552,-34.45989638759451,-40.5378395848857,-197.4006837244842,-7.53404092739879,-351.274023803285,-92.4344007917598,-598.222009177455,-168.584595408569,-11.2417789567563,-398.1844699244,-312.293297804903,-329.4331356970401,-470.340197273476,-11.48015744886386,8.815687910704014,-49.32455627671483,-236.577742334646,-842.053097236062,-11810.5239481551,-15.5354464916357,-12.915689410905246,-109.95419192588702,-493.664858084113,-98.2428635001873,-219.0866512222048,-33.68837263095424
2022-12-03,-126.08655379085201,-38.8471301349637,-645.497267405236,-275.387815917686,-2049.9348608954497,-73.9752779246006,-347.9554964200672,-78.57272733299317,-40.524891026279704,-445.84276208722,-84.42695994605899,-0.7037740591190005,-179.01196086891179,-899.0022692981061,-712.996415486825,-192.2329635574359,-264.687529704086,-591.7079262131319,-153.569693568838,-89.4697245266693,-234.912392162362,-353.707482809382,-369.195088693042,-292.64085055261603,-20.28664961055199,-736.8343810636391,-56.8766963232828,-82.048891099865,-345.0862741824755,-31.29911978680659,-621.9479977554761,-223.454035963155,-1006.61626289166,-332.072289841409,-40.4547713934626,-725.826108818319,-719.4159094976031,-473.9935765846209,-978.81328941363,-19.3511735023933,-26.59331845854399,-62.9111716868574,-444.52276684558797,-1155.54178823081,-17540.33271799485,-21.5726321287922,-30.52756347672802,-245.048125095457,-615.953548144772,-191.452037495322,-422.84963449909253,-73.54148621283085
2022-12-10,-25.816888182568988,-44.4458627809826,-332.466117633197,-51.78987291385903,359.42547683530984,-110.499377284728,-262.780186998082,-20.54783150836246,9.762854863947197,-126.022269301204,21.838961901147,-3.9215792073951192,-171.7188553702734,-643.629817578015,-675.434212944164,-197.54453281295991,-208.2773635487405,-245.383198974785,-105.52994325755799,-98.6988652758939,-73.966085324593,-447.226847547712,-429.238738009814,-31.585846510544002,75.29674016100901,-670.275954173245,-85.69189025117831,-91.04595756103029,-256.494648594433,-66.01208898054033,-347.39204550973,-248.198014200015,-905.869624521955,-39.27638027135902,-40.148796408638404,-605.6508223854121,-719.142722553582,-550.240549764843,-659.180152485328,-47.59564380798255,45.89440824621701,-73.3481507506544,-130.187666562539,-403.64684987985993,-10311.0992888928,-40.4666541254319,-41.36803599770426,-47.06377675162997,-421.899344628051,-71.89782553767901,-415.1460088937308,-38.4809151164717
2022-12-17,119.09136328981799,-18.468385679610897,301.84187119685305,229.60393202876003,2100.21003581311,-104.73363591088699,-157.841661650139,-14.4435663818714,42.4737932187263,19.782006411658017,107.55408696468899,-5.23311636519967,-104.96240527170599,418.1850274025901,-133.96604025959505,-250.4945773512247,-33.50674352765401,546.763428221883,95.76368202048499,-149.8219370632668,105.86510823850898,-402.261630791484,-559.93517829755,225.43708918843498,115.84872798378802,66.42249666802502,-68.4512564817564,-123.11791975261491,51.13142300284699,-74.461024325985,199.262881603614,-138.872550804841,-477.53523815527,164.06727970745197,-65.4962128209871,-174.96509950874997,-250.77795625109604,-95.38057531888296,-169.74380168133803,-29.3722689769514,77.1005711277,-77.8379215658567,379.18332270809697,469.88766547503997,3480.656477652101,-15.0340867696172,-46.2480465893272,131.03986411105302,25.975648163181972,75.600730577072,-175.88454549212298,-19.9989458380391
2022-12-24,66.284463087051,12.808670564914301,244.90687206803898,128.49606747448098,689.5397525551398,-142.484079105522,144.311936378184,-19.29164213485793,17.570540566508498,-271.22313927769596,65.95310109786001,-19.93247235217839,-47.481374638994,320.842865869182,147.815508668706,-118.687957493764,-3.3191146668540057,378.011326426554,88.07783096554999,-120.5908043369143,105.46413721171899,-156.22002307277,-528.122215932922,202.63955757675598,112.82717641873899,174.17836626950805,8.289382854821199,-63.8514457149645,75.79942059356398,-101.3995549933902,188.85819907536097,39.46354884648298,128.82781388083004,95.25834299034602,-42.2161057948998,119.280610201542,94.06691479174106,313.712735154975,-17.044463600770086,-39.1149804832221,61.738805793517,-27.332378845789698,344.397757774772,570.84781307921,5153.254383268901,-25.1092800923986,-28.339346960409998,109.08416793171398,266.56246978601996,77.68693620460101,0.7398913958419939,-28.9819590263697
