date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,US,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-10-22,-111.8165128844369,-0.861058359335267,5.281829580464699,-36.7887043390467,-68.6189604695598,12.861626631616598,-14.30744588159437,2.32722672176194,-4.106727112236388,-27.722672557033107,-86.3050228629627,-1.44634153655973,2.74526706460623,-20.5051661046862,-24.356645333938097,-4.40812592993746,-13.47061305041313,-2.8853426181012,-70.3495318294942,-0.461275222667478,-42.38979342655088,0.8857561856640892,8.5359067472843,6.2538648904866,-69.7347652833258,2.7953023193927997,1.42160347869264,-5.63835481495178,0.5066248754985008,-1.637821381365384,-31.948897435049588,-16.970682177910128,-38.29058741079808,-56.8750943303585,2.3767073818420803,-9.605064128976299,-14.0091573679904,-2.59906562037412,-43.6506615964428,-1.6741259595019429,-56.6463978190273,-6.20452739858459,-59.4421181216555,-426.8223414814719,-1883.862984691198,2.0940901026920304,0.16917906416432005,-63.8177513675696,-29.58616036044114,-12.3782648558051,0.8500399883086001,-0.15564684285680008
2022-10-29,-229.74522023513669,-10.315429196791293,-2.661207846276099,-65.4255871159744,-103.4069695049143,-0.08023558929199837,-36.711880456647606,-0.65345362491952,-11.172147919412811,-134.20921995646,-136.2180457433364,-5.96606366143502,2.49605843689275,-85.1731993519217,-52.9645305602112,-6.830594456743301,-16.34852230713097,-58.89118977356256,-142.0630277108467,-2.5792703881447228,-97.35380845585323,-1.4468570772017006,-31.5281531368563,-13.446739761964398,-124.5329539315225,-18.4475511472486,0.22419230183562,2.4115780920836993,6.1203614857148985,-0.783032200545212,-52.6788701162571,-37.5932491840533,-77.6886419361704,-160.9519755161479,2.3416950152593596,-79.7921409316224,-44.6389404244812,-3.65435438873972,-118.4582332087657,0.872900094204025,-143.2055064149423,-1.7118796586908704,-94.372443356958,-638.5889672474872,-3395.0683959917233,-7.50288019680962,-0.853016011507419,-145.4076725081577,-38.81001327718755,-52.15284577439262,-4.6447428329231,-2.21925496076525
2022-11-05,-321.9062241102696,-13.51214943501869,-31.8294510165318,-113.7294608976426,-281.104559209432,-10.8287902374225,-35.86527913451653,-6.839094935598149,-32.16681079634168,-162.96504364475499,-152.6348110725577,-5.49779173499047,-12.59387429007393,-139.7191160504252,-95.4358317972135,-10.2948547241886,-27.78635477584008,-115.06007942537973,-142.58086375493468,-2.096065257155176,-141.1413345449358,-8.386750957462102,-28.9687517578795,-50.8773424778182,-217.0421407712215,-42.9979412690755,-3.78911430383132,-17.246426498168802,-2.9528080715810994,-3.755385124500267,-151.7876004689776,-70.84526355185031,-158.2146692920358,-269.0671695879512,-0.6722952001633198,-154.5168322597814,-34.9841346668179,-31.645509771176755,-163.1919856472664,-2.263980704614536,-229.5324747121438,-1.3154295857982596,-204.2904687958979,-843.171688508663,-5596.168859866785,-2.84603640811741,0.647398227234111,-270.0698386372653,-51.42311290898161,-82.28959530586773,-25.24334480903266,-6.12169646165468
2022-11-12,-258.1681787116958,-12.38764748229589,-89.674552172335,-171.6654796417435,-713.165471304666,-38.5256547019475,-43.97859030797091,-10.035804043511341,-43.10800213614419,-330.381302515939,-161.7024416143378,-19.16827892140647,-8.07190410523104,-247.7856272006678,-90.5943181179683,-11.78585446673874,-39.93409630651029,-200.2490543582227,-114.3349730630065,-8.297892455592551,-191.8142239562294,-6.506351971958502,-56.8212785922481,-138.0771065054494,-192.1275045266328,-90.78084193788109,-8.69766718566184,-14.41026419971158,-64.7368839161155,-3.806449338703498,-270.4620285436048,-126.9450723591779,-247.4748856438617,-328.2678453716978,-4.16318848708501,-219.8339534156834,-57.8133968678346,-46.99620966557748,-269.5104783696958,-5.949127505515716,-229.28521650481179,-4.569949516336919,-275.1088267135627,-939.1457540233071,-7605.788296004395,-7.84374562716858,-0.7489399929630121,-295.8744029257573,-96.98572176154737,-116.0361585370633,-37.83433138587567,-8.849193839439689
2022-11-19,-134.791825518281,-37.18894326907794,-266.89994979996027,-175.1979893737337,-1339.6824616527779,-81.12641172399,-92.89735786227371,-49.79678358872845,-35.95053446919879,-375.042045035323,-104.517972790698,-14.146330882865685,-53.3583618449735,-370.999114954836,-181.0058715250911,-27.17905027098032,-51.796794640299396,-274.9775694496281,-99.5942250226746,-13.410995990062908,-169.7985403003375,-49.133320021735,-145.3714721660917,-209.6803296717741,-187.2416930471371,-156.3870720577784,-10.94854974115375,-18.5820237638843,-127.65241374804759,-10.09577522798975,-293.7571271603648,-139.62071186098188,-471.9586896952985,-325.2767593216726,-5.88692651480126,-272.613494729202,-123.5000155642161,-106.74504192693036,-329.6957922080134,-1.60825307263067,-177.5170230897148,-14.86525303630571,-227.3564008875884,-859.504155445245,-10734.37862519901,-0.8763600082947498,-0.8230609080283999,-201.0722483163809,-241.73351162305525,-121.4727003284528,-79.98539550961209,-40.77744250704664
2022-11-26,-40.41249782447301,-64.62181631426108,-522.4088387438917,-344.8554679488995,-2406.455465534964,-112.9103859278346,-155.8219807900477,-35.42412129964662,-56.83653846153846,-527.80175544162,-50.92993326086699,-8.46098592743888,-138.2967478761525,-776.7771457025289,-391.32603183280867,-88.3717480791492,-140.9562714124628,-474.5321341163856,-74.101098100923,-34.25469767147478,-235.6969834468489,-159.3113835255523,-255.4715148592772,-339.8762514236398,-157.40058659291202,-449.8406881300137,-39.79534782834962,-46.5557943509685,-221.33688986565005,-10.18512090505414,-461.8131904683011,-142.4398229953102,-726.4228604164033,-277.142127104123,-14.572453270321741,-476.7627925095336,-309.9380408813685,-355.9296598860041,-578.081123345569,-14.308692258607108,-97.245948599148,-48.35785361530941,-392.1864433281841,-1274.91833828381,-17412.96464052009,-22.943610697628948,-11.98081967156283,-263.348026076702,-526.1984104785181,-145.775187813119,-226.992744228418,-35.39444102013767
2022-12-03,8.898401523414975,-45.82879244476183,-708.4193913242254,-355.240765519556,-2812.934615486127,-123.32262302844259,-398.0789818046276,-81.5938775063541,-64.51923076923077,-646.5781299423691,-75.063983017059,-5.55021313309968,-188.70540433695544,-1038.885265573343,-747.7296396559398,-194.0163473935126,-280.0615310399495,-769.5254123946763,-133.631690090055,-100.38827214683742,-294.413595580706,-375.0704041054298,-437.3262764858056,-378.8774618635339,-58.30127277291399,-797.5475593944694,-61.14058761796092,-79.728820109227,-378.7522123490527,-34.278787810198764,-770.006780007098,-306.6478576836633,-1217.449447157791,-379.682432337905,-43.16894249550838,-830.406357287338,-758.6795161861141,-519.0246551267531,-1146.219366938145,-20.45912262216416,-37.74131137504099,-63.374615398135504,-536.218530271253,-1403.225600910396,-24619.22000654506,-33.631293654975245,-31.099052091621083,-253.592499829934,-711.3845628796299,-246.7248724354668,-444.4493957890644,-75.58595558230483
2022-12-10,59.251517755711006,-64.87121610987028,-649.75945591227,-153.698871510573,-1766.584847538548,-179.81733851014098,-356.5768131236877,-24.65193338559829,13.858113864454197,-355.269807307166,24.955586228859005,-0.2978455764630006,-178.5811265170182,-780.831585578981,-752.187430662138,-215.6421052649472,-229.0492136258946,-512.0840191548759,-128.478370146497,-115.44114509264088,-134.405967507786,-535.0533251437946,-559.1827904735135,-230.600433348775,48.27342147208901,-741.5023332959363,-93.01711974193962,-101.4522204053935,-317.1994634286352,-69.65933303010387,-558.937280512666,-296.710161324566,-1320.479665740735,-33.85416395665601,-43.8912148361879,-774.71418644227,-797.3205869464202,-618.4856654450319,-904.5407062304009,-50.27456624617585,61.300244413662995,-74.17641163820049,-223.773062937806,-601.5426408529299,-16992.59366691181,-56.07656680576628,-43.88587761935413,-40.954477719892,-634.7297610129336,-135.83749517178802,-456.9334300763978,-44.537517690623304
2022-12-17,47.180544641511005,-34.387431882943105,-353.792688128085,-23.085238463318007,-313.23807719142997,-172.04889274335062,-318.0327508771547,-18.01052244438409,3.9927131130679,-357.007966996031,42.44379497756799,-3.2458820336022,-268.6959766228598,-468.355433802674,-530.057350138993,-303.0685807199048,-177.9794726135151,-123.17082975781801,11.22986528576601,-174.3976824281425,-82.95114255449701,-584.2109624245049,-805.067025956426,-67.019848355524,105.478480856506,-595.147492642997,-87.5186742061331,-141.8531978792712,-170.5184380524401,-81.17537484731098,-348.435775899893,-179.79168096916,-1390.8509470171339,36.85506152994401,-78.2462165174485,-728.265260628023,-658.315513947517,-623.3006035504984,-699.847443426688,-39.55604769512984,31.779267996513,-85.1940132486143,-9.355689594082008,-207.27978403406996,-7233.1344560672005,-45.003456744629034,-55.17611394710165,-42.38797031422999,-619.4169431769781,-70.88337386010201,-434.0541178347389,-38.61717473746287
2022-12-24,39.35495728272801,-12.236547708971202,-181.14281719628798,205.79356944680399,655.2664121602702,-230.350671621674,-150.45352233989098,-16.0824459272131,32.2286209029491,-353.40651577224605,9.677388823808002,-18.194269934308,-189.90640239522781,-11.645023263979965,-370.965243447581,-261.9620193789149,-68.238616875023,306.96003590511896,23.878087994460998,-188.4107845492539,27.007644131956,-598.905961942708,-916.334582920704,145.369138103936,183.172413034518,-283.380202242964,-26.6364306811303,-93.6380691758338,-62.49327512813599,-114.12687436325889,-36.85103015092102,-179.329685409334,-833.59190304262,133.236754573283,-58.2245020045893,-346.881836923363,-429.127339846646,-308.93051584398904,-553.058403114596,-52.416951114864716,54.632307312552996,-70.0820872426325,191.062221273616,630.4247522699,-2692.690526795199,-53.8787666779155,-56.36001786844837,80.48337798030599,44.51120654904997,26.516789180908006,-344.206659210419,-36.326233857617
