geo,rmse_adaboost_h0,rmse_adaboost_h1,rmse_adaboost_h2,rmse_adaboost_h3
US-AK,8.221115332686711,10.814341431353279,13.437025690345209,14.4910851838411
US-AL,43.17908773579323,59.99593339399313,64.70955918707384,82.70533751949064
US-AR,55.26625036322069,64.29222973640557,75.26020510946258,95.02639101698183
US-AZ,133.82876397180559,171.31527604034724,214.00385741537403,260.4475935311827
US-CA,263.41921925684375,428.2044907274244,468.20385837664537,497.6543674816568
US-CO,38.08773236266742,52.65057134164603,62.876471482955374,69.59562418122378
US-CT,60.45729513270933,57.08926350091926,73.28574866134392,83.05961473354337
US-DC,11.613523833426658,11.61886328775512,14.686786454738376,16.905756440129167
US-DE,12.713446191338944,10.555105711064689,15.39935349678051,18.499982858295933
US-FL,143.2869000482501,194.63003876111623,279.32975831767305,315.3126333637154
US-GA,71.93043223232843,94.57401982792457,124.36331954300434,166.22957241128836
US-HI,6.753131811052189,8.262108800668555,10.10412844139125,12.164097782175759
US-IA,40.0299777785503,50.34427840391109,61.02149349218659,71.46407540405535
US-ID,43.653869258270774,36.490023175289075,49.29908394849412,62.99791015528344
US-IL,112.85569359403667,145.59226674782246,166.50137058412875,209.34028789050745
US-IN,106.31218683059497,114.02333810786492,132.0721146839033,155.44236990789935
US-KS,35.60035524039503,42.667497862605394,47.868505293560325,54.13082665617522
US-KY,89.81283963286671,122.4150855672607,122.68797044192037,140.99984279600176
US-LA,36.710557358860044,48.92046736392477,61.35381736030408,66.17240967562606
US-MA,106.81804120907695,131.7730387351169,157.85632814227648,194.81120486629584
US-MD,42.51199144975298,53.692003414005384,69.5155300575884,86.85396482670068
US-ME,23.923439743252477,33.91129443123782,35.93151482065295,45.70331173765777
US-MI,129.1239249958403,182.45225853414914,198.4109537239518,250.75238501943218
US-MN,39.40070167439061,55.65367195135852,73.02862847040232,80.19271455693203
US-MO,98.05433578886803,116.93800990332396,144.82165238125063,188.9300958993489
US-MS,34.045341598986745,43.85156271962742,53.59843870122043,74.01013861619167
US-MT,17.85138588653056,23.476315231644836,27.70228300242019,32.328506020394755
US-NC,102.48502611390114,105.08343600734257,126.54510093310829,182.36688008031308
US-ND,13.465481270378461,14.652066678092504,16.637657064197725,20.29758190360193
US-NE,18.51420748014426,23.716768359615617,26.986862763727093,28.76530922006251
US-NH,11.410881967943707,15.105072556909281,24.680826951081016,27.438024393327094
US-NJ,78.52703422876368,117.99437067673368,138.36313377310475,185.57775998939064
US-NM,54.00812630061393,37.647418084720876,69.94486296553784,69.66460450438986
US-NV,46.5996755414834,58.92516769669585,66.4475250717084,70.81309873209939
US-NY,125.50784298875416,192.49278748431533,212.31157616033266,271.19479505880264
US-OH,117.9620860913433,138.49900227003303,196.0282411295442,235.3049569257334
US-OK,114.96325032173029,148.98467883600514,156.54580168620038,186.32335191962278
US-OR,83.29722291510207,99.4643178166165,118.78292287304328,142.60407198925438
US-PA,123.37883595128505,141.46385689478066,193.38602288345612,245.6530589778726
US-RI,8.4068195688165,9.533174783327661,10.110063022593671,12.613303532295145
US-SC,57.10876132677707,71.64978433025111,77.99475843592865,88.92818785024488
US-SD,13.013408640220247,16.03096193663933,17.423431229343585,18.91679901779446
US-TN,96.09965461892989,90.28855541518863,110.78060444140854,128.904908349193
US-TX,160.95423876856438,307.17892731725044,276.61198109823687,339.29481485522444
US-UT,10.382106482722214,12.384349559392039,17.115504482371698,29.925366601905544
US-VA,68.50001299096644,90.03870330910102,93.54850450064855,93.24249409649707
US-VT,9.395156264263601,9.59933839196971,13.661114582913818,15.809047684303339
US-WA,105.35326804927634,128.62518759348305,143.64649680729906,161.5490981540412
US-WI,66.62159885688334,86.3754414231519,98.35153315808992,122.64704344678525
US-WV,36.15295386114613,41.73572848697679,55.58131319820974,58.80361985654584
US-WY,16.25264329411276,15.641297603494802,18.94660234066818,20.860359182852314
US,3247.583213785541,3268.2880619310317,4182.2785778948455,4353.946381837924
PR,21.148347122349698,24.14494449810351,27.567237338187205,31.12796631840912
