geo,rmse_adaboost_h0,rmse_adaboost_h1,rmse_adaboost_h2,rmse_adaboost_h3
US-AK,9.099215396756652,11.468297411580037,12.309677476857287,12.326908653455327
US-AL,38.7369160221759,24.805223482061173,55.79890967922168,66.0198106641787
US-AR,41.12914261100276,42.48036408694822,79.12587153404495,92.79002940772658
US-AZ,115.60622587049298,149.09172455141132,173.72626761939168,188.993997869952
US-CA,342.6079947625681,262.555984611242,317.9251319184808,434.36791820956
US-CO,39.57170615429749,43.82309850138827,58.92718105913754,76.82334830868783
US-CT,42.63126865491819,35.86568089014107,47.52158715107816,49.709328436534136
US-DC,8.824023550728278,8.83674210690982,12.275592765688716,12.77827575962937
US-DE,13.477430023834028,8.74001870665997,11.291420707495949,13.74571147960196
US-FL,118.4489209403976,121.52235737898168,210.63749030156205,252.696426593369
US-GA,82.67976107102174,40.483720570510094,125.55788330759069,153.2677188536347
US-HI,6.036257081127909,6.283718630979245,7.094738498831801,7.543637624613224
US-IA,35.44686339338406,44.292551738030674,48.463041172247664,56.96813420825674
US-ID,36.85906418330163,32.978012571098496,50.1201727980993,53.526351663363556
US-IL,83.79257146405004,96.99496184363637,174.8372665461238,183.86928558029254
US-IN,80.22521589494932,65.05391850390637,153.87368121719595,170.70099986033867
US-KS,30.613691639628623,23.499199950976784,28.86320211342644,36.21141062934075
US-KY,73.87795967425129,65.8829564663763,108.30396221564695,130.89524468030666
US-LA,36.13186069206368,28.899666485087735,41.14541374184605,51.85290752124222
US-MA,80.46992308382919,93.51748010828375,109.9681320588481,144.6846458628064
US-MD,35.28999573819544,36.27385900985947,51.53571551307212,76.65065381977118
US-ME,19.471372370756935,28.244187870473294,21.237799284002175,24.48920146058142
US-MI,124.8208182752649,141.91862457047677,178.99744213239052,203.6889157222038
US-MN,37.144774512695186,42.61542754858316,53.07653688748883,56.541257858599
US-MO,80.02382401908349,92.0930979178362,115.5530274414919,131.03731228513576
US-MS,26.96926211509686,37.6524368066337,42.18821846800017,56.30169441862334
US-MT,16.261061646402776,21.106119592938285,21.84298818264855,28.91133659533757
US-NC,92.8611835716513,49.95270477781342,94.12085842894315,131.44760114659348
US-ND,11.480289980577318,15.230800322751236,17.27829521354699,14.541117126420128
US-NE,17.294698022141898,20.59514194310203,24.509327259348833,27.46241680632595
US-NH,14.526128436679471,12.4375445717835,16.8830957453654,20.540621738568074
US-NJ,79.09416424899227,82.74095800368198,126.93121290995072,168.8138853655361
US-NM,38.63066274627267,34.029812581689846,67.58375023988796,90.4641993958296
US-NV,37.482061598983705,54.07340926166904,72.44604288439092,75.07136131957711
US-NY,159.89487495944638,108.08549636477488,151.45819047922785,240.2118645087957
US-OH,107.72168395640217,104.49500470765433,133.56433789782565,180.4791595860516
US-OK,95.97327495813165,172.24957763255793,183.26854244411405,189.56185453127384
US-OR,75.44904361428019,101.18354398911023,116.18847020000638,132.46143947221563
US-PA,121.23296169406986,75.45283923282234,107.25175732853518,195.5167339635484
US-RI,7.828421129866878,7.490164751158457,8.743725866400563,11.909169044141395
US-SC,53.87635467199234,43.33971056045371,57.09427005826641,85.29718216592289
US-SD,12.353683241204603,12.314920031102933,15.371694635731453,18.38372624802544
US-TN,64.84763206148763,61.15881099577716,97.13180122619175,112.38395892111437
US-TX,198.85030770882398,167.2497438514489,198.1741328211079,276.1544551799424
US-UT,11.087876148316425,11.477160243799094,15.360363266870092,14.611416194350653
US-VA,67.01038321995648,46.00054550767798,61.484630546187724,87.02963973417123
US-VT,8.842552316993475,8.430441626765404,12.241537858073157,13.393382106689788
US-WA,65.8900291385378,67.59709735764498,85.28129507165646,105.85544392607244
US-WI,49.35683285590085,32.30546816990303,66.63301201476106,90.63926515144956
US-WV,31.523838861563025,17.377962066908076,34.14025038808815,49.948486840586
US-WY,13.308084916600595,13.654810906184418,16.265045103277718,19.226292357808244
US,2315.241463538111,1957.268471324287,2441.337443605515,4711.653693165136
PR,20.584773902639977,19.374196530673252,24.5961670709806,27.111076734412237
