"geo","rmse_argo_h0","rmse_argo_h1","rmse_argo_h2","rmse_argo_h3"
"Alaska",10.3374219001788,12.559722402605,14.6066920284767,16.7188322895289
"Alabama",51.308177369567,68.3736028740735,77.7318860232095,86.8748998115621
"Arkansas",56.9130932039356,73.9916696170438,91.9185613921059,106.370892840806
"Arizona",134.94349012498,189.556939910791,232.042238520067,274.881203042439
"California",357.681179207329,526.530186560003,659.403053398466,755.066977825248
"Colorado",44.7324860342249,58.4972761235927,71.7855297343618,82.8170485057224
"Connecticut",55.7390448428923,75.4157606769852,90.2079054630738,104.719288529047
"District.of.Columbia",13.2606508660946,15.7254601515523,17.3974027845408,19.2766097335093
"Delaware",16.2450573451824,16.7547500145012,16.9835360128993,17.0965461572735
"Florida",164.978468375883,213.021645733974,253.131485401305,288.533789180134
"Georgia",115.61394209941,152.908060707521,178.81973295322,205.972832580339
"Hawaii",7.58422144811777,8.16112598963467,8.97133065340557,9.61541292340473
"Iowa",42.1721234244284,62.2626263353146,79.7587410149915,92.2958301864463
"Idaho",37.8235363678382,48.5514996188894,62.9757024187092,71.8319099607879
"Illinois",139.43385798094,189.035285697213,228.828398455666,258.613218088303
"Indiana",115.331787884156,154.659393579967,185.159534416916,210.100387360417
"Kansas",41.0769082819363,50.8805029397367,59.6016064080546,66.9255362451523
"Kentucky",89.7456015696252,133.04484622654,161.253411762061,183.020329277007
"Louisiana",46.9325212134661,62.748668991553,73.5304528885247,82.8896668834903
"Massachusetts",101.08708306096,144.917577087629,185.400172452098,218.234822774162
"Maryland",48.2974326364154,70.251845328552,87.3076194615014,101.991530939285
"Maine",26.0902739923494,39.4201688211594,49.0389806979668,56.6776340831109
"Michigan",155.907349351609,227.499300026928,287.236098768952,328.806932802169
"Minnesota",56.1833084488681,74.9292835259833,92.5691508362591,103.41297132928
"Missouri",107.919647329175,155.789447890815,184.85461890235,208.949652090916
"Mississippi",44.0451031869879,56.5295742415363,68.9860593958437,79.5479216900897
"Montana",19.493302299985,24.37090312666,28.7675705415412,32.8096741290632
"North.Carolina",110.158006606448,157.54019751161,191.547774745312,216.903050736995
"North.Dakota",14.4973302450152,15.6611990898103,17.0929892381747,18.3770450898296
"Nebraska",20.1812828840697,27.1074885721377,33.4256433290376,37.9950623567783
"New.Hampshire",19.0583078339128,26.1664944071599,31.1350595631328,35.1225995924459
"New.Jersey",104.0305495824,158.142748510619,189.222307073878,218.922748075039
"New.Mexico",57.250311758063,77.670126534382,98.4554128543334,115.304862046856
"Nevada",52.145018020925,68.577056510676,81.3125282740998,92.3231868458969
"New.York",179.765001065169,282.136852919505,381.964004227506,462.272824992379
"Ohio",124.94602924582,178.732298279729,228.358725372817,270.441355274222
"Oklahoma",128.01529352596,165.863755317079,209.089573935159,228.576751885904
"Oregon",75.7277119335615,117.876504208697,156.838021463808,179.924116375927
"Pennsylvania",160.027395660406,226.001234528911,275.869656660946,317.896540001462
"Rhode.Island",10.3874162066097,12.9175184310186,15.048961299036,16.2948484724439
"South.Carolina",66.9441475946883,92.8043302771242,111.744871195293,122.999831453943
"South.Dakota",18.1007728407577,21.7080014255644,24.6621686831755,26.9324987147577
"Tennessee",84.8650181548768,115.959637307093,137.884668451953,154.066216977695
"Texas",205.260647600697,293.823935135107,373.609828747668,451.611790255866
"Utah",13.9127025774241,16.3477273323079,18.63319531641,20.2318797185676
"Virginia",80.4357173839677,102.678242214736,122.467128891315,139.509253003269
"Vermont",10.1583078426146,14.4395817496359,17.7907688234462,20.3496351458875
"Washington",91.6247845263907,123.643808085548,164.693416897445,188.455429258311
"Wisconsin",67.5965272169908,95.1143673762298,120.519024238598,144.28923609934
"West.Virginia",36.5975516945248,48.9062823750826,59.4282220560205,67.9805302111069
"Wyoming",15.5862265570494,16.8669204109291,17.9106052828685,19.3162557606766
"Puerto.Rico",25.5893890357343,28.8763123973483,32.6251036531737,35.8010254968703
"US",2875.15891400612,4268.88197456617,5497.39467776873,6525.0846418511
