geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,7.806259727872706,10.610929150307728,13.950811163810911,16.99087792300827
US-AL,38.2389247418177,55.32335105396346,68.05963357236065,74.47239193355671
US-AR,35.77917764775769,55.63403522109112,75.51486023412647,93.98436643302352
US-AZ,78.91718160851542,154.79826077239807,218.7330618504811,266.648942214668
US-CA,226.10365819680626,407.42972741567127,558.8991920587707,692.2247267179451
US-CO,31.9928038360161,46.092435126631976,66.23570206279528,81.95286063937829
US-CT,36.420906960220506,56.34614898399347,75.67628128841838,92.62668379622326
US-DC,9.34062999101043,12.134942772891085,14.153152372885087,16.964323126440092
US-DE,12.975182924428635,13.545615419762916,17.05342497275496,17.254305928166556
US-FL,105.29633693441455,161.29218919201006,213.35572848916541,262.53284605360346
US-GA,90.20012232889341,139.1808302634586,186.4460170807636,217.16597044309395
US-HI,6.52426376519538,7.694017101881002,8.779039541350476,9.45124095182488
US-IA,26.323953908247244,46.92398681601686,67.4014476601212,84.19777579661101
US-ID,28.478927395888977,38.92391500031577,59.54586022068912,74.50589345813925
US-IL,94.39149614972617,166.34988355612708,225.36750255031748,268.22742846723236
US-IN,54.59689173876033,93.13903934893476,133.17012483528148,169.7106655515987
US-KS,33.25644234691771,51.64844238481062,68.54751377323126,81.31482083400459
US-KY,63.44786377828664,121.60263172416049,163.61735103394,198.24824778001502
US-LA,30.50986963159707,44.742067688101756,57.1158189718048,66.1710833382847
US-MA,62.353531859416115,115.775444522023,175.1830302862358,221.06438833310378
US-MD,29.91739148226112,53.05172201648297,72.29864816719332,89.56325108323111
US-ME,15.866320579033648,29.24340674974874,42.3252692543267,52.6171978213103
US-MI,86.62769472462942,150.80495659980915,216.93736442295366,276.4805213306073
US-MN,29.958615850837,54.25675642665257,78.48642921630828,97.51093739922759
US-MO,66.38536196337155,116.2193620639325,160.0862891984465,195.1307065182081
US-MS,24.97700414585529,37.44238574701635,52.366316102628936,61.882070535397325
US-MT,14.838541260623272,22.826802952514168,29.803011402064726,36.86542885047995
US-NC,68.17552770710734,115.4123982824185,162.31403575214506,198.51259287549397
US-ND,8.8635998776986,12.526239625532401,17.211924525902074,20.98294305098753
US-NE,13.229784404291072,20.718891571636746,29.115641488568468,36.006462829155346
US-NH,11.236207301910616,19.556374464456297,26.211278859146017,32.13816264752451
US-NJ,68.72043337491091,116.87822111608227,165.7685482669636,210.17206394385568
US-NM,32.673483379085745,56.65343731826107,79.90134478996944,106.42944944299128
US-NV,32.18050577553532,60.0172252259979,80.91222395851764,99.72202987417351
US-NY,110.78340610103841,212.3513683394074,334.22137570378914,449.03005727726577
US-OH,65.83145472845035,112.68673664939617,172.45853779291323,222.98081224817795
US-OK,63.03949131619824,113.03437574287035,156.3618517535461,196.36785660935152
US-OR,48.195874658228504,92.04000951168305,139.9413775864428,176.00632821022
US-PA,118.48575854417417,217.98678697118683,305.38185820759844,385.03048904566884
US-RI,7.331892684701901,9.774676011108856,12.914648561956666,15.898955971445517
US-SC,43.10816062072587,79.59197481939344,107.49274691306044,124.78933117134754
US-SD,11.497829500788821,15.353594541863627,20.048088138340777,24.040411111486023
US-TN,60.583530124674326,86.32890001176138,109.992633842238,131.4935085949549
US-TX,147.83157215107025,256.173095512553,344.99056328968993,415.79660312348955
US-UT,9.817153511239754,12.837045989785079,16.65246748154256,19.56784312509688
US-VA,51.65548886019484,74.87692761776474,95.22290288523624,114.8282327934292
US-VT,7.517556455412739,12.46358577410934,16.213522562717856,19.799858980610825
US-WA,57.83636096382863,91.86580862090881,146.92654423227057,180.23048314829444
US-WI,49.280350206042485,78.7931665571242,108.9095369031309,137.75073955746646
US-WV,27.994035813704308,40.26479748518892,52.91738262914195,62.6975012470774
US-WY,11.60824224823545,14.088569224642592,16.030011478330085,19.123202858057034
US,1291.4316073211749,2558.414426607577,3934.477497113443,5190.3666113100235
PR,17.011837585087083,20.185923946661898,23.31419386748511,27.479803225345886
