geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,8.719531550592656,11.12525989283518,14.30653578967336,17.767461626752887
US-AL,54.496489381780194,79.32932946485859,93.50735237684842,99.49392804304058
US-AR,55.83177708594804,69.16946272982393,90.89015699527005,109.58860388420723
US-AZ,110.34314518459318,189.37873351961608,239.30180649925086,283.20649774838233
US-CA,305.5591897443691,486.8041830133522,612.669835376483,728.532186420723
US-CO,41.571678611648935,60.78981492603747,79.25573178710535,93.99842500476888
US-CT,60.51002689087422,81.21176671360632,96.81050662473352,109.63495518258509
US-DC,17.62003605475807,19.928327340938644,21.8004555013485,23.762925764706363
US-DE,14.857584644240882,15.386677285176617,17.33773064459107,15.623645135855146
US-FL,143.23906089607235,205.9925795540284,259.79123703972806,308.5616536431309
US-GA,107.72192943331598,173.19948543457767,228.81178959459814,273.6147611506235
US-HI,7.538699039957785,8.16544191973906,8.2830452055739,9.196277463785192
US-IA,36.04951825869998,60.063636417440726,84.07372441211074,104.2494158852585
US-ID,34.278122948165034,40.82600609120537,59.31055718590437,71.40207373300217
US-IL,99.65489762537881,182.617105828651,247.8529807773369,298.2728860311266
US-IN,71.46782901658479,137.1814986843195,189.9418868418534,235.20748854459174
US-KS,39.59739618725729,56.42439836539839,71.16527693378367,84.57018328314088
US-KY,118.75577724745693,174.6460238821639,216.41285235735504,253.43130840090885
US-LA,43.22634137822535,63.65250270237338,82.04188986696175,89.8228848388276
US-MA,82.04793168269157,137.7791919543806,205.5614644495812,260.58750959594573
US-MD,55.926479872018156,79.14751944025713,101.49901712424297,120.70739822035364
US-ME,24.319633025708686,32.493731028606256,41.46887709781454,48.806073178700714
US-MI,122.59866480124869,210.6878361568358,280.3851966349785,338.7661351545174
US-MN,42.701970020823175,67.05087210170002,92.42877549438552,111.3528629329384
US-MO,100.05405158953506,155.9765769144844,208.9549667748367,245.97921340275994
US-MS,42.942901860032514,63.92753808309398,79.3180967616624,92.26631469028057
US-MT,42.995079889709636,46.010552230176046,54.76323042945743,61.77250807456692
US-NC,125.5121592029249,186.54514881765536,227.1968516313142,264.76859046019655
US-ND,14.29959236788949,20.329276730757474,24.64525742590666,28.911723095563136
US-NE,16.707466857815767,23.248503652444043,31.69106017485105,38.23045546132851
US-NH,14.700479817670393,23.561237269137415,29.624577636617854,34.21048774068374
US-NJ,93.60823451948117,154.9173574925522,205.01633130499107,251.9639666550965
US-NM,42.77610406433759,69.43635940812301,96.77408650998598,125.27443538118041
US-NV,46.88473420341065,77.20430477245013,99.80869082213405,122.87667793832958
US-NY,140.06029040529216,257.23715231361814,378.80614545488805,483.1767038367037
US-OH,107.2689118481229,176.35350986867772,251.11079001748658,310.6337330500832
US-OK,87.56194378724204,156.41297089390991,215.57366474295958,261.11225143414447
US-OR,68.42429623611865,120.36360488598264,174.88118588733246,220.90609671069248
US-PA,171.3854963630877,257.69474675957025,316.9256456657978,364.7208415314776
US-RI,11.05244949989362,11.596697478293557,14.302086848205596,14.640204299314687
US-SC,70.88831772365464,116.39599895623141,143.76086465913468,159.54611333516436
US-SD,13.312527683053993,16.787317250886407,20.787392346232014,24.01120342928951
US-TN,69.83837035986284,112.48652232309475,141.5494619836905,160.1661479419332
US-TX,201.88892084626366,321.6561882268953,415.1814586607641,496.5787102848827
US-UT,14.285113289073603,18.683721433347475,20.95325156426208,22.836027991289576
US-VA,110.87035583422409,143.0449751847231,182.99856868119727,217.68424048014515
US-VT,8.459339767774116,13.541958741243677,17.528338704150038,21.53532254030487
US-WA,87.75835042670582,114.25886845429913,156.26047564024535,189.86328978244597
US-WI,56.06573523075601,91.80661989404439,123.04404017922754,151.19627110909786
US-WV,35.914518410011205,47.56277949495409,63.14335947981084,75.95637612351041
US-WY,37.46587721940753,37.738469943136764,39.26778745782317,40.81035303577363
US,2114.29702750215,3574.779580302453,4895.252754413694,6036.348684950139
