geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,8.073434252082496,10.912525489489848,14.080512808174388,17.187004444720504
US-AL,40.80239842762404,66.30900635804238,79.4684998356883,82.96641921859266
US-AR,36.35320564572614,60.785294220405504,81.76356319508417,100.92487752290484
US-AZ,81.5946813089844,172.13669159451013,232.39746355464789,276.3946308807964
US-CA,227.74665823867542,471.5669768095626,669.6307156333254,813.6221361392569
US-CO,32.85452759076606,53.94331396109716,75.04963820999625,89.82537874749625
US-CT,37.02039931682862,60.225958494103416,83.31232496412517,99.47570047456698
US-DC,8.908987086424354,13.38905905939142,16.28076649926815,18.855555904503987
US-DE,12.65336782386033,14.808071533092576,17.400564282901595,18.290510797332736
US-FL,117.81004766327759,191.31183648736777,252.2840524657817,295.6709563155579
US-GA,103.1631052448661,180.2884335948722,247.29704863652765,302.1721984973563
US-HI,6.492740695059415,7.628261782595923,8.822241511034312,9.52445839334399
US-IA,27.46572368433551,48.17950159409699,71.12877357428297,90.10333648220644
US-ID,27.197785027636193,39.7623974495819,57.720784998607165,71.80067811907504
US-IL,77.67990701898736,166.57108458988628,240.93709534759375,298.1640268216351
US-IN,67.56741178254437,131.75646454293482,178.0007846773396,214.87391741534384
US-KS,31.48964670606009,52.54025722865283,70.5413549590505,82.62231858293707
US-KY,64.07467974340096,126.41320337427325,175.585381946119,214.01030367907111
US-LA,34.22974544572086,56.11305174122444,69.92019397268415,77.83523115851003
US-MA,65.6694527731456,117.450661538377,175.63757294619592,220.95328708660313
US-MD,32.523491226185534,61.0094704563423,81.35552108846768,98.79612639552724
US-ME,16.147402995313428,30.000648449987608,43.171308337943756,53.482435635881224
US-MI,90.0747212898362,178.3548161355472,259.13082569159565,323.9572803662953
US-MN,33.57437785059085,59.95517745807279,85.06437211485095,102.96533551576987
US-MO,76.04225018057397,135.06081244118243,192.80680407004132,231.54034697003567
US-MS,29.95565610606122,49.28014952350842,64.96472197910603,74.56401753852545
US-MT,16.083649211465232,23.94153778070401,31.139746797488623,36.46143295701459
US-NC,93.58758355556094,161.27898374848485,207.3447929846627,238.73728724952332
US-ND,9.386677111514384,13.053985960563955,17.887148378710997,21.516314707816925
US-NE,13.909599184139266,22.452052197024873,30.598971404356874,37.38353182727284
US-NH,12.11941913193113,21.37774563008342,28.48516573160105,34.10969613214491
US-NJ,75.59195193860913,134.97013660665877,183.3169860306703,226.88844435887904
US-NM,33.15932004107362,60.13163731617509,81.03891592547834,104.84763345727312
US-NV,35.190755217634425,68.2563618045316,94.18163433301997,119.25646480913771
US-NY,112.4246023070713,227.4939201060046,348.2256142931331,456.75259460057555
US-OH,81.37456157922108,146.8177969034976,210.91151837180183,259.73048890174135
US-OK,73.14020877844253,146.9871175376903,212.94869467038245,263.9052755223217
US-OR,54.41517926859692,91.91266484098051,140.617214942587,190.59406381522953
US-PA,121.51034677490327,214.96037901888297,282.3080132450647,340.10945457080805
US-RI,8.585164122556728,10.767267938579856,14.40623329105999,17.000154809110942
US-SC,56.33280113505525,109.15970886238212,146.96716346957646,171.7284019640228
US-SD,11.828017920874506,16.197791982346835,21.47073851714964,25.130450031810547
US-TN,61.21627325358435,103.04556852120976,121.65535577914535,142.8824834098655
US-TX,148.6525558236978,271.51494967538224,364.3649031934271,438.3342150980319
US-UT,10.494790856000527,15.365809908725124,19.130700660596275,21.69481961840237
US-VA,69.71565415705714,111.14143734596121,132.44956485491497,145.4138265521168
US-VT,7.532516966592173,12.555196071312007,16.417955101650087,20.092185953091
US-WA,69.203024928652,108.73042865095339,160.9258078531221,217.77952974410695
US-WI,45.04597082579106,79.93494106124416,112.72032275674847,140.80941006047323
US-WV,28.74027052852201,46.03798143087053,57.796664387892186,67.86689660280751
US-WY,12.046699825440992,15.286584584701316,17.563704125363536,20.229400224393324
US,1810.0812968940063,3691.1336437871837,5312.867491139442,6565.3675953105585
PR,16.878800752106255,21.004028052610444,26.023074690719678,29.364907651675747
