geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,8.463774457639335,10.886391807137956,14.262223317207807,17.280296877800552
US-AL,50.14905179779528,72.31337964355903,85.47661352009544,90.87256784486166
US-AR,52.8325909015039,76.3003742421382,94.61006041869369,112.32569683617696
US-AZ,109.55308667181968,184.93275609901195,230.01638696817028,272.91574182946727
US-CA,265.76791047085675,501.83300458794133,678.0063839300926,813.0807918315533
US-CO,39.306415970484345,61.65328610882301,80.43006952146904,96.22366827126284
US-CT,58.455183471509606,78.6153080985857,94.30139269039623,110.05726625378894
US-DC,11.933474444926807,15.928954771224735,19.676979334467323,21.900099079137604
US-DE,32.68965830933427,31.91460496031717,36.56163339787736,31.173003745009034
US-FL,118.42651686612228,193.16176868539637,257.7333552591671,306.371562845124
US-GA,89.19745012663884,154.1264269124304,204.6705115528066,244.09960135200228
US-HI,7.073697048702394,8.73632685506021,9.216919859075952,9.642936148164203
US-IA,31.31153060068074,53.577033368444624,76.43881148465455,95.11683804613442
US-ID,39.38399513630085,51.352163673393605,65.75115487129428,74.77272185461902
US-IL,83.09259994954579,143.14518721071826,191.7775741571513,229.05096895765598
US-IN,73.45778858721066,126.8395267902608,165.94237158582348,200.02779856063285
US-KS,34.73876463180506,54.616623617589106,70.50109296955479,82.07166845784813
US-KY,74.88348693072271,140.11818004079953,190.93675855979,230.19837440402404
US-LA,46.37045666693004,62.69094240068623,73.71742130628151,80.69721170791797
US-MA,72.7578181543766,126.7926085539969,192.45169881201736,246.24218363130495
US-MD,40.10466987798511,67.24599181907215,91.5695961309196,113.81516894134361
US-ME,22.307070259582844,32.969966695801844,44.96331047047534,53.277630058748606
US-MI,119.82777864977523,212.27419157785778,278.49077645772593,332.6083665881475
US-MN,41.09441832121221,64.98641791282294,89.23780695499252,105.99528689555827
US-MO,92.39311716443986,146.4506167966043,194.1223218020605,229.4257952561772
US-MS,42.88889744585908,63.24220429131623,83.96649413148408,96.1854576114603
US-MT,16.186697167981535,23.862099977021785,29.976975472350546,39.376161636924955
US-NC,105.02174875782455,183.38954286238715,242.0953868954768,288.5791411338703
US-ND,10.284801039246757,14.363032323784832,19.590353049107193,23.66927197760292
US-NE,16.576875520899797,22.83157165217036,29.208480405299458,35.184938905546346
US-NH,13.739216479106513,22.72723128430711,29.144121263510904,34.139628016055234
US-NJ,83.75583011741134,141.34381401903002,188.0386703984928,232.69438227390708
US-NM,37.57785332726219,69.1387297156066,95.47988037214014,126.23073346756458
US-NV,41.54897707874276,69.88140479661064,92.0487412899022,116.0187411161488
US-NY,127.33172056934093,243.14578572734504,371.05600368570947,489.03966086702155
US-OH,89.19590669493098,154.96245515518203,219.8965973764379,269.383536491625
US-OK,101.46302269755796,181.40980413825594,252.3779304325066,309.95469686698135
US-OR,61.624437365826786,106.05500257477165,155.37584914529353,207.39603841024143
US-PA,130.87744058128428,220.4790800174763,290.48144616049586,353.0381106467726
US-RI,11.01712330198354,11.651314639997977,14.485721195297279,15.363546368788125
US-SC,59.74332069092058,104.90961221956667,137.5857882586763,158.50272107690867
US-SD,86.72216356999473,87.40237538944228,89.66784436535738,92.75266583239325
US-TN,68.04172205691061,110.70427820001086,133.67147092545096,156.28154594507632
US-TX,163.59750402700726,296.09373782496,395.1869727134501,470.206223691526
US-UT,12.072824037694163,15.039862962157631,18.778402276443586,20.56952179334638
US-VA,71.15883085006352,114.87951644807065,137.42933329512087,152.36411967177833
US-VT,7.933211477291893,13.313747771345387,18.23269593936758,23.16686155119097
US-WA,80.88947251077828,109.68996551343434,150.3459440873249,184.2182705499137
US-WI,57.14892970153095,96.9652248001761,132.31251887416784,166.58855915485628
US-WV,29.62752944963161,41.990167710059325,53.01090808390441,64.42596162047985
US-WY,14.944636341182878,17.531179608639306,18.633943087590584,20.992851767312743
US,2003.91146760484,3759.044907865429,5186.935111812162,6333.490237874298
PR,59796.042996836855,94430.6721438946,129512.25717808421,165049.26168744484
