geo,rmse_lgbm_h0,rmse_lgbm_h1,rmse_lgbm_h2,rmse_lgbm_h3
US-AK,10.506517888495708,11.749013202720358,12.8771155546996,13.783001464684014
US-AL,46.53126039229096,51.091985629861526,60.673068647521745,65.42901382468439
US-AR,58.19374912647334,53.06104835705657,58.53633507164915,78.79338621760107
US-AZ,133.18802606946915,126.67129473740829,140.1238169645824,187.02761280898898
US-CA,316.50569133088317,330.203431662273,416.4250360339328,490.4240508289199
US-CO,41.95363918879977,46.153079753759364,62.76016126075729,64.72340262574987
US-CT,53.71943646290075,48.86499781480872,49.5117090577387,60.09846814465939
US-DC,11.976739315791296,11.248578600049612,12.593103618038002,12.13732290551808
US-DE,12.373085714480712,10.382309927295974,12.260236189579896,15.283281549881558
US-FL,152.18133133115572,161.280313176809,194.97293587943167,214.6484946668378
US-GA,113.24502912252657,108.22613730134526,141.29733659417514,148.7462219751805
US-HI,11.107323827575314,9.417679548287351,9.138218049871282,11.426387211540302
US-IA,44.141307193163094,43.70823017217629,51.21055094330236,53.3867034218775
US-ID,42.737638344189605,43.45015214215505,42.87294542344449,50.51622744515858
US-IL,112.09100548964699,113.34577699340048,143.46517684533785,194.94335206822024
US-IN,107.1666343998715,102.44146812278747,122.40110196080724,140.03659347219366
US-KS,34.86675859340714,40.020846861077786,45.827023765077975,51.85851389136553
US-KY,92.15182583425137,88.09252315811797,92.37454029954242,109.64796066288137
US-LA,45.203472339924836,49.13387194790278,59.83532030174363,55.1441175249359
US-MA,101.79853174169456,113.52176836085368,126.25726957465943,143.30639240561806
US-MD,42.41332526943047,40.129857082920765,48.6212447815378,60.93629172197267
US-ME,28.06617025747597,27.617809984395763,32.51273482950751,30.745819249125695
US-MI,148.58579108204748,135.19421560354348,174.08029006709882,214.8549134221614
US-MN,51.281064533960595,58.071411968565016,74.05213819971947,78.90192470383461
US-MO,112.43847260064697,100.41044072504576,134.7772658025049,140.46511462207678
US-MS,40.820476099849756,44.05821240994159,45.90450694378354,53.911820199358374
US-MT,18.432120277869718,19.983458036273934,22.798132912845322,27.591521566917436
US-NC,109.99522191739025,98.33165938867418,151.3586938041766,180.91819869129063
US-ND,16.73997317566346,15.647019719636663,19.068256511610073,19.759679141546982
US-NE,20.556870213879403,22.12329939242928,22.311630492713643,26.41177904833493
US-NH,16.444702956847276,18.879373352650347,23.62019814995263,24.218701166692973
US-NJ,95.30507473335796,96.74490465838183,125.37305426013516,161.36331400650914
US-NM,60.432657892474744,60.66127751540128,69.000508236458,78.18738492128165
US-NV,49.28670175847116,48.099665236155516,50.03725334110958,60.046610152290015
US-NY,159.9210580275408,204.4146398095841,245.58295395974926,327.48025393337053
US-OH,119.50268730029647,122.82466362528179,168.80584651307262,213.37097929928294
US-OK,125.26896566365495,143.04819533788876,128.39446519660436,167.3098576881786
US-OR,81.0442304362281,63.79192817018886,78.20163328457612,106.73804065611644
US-PA,153.93084257946037,112.76848988662059,174.99959544079033,247.13701844635378
US-RI,8.89374789080217,10.68945480209781,9.61485165435796,11.952133175782928
US-SC,64.83736149892485,68.33875749990106,66.85842367119234,77.83349059384972
US-SD,12.865790348939454,17.786355275518936,18.328239052857036,19.03272264153853
US-TN,80.95819206130508,86.81667318800368,88.49142785055786,107.1918709613482
US-TX,197.57614825655816,243.50624712942573,246.3610389100415,322.555074349348
US-UT,17.35975906595137,17.693150754124822,20.571815408522856,23.053892961809307
US-VA,68.29831650499129,69.87405047717377,69.80166932432321,93.94325183199787
US-VT,11.230882549957808,11.317014061552625,13.465262851824495,12.34561612320311
US-WA,83.09734671075061,69.85041963493155,69.85602210559013,90.74862536973704
US-WI,59.77269001824228,80.17765871527456,82.79932610255277,90.53076727070555
US-WV,38.89151038742093,39.77446049842153,49.8443040117666,62.815009256176275
US-WY,12.526586417638242,13.03081197186069,15.656827966149296,17.48494498170969
US,2637.9137839900686,2183.1654458238913,3271.1846726440576,4755.639091738373
PR,25.053942811305127,29.23480621816234,28.215792512605656,32.07000031968447
