geo,rmse_lgbm_h0,rmse_lgbm_h1,rmse_lgbm_h2,rmse_lgbm_h3
US-AK,10.58627177547908,11.64247151127063,13.447431502198832,13.554424781044323
US-AL,50.65286658997857,45.585599859326926,45.789390537113185,60.2258285923998
US-AR,57.07535584169579,47.449884224930834,55.07548510376953,79.56183968006528
US-AZ,123.41227292267355,114.71343048970536,139.6498681556697,179.56951290344927
US-CA,318.34175093029734,321.33718687407355,476.0780590145827,528.3871260654383
US-CO,37.45349523532983,51.936330838085844,60.7858051310912,83.6235558464562
US-CT,53.278537933894604,39.01217917849497,49.148303831189615,56.93512415879457
US-DC,10.422374944608995,10.291002727270437,10.370500464636017,13.09813002641544
US-DE,12.590386518602019,12.286128594168916,12.701081625079466,16.100398706087923
US-FL,147.5299751929889,154.66997739360963,183.621440997847,260.0415116374628
US-GA,114.6540946685611,101.50379598608899,136.01030563424857,143.30471132624393
US-HI,9.400252705667004,9.640291539051463,9.885377732091763,9.235509219987817
US-IA,46.97377255851333,42.16084097765671,47.72226429362376,52.40362047162538
US-ID,40.79463872789616,36.78237197923965,41.66657347806137,47.70126671142303
US-IL,114.59564635251184,111.05855805136515,148.7342371018827,175.56905963005102
US-IN,92.06803765008084,91.0760291054061,114.1497669222982,129.36063029031598
US-KS,32.74830161445572,33.81839415814853,42.52373800106341,53.680979872507166
US-KY,94.87441126228336,75.23913214800729,88.37890525486806,119.48847283884935
US-LA,40.66549158046717,42.339709675979336,51.42457745703911,55.55403000687056
US-MA,94.69153165759167,97.9522406402926,123.19330458467529,153.3600602854477
US-MD,42.47550906131862,44.17912223181981,54.31632191372034,65.64595544687353
US-ME,28.226280212718077,25.223336349645326,28.549579062324202,28.72119563914709
US-MI,139.92192455785727,133.49656392115767,159.9533410315997,211.2859807698038
US-MN,42.284400875437946,51.108146070840334,60.56965221179256,77.427068374286
US-MO,100.8621792254416,104.9778203432364,113.9271384051092,151.37795081932362
US-MS,40.65954237868214,43.8332417952542,48.44527266665845,51.291957107339975
US-MT,20.021815621790658,19.723769374032006,23.36449758297693,24.396433661390592
US-NC,115.19460842343712,105.75150436159029,108.87557230810219,145.7242277662409
US-ND,15.766425325372959,17.2597419743563,17.69185544687464,19.022310966731947
US-NE,22.317276625751607,21.015824393513306,25.509609871218824,24.79100533989271
US-NH,15.612811659227535,17.32848352374144,18.971246261864014,21.72495056894397
US-NJ,91.29423305179347,97.38059091062294,130.75964059589936,170.006525910339
US-NM,59.93568358799836,57.22183417839604,57.701547888438924,69.99007812607906
US-NV,42.80530762402976,37.929433254084664,42.54128356671456,51.30328619104781
US-NY,149.4321111210156,167.90512679084657,245.41342655457044,273.38950300742755
US-OH,120.52008167481354,117.45656389283678,157.5177653050939,186.61396929396065
US-OK,126.0432073815356,121.82987951239944,111.10771689381225,157.59430336241692
US-OR,75.98673512174308,67.96889022422158,78.53673243584895,105.9953429003316
US-PA,134.58603378208807,116.81384594874984,165.0815656550272,200.5641115225749
US-RI,8.61758309243348,10.96374974060971,9.120065269756664,11.369380112556614
US-SC,63.63601610403923,61.377445409838636,62.259417700268315,76.31743573056053
US-SD,13.77710202816436,14.065477776384533,15.317876936895162,17.816222276627897
US-TN,79.84817446046229,73.12786506248891,82.14463476270198,100.44099797059269
US-TX,177.86993961628255,203.5846632125584,217.4971668743865,293.19998623495377
US-UT,14.555608457153266,14.931366151612814,22.082603988411268,23.27430853825676
US-VA,68.64831568418701,66.67467214872514,81.84021483757618,114.07372251384655
US-VT,9.848560927801492,10.20617424312206,10.735457861660585,12.546556638710184
US-WA,82.9469194399691,84.43987882428266,96.10818365451333,102.16627403163909
US-WI,60.20646496555835,65.57551374728675,72.07129366437621,84.55028114156835
US-WV,37.97970769119452,39.5853751928539,47.11493085190894,60.319164026983266
US-WY,12.859495074555644,12.477732744836308,14.551868432986122,17.00163370723638
US,2497.151706654029,2209.1724498366043,3230.4612169501447,4716.7559786273105
PR,24.628649305034966,28.230152631099788,25.572083920376894,31.781740013425505
