geo,rmse_sarimax_010_h0,rmse_sarimax_010_h1,rmse_sarimax_010_h2,rmse_sarimax_010_h3
US-AK,11.564641455622976,14.653881873072864,17.961323553158675,21.980066977724412
US-AL,13523.052418163134,11825.110129587218,16151.333545467905,20013.76773425512
US-AR,45.91014860836902,66.94657359609646,90.70992727428629,115.46190851382646
US-AZ,87.00960018911864,158.50693852643292,219.24847246730153,270.7952783829988
US-CA,291.7196325811805,476.53036921727687,614.8544985517415,714.6823539218149
US-CO,48.57402817465363,62.04817191553273,76.82567924110785,87.6304272530669
US-CT,49.54029279980214,67.70157342379582,84.47278534512795,99.52380969785175
US-DC,14.133757795939804,17.593871290197143,20.288179477458975,23.56741284968287
US-DE,16.870263749195892,18.870903626382262,20.938900495926486,22.21334581535566
US-FL,134.3340008882466,159.34619407045975,204.74881787979072,236.07702777373373
US-GA,97.2847314404376,141.7104829547862,193.23467491335242,226.33845278531217
US-HI,7.54081692169439,8.241039545532301,8.819117589569995,9.02409666806142
US-IA,39.549508415552275,64.77083359085029,85.51978825173973,103.33784380258604
US-ID,37.53305889472429,44.669053513572564,68.65572226086405,84.33206085712558
US-IL,148.3766458261604,232.40193835296884,295.1449506719041,337.7485954171488
US-IN,75.60398242977378,113.76208752599784,152.78226414418614,186.03784539993242
US-KS,42.33055756697091,61.533029662326356,73.37177489306647,82.34939474761946
US-KY,97.42735933221496,172.27745416319271,223.9518966688548,270.0928302816674
US-LA,47.15838442067912,58.1081471656536,70.83100990518724,76.80733254495249
US-MA,88.38074741397926,149.78147645574836,222.77827282493482,287.38959893468683
US-MD,42.389862772392185,68.64915381271271,90.50282373186148,114.38357742584648
US-ME,24.97484804637326,41.818653930509704,57.035636175574275,70.13491480354871
US-MI,107.83318385814582,187.43876393951913,258.25291345498266,314.42798430024607
US-MN,47.739719082625015,85.21504716039497,117.79614326422349,145.62784293772629
US-MO,86.07263697996174,143.9656835403681,207.33294192965195,249.36574626752835
US-MS,28.424396386608976,45.357717397629436,63.585898521347694,77.95899334718004
US-MT,18.97541901743518,25.438164165645286,32.993102134182195,39.05583302186581
US-NC,110.36289152008385,137.57770930067971,187.77372944793746,217.7970037009051
US-ND,11.20378445118443,15.766062127674235,21.067181757946464,25.179960516776536
US-NE,19.852661388704707,27.056397863864547,35.06776097606552,41.751473667110076
US-NH,15.555890653050861,25.89107422529551,31.72703124539474,38.11934946153392
US-NJ,81.19601140602724,131.22588586334086,166.57810978962107,210.18685364806498
US-NM,40.32368780801499,61.39467398095158,75.70100640792835,96.62061084359378
US-NV,45.13943922774528,82.07147926862858,107.71822760243856,130.42302173038874
US-NY,142.99905488633172,246.45096550635836,350.24873455672594,443.55259178396057
US-OH,83.71924553608093,132.35216917560234,189.68555428253742,241.57474333033366
US-OK,90.98736880224241,149.60146839112764,190.05187326766512,228.27073091043107
US-OR,70.51057031098257,124.2343770489792,181.292076501673,226.5758983719084
US-PA,139.69397212014036,182.1181039620137,234.18769352727676,281.2635206845116
US-RI,8.557315722417101,9.744772179794671,13.273770599362878,16.287582226457175
US-SC,45.82076966544678,85.73958190189346,114.8982043565988,135.74329484273665
US-SD,16.514251430544565,19.686299243403987,23.97115905053585,29.19696709596046
US-TN,95.67831425158948,127.93381808585902,155.31996306743235,185.0729139142417
US-TX,238.82480652092298,378.1695681954317,484.8346367264297,550.7659198691671
US-UT,13.519887395266121,15.008330941351078,17.687433110140507,22.016091482154636
US-VA,65.89383749682071,107.3855873168833,128.88648872445788,151.7953538947018
US-VT,11.96471796412231,19.384345998122583,25.867520607110286,30.72614686345155
US-WA,72.33215120670131,114.89229487892284,184.64938747707725,241.20114186962564
US-WI,63.53600794006886,106.57713844900634,149.0984479014701,191.11797477831874
US-WV,37.16391887657159,52.827454797087654,67.70805460542152,76.96996582071556
US-WY,13.524249777592429,14.996087942487787,16.956787030324357,20.307194305707927
US,2438.665119188058,3344.0065323190934,4200.6755420100335,5289.566367115114
