geo,rmse_sarimax_010_h0,rmse_sarimax_010_h1,rmse_sarimax_010_h2,rmse_sarimax_010_h3
US-AK,12.437164240498536,16.2108591923744,19.233043444769343,23.254809197410175
US-AL,56.09848841567766,81.83159498177567,94.52879583466401,94.82876552821952
US-AR,40.15544672551042,60.644438413175955,80.43968560605742,100.11431543985752
US-AZ,101.43849629014301,187.85472785464378,261.2021189203562,316.45394445723724
US-CA,334.628926940365,545.8373067096684,703.1810225768129,844.7978642423552
US-CO,46.96999164873633,69.900526184263,88.71582341007218,108.42826271815524
US-CT,55.06476266940117,82.30888448394664,104.86421656485113,123.41932153871575
US-DC,12.58962173453154,16.70227112931248,21.417196814185957,25.93556132724756
US-DE,17.736328222406893,18.2841390489086,22.19350792418018,22.68037648498543
US-FL,152.32806462243332,182.51381305299572,234.67223387992996,272.58267060229736
US-GA,94.59084859785295,134.9243096925784,180.17165455498017,213.46795668595155
US-HI,8.025072244469527,9.319973938477847,9.740391084001027,10.204264561225843
US-IA,39.06509610437668,60.65928519835459,81.28964401821645,99.85046404386956
US-ID,34.049952918159434,42.04846143263941,63.821377648110314,78.35958527330293
US-IL,129.35596579158374,201.84995808987847,248.62630825224034,282.90220699554595
US-IN,90.89101435040986,147.09778356293512,177.04629390270017,201.664162511687
US-KS,43.33591190906114,64.85717166432134,86.09158828780988,100.0309723178297
US-KY,75.75117628166204,121.51638872955711,151.92803532397403,179.34028583664636
US-LA,44.11900996642376,62.75217182379156,74.59241703820749,79.90033957201075
US-MA,73.84089502427904,158.36418846368468,238.13049244782354,302.0364666016477
US-MD,44.34365793627647,72.74279215151867,97.88204343976574,122.32796293881506
US-ME,22.8763764179885,40.39990915687533,57.99130860589803,73.2663843930769
US-MI,94.76692164292284,180.0010407182426,265.19184784426324,328.2572398849548
US-MN,45.11407357589358,73.1927115824079,96.70720821022978,118.02989065198838
US-MO,90.00772488827084,155.7690903292873,210.2343137973654,255.2167376147519
US-MS,27.989344918031343,44.87507148487681,63.8712234352291,78.0609555184947
US-MT,18.204388095894092,25.607836032257904,33.21291383679518,39.56255946567598
US-NC,99.43697975754547,149.13161460174956,193.77588993739877,230.84697336662114
US-ND,2027.7632053188672,6110.088075858481,9885.183681945797,17740.965936848985
US-NE,17.513291277548955,23.56617084826295,31.241277647279077,37.531070387645066
US-NH,16.07569059305746,26.790442960359986,34.239263570548474,41.53762915064718
US-NJ,87.82385346352993,153.27276145944333,207.0145205472427,258.04653480404164
US-NM,42.976455027314984,65.51169484669079,81.9801606482572,105.85270265996557
US-NV,44.56222642268818,79.06570311814048,100.59641358314333,123.82911624517133
US-NY,134.72008129747795,211.15516267852618,318.7588071041398,414.4869766789807
US-OH,90.52728981437062,161.25535317480904,219.16069973707545,275.44667826558856
US-OK,83.80585019587822,140.21191961180708,182.81179951745187,218.1920199106762
US-OR,70.63768845725723,116.628098586324,160.72160387272578,193.27671123144557
US-PA,138.53828850770756,225.68992604984865,305.39664884496176,384.3491977494726
US-RI,8.673201833665342,10.507409351200343,14.392648824338497,17.802496555385293
US-SC,52.29115043483764,87.60164546321182,114.73888774220976,131.63119595339023
US-SD,16.61041294605356,21.72093851992703,26.67865570043342,31.045079658232545
US-TN,82.939406167573,111.01848515344385,134.17146735808768,169.16007109216744
US-TX,214.85916283214246,334.0537718413678,429.58145284760025,505.64115764365573
US-UT,13.148043562857094,16.07841388942457,20.653055745644405,25.693352369608768
US-VA,68.46439216721394,106.72531602157729,131.43107327846508,149.37290291713734
US-VT,12.27337655881476,19.59947086522267,26.13943777869369,30.6380461764482
US-WA,69.22213804969878,103.69973927779212,150.35497013497175,183.24309432523694
US-WI,60.86872532946158,97.91052955474562,134.27780220515925,172.64967493069116
US-WV,35.664432132137016,49.15420504623954,59.72700541970697,68.42674316144729
US-WY,13.351392201702312,14.735658877859455,17.06598087612223,20.08972205712722
US,2444.9695927839516,3830.042254003772,4796.542627084494,5728.144745898749
