geo,rmse_sarimax_010_h0,rmse_sarimax_010_h1,rmse_sarimax_010_h2,rmse_sarimax_010_h3
US-AK,993.1505628403839,18.70180554333484,21.618486493578985,25.667908599304575
US-AL,122.6020639453904,137.69356108646457,142.1754741206209,139.80254298459292
US-AR,51.268345943511214,67.65228598658672,83.72235805337111,107.46579167288206
US-AZ,106.74134998754282,174.67458331300392,241.9050342498297,304.87309864288466
US-CA,361.0172414163607,647.311273158635,905.0366713140921,1106.0380037831696
US-CO,47.96750531034051,55.838484575911124,71.25205576291062,85.24157487408534
US-CT,74.27389542620796,87.15639475713523,108.9020317733509,127.5218578506595
US-DC,14.555391186937388,19.87762111182074,23.47158896586764,26.430481913193645
US-DE,427.0481422470842,13305.646061452693,29536.950883944566,34580.4155221221
US-FL,137.6517233987632,176.96729638311513,230.11774267946973,271.65316383975374
US-GA,164.82749675212887,156.58939945826916,213.4794437703031,250.45006273679425
US-HI,320.11220176432266,321.50059102088994,323.48912514371995,325.0915614124452
US-IA,57.52670834642582,80.21360839765156,100.07653289835466,119.4046943496556
US-ID,32.168015083219004,39.29986705862488,50.267648769886705,62.12920504947682
US-IL,147.59178950768703,233.67861458947297,317.9001885404564,398.04207452189235
US-IN,101.93197275027809,155.95788131983207,196.77641964023758,247.40025050381837
US-KS,59.42206396119584,84.33195663796549,111.01396979967677,130.0649514798372
US-KY,1350.6710545850094,1324.2820497779628,1367.9477482337747,1417.4274935124104
US-LA,47.64515318061199,61.75133049423783,75.46511501789644,76.08548119316677
US-MA,90.8475541937603,157.12423419552397,212.3991205119811,251.9619177875321
US-MD,106.22343500700048,112.65909326860755,124.82158487752976,147.12714072476155
US-ME,24.02456059618454,33.47366463204688,43.60046626671536,51.389660131776836
US-MI,148.14540775189715,242.172082381585,310.33131533053125,377.8696238278812
US-MN,59.21894281561336,74.898220174685,101.13681984326706,123.32623994737536
US-MO,107.53988181472174,160.37085087082562,200.56850200854265,237.82425324576533
US-MS,43.170050298393015,63.087943631306466,79.98384076272121,97.72644863254581
US-MT,27.502685340875317,35.20229180795002,41.78087022078881,47.76302501998833
US-NC,121.46004074794445,163.480764387575,212.95401870417805,258.82460471835867
US-ND,40.96157289073731,41.430729626463325,46.14734082439333,47.11150338143449
US-NE,24.16586579193802,28.312851943745542,36.283679732023,44.80885746581925
US-NH,30.13862447612864,30.701971577406727,36.30631044119878,42.88409174797545
US-NJ,134.78723933516176,208.89142607552623,281.5568997815817,339.89165216708636
US-NM,65.50878740960695,77.3645397543105,96.07912445221636,108.55866989643172
US-NV,57.64354624137231,82.68673070487726,97.35529466870939,115.02426553074272
US-NY,186.49568780014786,321.4333453422385,474.06958429852074,612.2975228770742
US-OH,111.28683544903434,159.44775740321333,224.35549681998222,276.01188182819413
US-OK,135.14683833544467,199.85639954138878,245.8171367330921,286.6543593421939
US-OR,81.02071156015867,145.1878087071863,204.04271107713612,265.69067257254443
US-PA,160.98737818765395,237.55997606101647,301.697244373724,353.7424792441599
US-RI,17.06620330181545,14.583463181953395,14.145525360834355,17.555909229731054
US-SC,58.406540567341125,95.40460661166352,132.1917044982383,153.90439465772184
US-SD,35.88835855241892,19.902836928358468,20.72408563665714,25.442980893760186
US-TN,102.99150041427495,134.89357716867661,154.2023973099419,194.76767767622636
US-TX,371.29218376984454,519.412371362392,620.3389112934694,705.9526916205527
US-UT,11.517231772427051,13.968058082864665,16.96511268063843,20.26823158487499
US-VA,105.5649699839513,116.12739559526048,129.5863541939981,144.8333831300764
US-VT,366.6320478269204,39.77031538825753,25.34242639459409,30.271147048785668
US-WA,106.08253725626037,131.88843435229938,184.01278709766902,211.96719448582073
US-WI,73.15389045616189,96.55036596173424,114.86230711570583,137.29395710551432
US-WV,52.843209418017125,66.77090091328175,88.1624274765679,105.49653398915405
US-WY,37.65271235268625,36.27122930081668,34.934358189585154,36.413651937001866
US,3263.4150642001127,5278.582866783651,6793.158576951557,8377.692051302274
PR,37.79698706499516,45.02772782250163,50.644455096473365,48.78855841010058
