geo,rmse_sarimax_010_h0,rmse_sarimax_010_h1,rmse_sarimax_010_h2,rmse_sarimax_010_h3
US-AK,11.894631183739486,16.37821795099263,20.196107375263157,24.576106449046407
US-AL,53.818907795176116,84.3176096351083,104.72785651689104,112.12121522128871
US-AR,51.10249461780128,94.2633195259965,132.12200324419499,167.47483166795095
US-AZ,88.39234813480854,179.21190339173094,251.62810072334213,302.3063747618666
US-CA,261.2475863441758,606.7392613566046,908.4616983753378,1147.1082763450322
US-CO,39.714628606096674,62.002829890285696,82.0862241404549,99.15991753928797
US-CT,55.663150066447024,99.96888611420009,149.44818667362898,191.5798050270347
US-DC,10.662079280493442,15.864288100560819,19.99576937818581,23.35225068708687
US-DE,16.760310944438814,18.578463986638692,22.357339041937806,23.83428482353812
US-FL,123.96041067064982,177.72630482695095,237.15652640143531,278.3142819771256
US-GA,91.38231180089306,152.84018189564702,212.83841669271018,256.7312832969554
US-HI,7.330063357352044,8.40412891594523,8.998798428847017,9.038783794228289
US-IA,38.60222466945502,66.64010122234292,96.86710604273489,123.04257651456183
US-ID,37.96282718948315,51.24164501835598,74.88490176219388,90.72412744959881
US-IL,105.63064783227745,220.20579201641127,318.2609039431745,394.8820532190665
US-IN,86.66136731452018,181.15576092848107,253.40128182288126,313.41714821025
US-KS,42.16663363364012,70.56211923069054,96.51166815692255,114.56629353228486
US-KY,86.54337334452053,185.92298659520506,262.88151710351076,324.9407900149847
US-LA,43.40877341669171,63.23274980879524,78.42390108218478,84.59223132803652
US-MA,77.29717191422228,145.8212888317835,216.06927139712008,277.42312482921534
US-MD,44.033921252728355,81.92098899335807,111.16458985419658,138.5658249041936
US-ME,21.96585831081576,42.60149557221888,63.162848236028104,81.03913940143511
US-MI,103.4701706823162,217.61461154462128,326.35253584924084,412.9886276005559
US-MN,45.0125647154267,91.32159935110293,137.52794017953775,176.35589040206153
US-MO,98.1977406620627,180.75241634454963,269.3222812563454,337.9822891026117
US-MS,36.321522217470005,64.46946720251188,90.82972620782131,116.97850443475038
US-MT,18.831207551616114,27.698884059254215,36.11096380621648,43.59501283452129
US-NC,103.95692101459738,179.76207597780652,243.06171857743254,293.71131798239526
US-ND,11.701677070154043,16.298061637673516,21.488610827382875,25.38765743712962
US-NE,22.412206569425628,31.371390560844148,42.88480572292871,52.97291293728914
US-NH,15.928734435953219,27.872201888938957,36.086979714100025,42.686151597287406
US-NJ,94.56915568920458,181.31846782944606,246.17632049084932,306.2908135015753
US-NM,44.97902491116932,76.57235680541126,100.56638707278607,126.69165090293347
US-NV,49.25173637809281,91.92970020434497,124.56986175364732,151.3174016162161
US-NY,120.9946096632833,250.72637169192114,400.3237087582303,540.858879985469
US-OH,104.10604394065949,198.16473400851913,302.4068902993185,395.6327155537097
US-OK,97.39655706945807,193.84406772168805,286.3638675922776,359.7706669611274
US-OR,75.31579312210091,130.32728272995723,196.96423343660808,261.7706533566603
US-PA,145.09252806427855,255.78605480717798,340.91113983452345,414.8682108796472
US-RI,11.100073281283256,12.10141072607446,17.153822340017086,19.430534568823592
US-SC,49.14916362742871,93.94561258909256,129.68421894156702,154.90240386126868
US-SD,15.661212975558987,21.985127723289537,27.586761189067747,33.83187138559232
US-TN,84.24323930571904,148.1687943927191,186.650517218277,221.27932521665974
US-TX,184.3819528491094,362.6176910250056,496.85017493075793,598.2809711924081
US-UT,11.272964648820338,13.920103224654017,17.646942942253485,19.64735343359408
US-VA,71.84322593246415,118.07646236406647,144.86398060313957,165.44812732466787
US-VT,11.088576713293666,18.36685681682619,24.341925912162015,29.38121631447017
US-WA,95.54822480797941,153.53893925678227,222.335339208184,301.93420404183706
US-WI,53.78889467511613,104.06527463622818,154.58725492517698,203.30272452945215
US-WV,38.881306989959306,65.64224168237318,89.84081899624479,109.8323860536605
US-WY,14.784830039908696,16.37566309952444,18.59159572335329,21.83834889116835
US,2141.900598992644,4446.838821855347,6562.987822197118,8430.423449437505
