geo,rmse_sarimax_010_h0,rmse_sarimax_010_h1,rmse_sarimax_010_h2,rmse_sarimax_010_h3
US-AK,11.845482810784485,15.535863587436188,18.625781603541743,22.380060456047758
US-AL,55.20014181436101,79.95153001973044,94.87708636507682,94.20892959538257
US-AR,41.226989263007354,61.62256314841525,80.83066913643444,99.22083063135975
US-AZ,99.3330197098158,182.55471175710747,260.13406488459873,324.2898773050312
US-CA,293.58095784786434,504.9567277397925,645.3320380838493,750.5595901452384
US-CO,49.90195997233262,72.59715140430623,94.24822857919226,114.74246670533209
US-CT,60.33306069599881,91.39112454947256,116.60236770313587,136.84110873094963
US-DC,15.25305660040429,21.01810054038185,25.47659929878851,29.496223254750547
US-DE,16.88490391643344,18.13606859803782,22.259020252995022,22.90933463754832
US-FL,158.1053229993266,204.06287692509366,251.94917390506833,292.58560946998676
US-GA,97.43067931059137,137.52410472408513,181.68787108219908,212.47046282996052
US-HI,7.916673538915487,9.272126477416357,9.884686623990435,10.162088901921287
US-IA,39.61397351405217,62.19086314283488,83.9319403719786,102.82190187156439
US-ID,37.22847173956754,43.37420192931797,65.9967957521659,80.41545609176977
US-IL,127.88985299309856,216.90909044869963,282.83046199064916,339.2991363476204
US-IN,94.6322234942894,147.90913887086288,177.48166628529682,199.9737567115595
US-KS,43.83019741727268,64.49721665879527,83.16451803444545,96.370041771015
US-KY,80.24111818527369,125.75237858342142,153.1453839003993,178.6615504149913
US-LA,40.155897442731096,57.91889099148447,68.78405171176092,71.64442855502465
US-MA,76.8846178481862,166.91006137657473,245.17267692059835,307.8145726578951
US-MD,48.511614122473866,79.1706874516923,106.09957142231222,128.47705845035844
US-ME,23.215600710392152,38.94843594736677,53.0155846837841,64.61475297444476
US-MI,100.11938115123479,180.92952853592007,267.3501858784426,330.9248348738778
US-MN,48.434189693581466,77.56171757510717,102.15282235442453,123.68855189036955
US-MO,82.83592224276771,151.5369328768758,210.77733823251185,260.7922205562888
US-MS,28.89718520550507,44.29079943217091,62.19285274211314,76.57918613366941
US-MT,18.94846685046395,25.40319703292337,32.968220757372926,38.996748343452424
US-NC,107.64376505867055,159.78409648036086,206.54810682290392,249.47653693778503
US-ND,10.692780856010158,14.236778251298928,18.5815398041029,21.80422462687371
US-NE,17.800404346758498,25.20119208093735,34.17744015167857,41.509132612177915
US-NH,15.690257763694804,25.3270216360125,32.0841346659183,39.08290487864943
US-NJ,88.05818295318353,139.89202886161186,187.65335961328182,234.65516457920273
US-NM,41.78085016901456,63.21985360988117,77.51641552812343,97.92208514248972
US-NV,45.2949323241856,80.42049241037903,103.67827945014567,128.1597901878339
US-NY,137.94677314656377,220.7031707589274,341.10122056193444,446.2903867964893
US-OH,94.9773945834121,165.51261062598172,226.6530938320344,288.65777500031663
US-OK,86.54388078685501,136.23901362193496,179.09561454975324,216.5253233529521
US-OR,72.13495231645071,120.33193713369441,165.52464409941808,198.72293674270813
US-PA,158.38228166792652,244.5036090628801,319.1897406872219,392.6871619699601
US-RI,8.677006185691912,10.487115245124977,14.338579208813144,17.821806616861462
US-SC,50.99748333729891,86.45708449089658,113.038620955686,131.00756436737072
US-SD,16.308695827408116,21.263036472457223,26.04889640158586,30.3343443887427
US-TN,87.1693369253106,116.05353091639279,142.68733324641053,175.6845446961101
US-TX,244.29776184028276,343.1203441617272,427.8489495893121,485.4929913056677
US-UT,11.865742471767858,15.193250975449335,19.524313229143942,23.650058763458546
US-VA,64.38571539149828,102.63474934531921,131.5372641470049,152.65306896544493
US-VT,12.332443967636392,19.750521975888592,26.2779341145902,30.724980586930698
US-WA,77.97779956381582,115.24247361594668,169.68376841164817,203.67239686328895
US-WI,63.865803765472066,106.05209589942882,148.68436016067528,191.45631040824216
US-WV,35.62553425366949,49.275521162849564,59.90049062527591,68.62625350991445
US-WY,12.719297364763547,14.990228054595763,17.265739835268526,20.395673005708165
US,1697.448083937052,3110.2557220259073,4454.065541976846,5713.820916292732
