geo,rmse_sarimax_010_h0,rmse_sarimax_010_h1,rmse_sarimax_010_h2,rmse_sarimax_010_h3
US-AK,143.8327420406983,1628.4670054144985,4555.075293635553,6253.731780918744
US-AL,51.183816570016035,71.25979853033301,88.31771243951526,97.25535827227449
US-AR,32623.82754533718,54235.29718915538,75745.79405086364,95545.05680548269
US-AZ,111.60806934176779,173.7768200032961,232.9809150748173,281.70349549140906
US-CA,271.7606805822379,598.4973838243961,884.9591288332559,1108.7984251155463
US-CO,51.595450495651015,70.18965581898435,91.15391151330259,106.63143813016887
US-CT,55.75731428335511,80.84669728026246,96.95152214087241,121.48477440838828
US-DC,13.365523773073297,15.342206811477393,20.69051092089855,23.771446293142766
US-DE,53.66653784562368,37.117152750033426,34.00933429315065,35.15862396735979
US-FL,124.18440883615177,179.59210316536434,238.57965191638468,278.7277277591332
US-GA,91.21988614258264,158.71981136888908,225.43676873294825,272.6933390824216
US-HI,69.08601122486493,73.19507461470921,72.13167371049647,73.2708400099458
US-IA,39.6561428973694,57.75100284805438,80.63590709498129,99.62432779955748
US-ID,2713.068561684138,44.275401020845756,56.50878776919368,65.74286359646632
US-IL,122.7137169583868,233.23390802655626,327.09869919751554,402.0057432961904
US-IN,92.3489286765531,149.2648610374546,204.76446292870702,256.8570658932572
US-KS,49.625579958966526,72.96905003061889,98.34978093231145,112.47587461205617
US-KY,107.64942190465337,196.02056968135273,268.8769152352141,329.07227111065265
US-LA,56.24642866666914,57.43664308486668,61.313521228255595,64.78398933176695
US-MA,75.83168163341634,142.65066685640326,204.06118968825015,264.5873647594359
US-MD,50.04021269451895,79.7612732669257,108.42878684216015,135.4543169419341
US-ME,22.43674191318517,35.71425632923321,49.13989097879021,60.24718454869667
US-MI,104.21953196879727,189.95566083893465,268.2927807073141,333.7667853394729
US-MN,48.03120135190597,73.35049422918694,99.96841140978009,124.61324498856246
US-MO,95.65487945221636,146.73901898668512,186.3946975003226,228.130999593459
US-MS,881.7647916508951,58.38108208281504,74.56614866926647,91.78801521355741
US-MT,14114.52708229617,19219.53105785756,25817.76040555416,25167.96987275294
US-NC,57421.504357751015,36795.54733283466,155048.72129268013,357475.1735466462
US-ND,702.8032475395535,163.10956612215907,157.24409279735235,382.0042781716355
US-NE,24.58809464346171,27.693387993022448,35.71974199369872,42.53236803757975
US-NH,16.43064297287215,27.03986000446035,34.85949937366362,41.537501544579904
US-NJ,104.37046651410763,184.1689093760918,249.5416737252768,317.0345853982535
US-NM,48.2668103185016,67.79503377509462,86.20868378736216,107.76275355758833
US-NV,53.14633125796957,91.62905110107869,116.86311409302006,140.76263673193245
US-NY,141.02568242386778,274.79934738715286,435.39091231801956,581.2303149342634
US-OH,98.18680127023048,176.61115975865062,267.7413510833468,352.7664424562401
US-OK,117.04176743298346,191.58196944309825,262.59418571262063,320.58182550544507
US-OR,69.19003253104752,130.53290893970873,191.15512487944204,248.09098514034318
US-PA,145.86308927790063,272.2893028796653,379.93100562050364,480.1324056330075
US-RI,13.087618134342922,13.197546294701517,15.890266895510782,18.897258699680666
US-SC,51.68425551830827,83.97332298916848,113.03177627467447,133.50892211073534
US-SD,17.75405356403901,21.055649822492597,24.21993148594179,29.987008501279647
US-TN,75.92540746542893,108.03547989695132,133.64305273714055,159.67945558441443
US-TX,205.16656888237517,381.2129414721106,532.3717154338661,642.4737894731926
US-UT,11.033550421882202,12.450900114725401,16.630630888947795,18.14222753122045
US-VA,19949.554132938407,34461.72356649994,45006.27335001418,69565.68768717587
US-VT,11.794818602655772,24.029109469601053,23.108233168285103,28.28936200780179
US-WA,95.15341786418661,121.24085769661421,163.06203780998706,187.53966023171253
US-WI,62.81344210666581,105.12333674999964,149.40536572081268,191.03531047736203
US-WV,46.165706703756136,67.06357366753156,84.64265999467844,99.12107242292385
US-WY,16.058334953762586,16.121873810105157,17.903939750034432,21.278386457322277
US,2141.900598992644,4446.838821855347,6562.987822197118,8430.423449437505
